"ALRT_DOC_TYP_ID","ALRT_DOC_TYP_NAME","ALRT_DOC_TYP_DESC","ALRT_DOC_CLASS","ACTV_IND","ALRT_REM_INTERVAL","OBJ_ID","VER_NBR"
"1","DLVRY_TYP_T","Request Type Document","org.kuali.ole.deliver.bo.OleDeliverRequestType","Y","2","1","1"
"2","OLE_BRSMD","Bibiliographic Record Status Document","org.kuali.ole.describe.bo.OleBibliographicRecordStatus","Y","2","2","1"
"3","OLE_GLBLY_PRCT_FLD","Protected Fields Document","org.kuali.ole.select.bo.OleGloballyProtectedField","Y","2","3","1"
"4","OLE_UPMD","Preferences of Bib Import Document","org.kuali.ole.describe.bo.ImportBibUserPreferences","Y","2","4","1"
"5","OLE_SSMD","Call Number Type Document","org.kuali.ole.describe.bo.OleShelvingScheme","Y","2","5","1"
"6","OLE_TYPO","OwnerShip Type Document","org.kuali.ole.describe.bo.OleTypeOfOwnership","Y","2","6","1"
"7","OLE_ITAS","Item Availability Status Document","org.kuali.ole.describe.bo.OleItemAvailableStatus","Y","2","7","1"
"8","OLE_IITMD","Item Type Document","org.kuali.ole.describe.bo.OleInstanceItemType","Y","2","8","1"
"9","OLE_RSMD","Receipt Status Document","org.kuali.ole.describe.bo.OleReceiptStatus","Y","2","9","1"
"10","OLE_STSRC","Statistical Search Codes Document","org.kuali.ole.describe.bo.OleStatisticalSearchingCodes","Y","2","10","1"
"11","OLE_FUND_CD_MD","Fund Code Document","org.kuali.ole.coa.businessobject.OleFundCode","Y","2","11","1"
"12","BarcodeStatusMaintenanceDocument","Barcode Status Document","org.kuali.ole.deliver.bo.BarcodeStatus","Y","2","12","1"
"13","OLE_DLVR_CAL_DOC","Calendar Document","org.kuali.ole.deliver.calendar.bo.OleCalendar","Y","2","13","1"
"14","OLE_CAL_EXP_TYP","Calendar Exception Type Document ","org.kuali.ole.deliver.calendar.bo.OleCalendarExceptionType","Y","2","14","1"
"15","OLE_CLNDR_GRP","Calendar Group Document","org.kuali.ole.deliver.calendar.bo.OleCalendarGroup","Y","2","15","1"
"16","OLE_CIRC_DESK_MD","Circulation Desk Document","org.kuali.ole.deliver.bo.OleCirculationDesk","Y","2","16","1"
"17","OLE_COPY_FORMAT_TYPE","Copy Format Type Document","org.kuali.ole.deliver.bo.CopyFormat","Y","2","17","1"
"18","OLE_FDD","Due Date Document","org.kuali.ole.deliver.bo.OleFixedDueDate","Y","2","18","1"
"19","OLE_LMD","Location Document","org.kuali.ole.describe.bo.OleLocation","Y","2","19","1"
"20","OLE_LLMD","Location Level Document","org.kuali.ole.describe.bo.OleLocationLevel","Y","2","20","1"
"21","OleAddressSourceMaintenanceDocument","Address Source Document","org.kuali.ole.deliver.bo.OleAddressSourceBo","Y","2","21","1"
"22","OLE_FEE_TYP","Fee Types Document","org.kuali.ole.deliver.bo.OleFeeType","Y","2","22","1"
"23","OleSourceMaintenanceDocument","Patron Source Document","org.kuali.ole.deliver.bo.OleSourceBo","Y","2","23","1"
"24","OLE_PAY_STAT","Payment Status Document","org.kuali.ole.deliver.bo.OlePaymentStatus","Y","2","24","1"
"25","OleStatisticalCategoryMaintenanceDocument","Statistical Category Document","org.kuali.ole.deliver.bo.OleStatisticalCategoryBo","Y","2","25","1"
"26","OleBorrowerTypeMaintenanceDocument","Borrower Type Document","org.kuali.ole.deliver.bo.OleBorrowerType","Y","2","26","1"
"27","OLE_ACCESS_LOC","Access Location Document","org.kuali.ole.select.bo.OLEAccessLocation","Y","2","27","1"
"28","OLE_ERES_ACCESS_MD","EResource Access  Document for Activation","org.kuali.ole.select.bo.OLEEResourceAccessActivation","Y","2","28","1"
"29","OLE_ACCESS_TYPE","Access  Type Document ","org.kuali.ole.select.bo.OLEAccessType","Y","2","29","1"
"30","OLE_AGR_DOC_TYP_MD","Agreement Type Document ","org.kuali.ole.select.bo.OleAgreementDocType","Y","2","30","1"
"31","OLE_AGR_MTH_MD","Agreement Method Document ","org.kuali.ole.select.bo.OleAgreementMethod","Y","2","31","1"
"32","OLE_AGR_STAT_MD","Agreement Status Document ","org.kuali.ole.select.bo.OleAgreementStatus","Y","2","32","1"
"33","OLE_AUTHTYPE","Authentication Type Document ","org.kuali.ole.select.bo.OLEAuthenticationType","Y","2","33","1"
"34","OLE_CONTENT_TYPE","Content Type Document ","org.kuali.ole.select.bo.OLEContentType","Y","2","34","1"
"35","OLE_E_RES_STATUS","EResource Status Document ","org.kuali.ole.select.bo.OLEEResourceStatus","Y","2","35","1"
"36","OLE_AGR_TYP_MD","Agreement Type Document ","org.kuali.ole.select.bo.OleAgreementType","Y","2","36","1"
"37","OLE_CUR_LOC","License Request Location Document ","org.kuali.ole.select.bo.OleLicenseRequestLocation","Y","2","37","1"
"38","OLE_LRS_MD","License Request Status Document ","org.kuali.ole.select.bo.OleLicenseRequestStatus","Y","2","38","1"
"39","OLE_LIC_REQS_TYP","License Request Type Document ","org.kuali.ole.select.bo.OleLicenseRequestType","Y","2","39","1"
"40","OLE_MATERIAL_TYPE","Material Type Document","org.kuali.ole.select.bo.OLEMaterialType","Y","2","40","1"
"41","OLE_PACK_SCOPE","Package Scope Document","org.kuali.ole.select.bo.OLEPackageScope","Y","2","41","1"
"42","OLE_PACK_TYPE","Package Type Document","org.kuali.ole.select.bo.OLEPackageType","Y","2","42","1"
"43","OLE_PAYMENT_TYPE","Payment Type Document","org.kuali.ole.select.bo.OLEPaymentType","Y","2","43","1"
"44","OLE_REQUEST_PRIORITY","Request Priority Document","org.kuali.ole.select.bo.OLERequestPriority","Y","2","44","1"
"46","OLE_MOB_ACC","Ole Mobile Access Document","org.kuali.ole.select.bo.OLEMobileAccess","Y","2","46","1"
"47","OLE_MARC_REC_SRC_TYP","Marc Record Source Type Document","org.kuali.ole.select.bo.OLEMarcRecordSourceType","Y","2","47","1"
"48","OLE_PRBLM_TYP","Problem Type Document","org.kuali.ole.select.bo.OLEProblemType","Y","2","48","1"
"49","OLE_ERES_PLTFRM_EVNT_TYP","Event Type Document","org.kuali.ole.select.bo.OLEEResPltfrmEventType","Y","2","49","1"
"50","OLE_ACC_ACTV_CONFG_MD","Access Activation Document","org.kuali.ole.select.bo.OLEAccessActivationConfiguration","Y","2","50","1"
"51","OLE_PLTFRM_STAT","Platform Status Document","org.kuali.ole.select.bo.OLEPlatformStatus","Y","2","51","1"
"52","OLE_PLTFRM_ADMIN_URL_TYPE","Platform Admin URL Type Document","org.kuali.ole.select.bo.OLEPlatformAdminUrlType","Y","2","52","1"
"53","OLE_ALERT_EVENT","Alert Event Document","org.kuali.ole.alert.bo.AlertEvent","Y","2","53","1"
"54","OLE_ALERT","Alert Document","org.kuali.ole.alert.bo.AlertDocument","Y","2","54","1"
"55","OLE_CNCL_RSN_MD","Cancellation Reason  Document","org.kuali.ole.select.bo.OLECancellationReason","Y","2","55","1"
"56","OLE_DONOR","Donor  Document","org.kuali.ole.select.bo.OLEDonor","Y","2","56","1"
"57","OLE_PURPOSE","Purchase Order Purpose Document","org.kuali.ole.select.bo.OlePurchaseOrderPurpose","Y","2","57","1"
"58","OLE_DLVR_REQS","Deliver Request Document","org.kuali.ole.deliver.bo.OleDeliverRequestBo","Y","2","58","1"
"59","OLE_PTRN","Patron Document","org.kuali.ole.deliver.bo.OlePatronDocument","Y","2","59","1"
"60","LicenseRequestDocument","License Request Document","org.kuali.ole.select.bo.OleLicenseRequestBo","Y","2","60","1"
"61","OLE_CHKLST","Check List Document","org.kuali.ole.select.bo.OleCheckListBo","Y","2","61","1"
"62","OLE_PRQS","Invoice Document","org.kuali.ole.krad.transaction.documents.OLEInvoiceDocument","Y","2","62","1"
"63","OLE_ERS_DOC","EResource Record Document","org.kuali.ole.select.document.OLEEResourceRecordDocument","Y","2","63","1"
"64","OLE_PLTFRM_DOC","EResource Record Document","org.kuali.ole.select.document.OLEPlatformRecordDocument","Y","2","64","1"
"65","OLE_SER_RECV_REC","Serial Receiving Document","org.kuali.ole.select.bo.OLESerialReceivingDocument","Y","2","65","1"
"66","OLE_BCH_PRCS_PRFL_DOC","Batch Process Definition Document","org.kuali.ole.batch.document.OLEBatchProcessDefinitionDocument","Y","2","66","1"
"67","OLE_BTCH_PRCS_JOB","Batch Process Job Details Document","org.kuali.ole.batch.bo.OLEBatchProcessJobDetailsBo","Y","2","67","1"
"68","OLE_BTCH_PRCS_PRFL","Batch Process Profile Document","org.kuali.ole.batch.bo.OLEBatchProcessProfileBo","Y","2","68","1"
"69","DLVRY_BATCH_T","Batch Job Document","org.kuali.ole.deliver.bo.OleBatchJobBo","Y","2","69","1"
"70","OLE_EDMD","External Data Source Configuration Document","org.kuali.ole.describe.bo.ExternalDataSourceConfig","Y","2","70","1"
