NMSPC_CD,CMPNT_CD,PARM_NM,OBJ_ID,VER_NBR,PARM_TYP_CD,VAL,PARM_DESC_TXT,EVAL_OPRTR_CD,APPL_ID
"OLE-COA","All","MAXIMUM_ACCOUNT_RESPONSIBILITY_ID","OLE101","1","CONFG","17","Specifies the upper range for the Contracts & Grants Responsibility Id on Contracts & Grants Accounts. The minimum is 1.","A","OLE"
"OLE-COA","Account","CAPITAL_SUB_FUND_GROUPS","OLE117","1","CONFG","","Indicates the SubFundGroup for this Kuali implementation that is used for CAMS/Capital purposes for capitalization of expenses related to building construction or remodeling.","A","OLE"
"OLE-COA","Account","CG_DENOTING_VALUE","OLE118","1","CONFG","CG","This is the value of the fund group or sub-fund group that the institution uses for contracts and grants accounts. Used in conjunction with FUND_GROUP_DENOTES_CG_IND.","A","OLE"
"OLE-COA","Account","DERIVED_ROLE_MEMBER_INACTIVATION_NOTIFICATION_EMAIL_ADDRESSES","OLE119","1","CONFG","kbatch-l@indiana.edu","The e-mail address to send a notification to when a member of an account derived role - Fiscal Officer, Account Supervisor, Fiscal Officer Primary Delegate, or Fiscal Officer Secondary Delegate - is inactivated.","A","OLE"
"OLE-COA","Account","FUND_GROUP_DENOTES_CG_IND","OLE120","1","CONFG","Y","If this parameter is set to Y then the parameter CG_DENOTING_VALUE should have a value that represents a fund group. If set to N, then CG_DENOTING_VALUE should have a value that represents a sub-fund group.","A","OLE"
"OLE-COA","Account","INCOME_STREAM_ACCOUNT_REQUIRING_FUND_GROUPS","OLE121","1","VALID","GF;CG","Determines for which fund groups an income stream account is required on the account document.","A","OLE"
"OLE-COA","Account","INCOME_STREAM_ACCOUNT_REQUIRING_SUB_FUND_GROUPS","OLE122","1","VALID","MPRACT","Determines for which sub fund groups an income stream account is required on the account document.","D","OLE"
"OLE-COA","Account","PREFIXES","OLE123","1","VALID","3;00","Institutionally specified restrictions on account number prefixes (e.g. the account number cannot begin with a 3 or with 00.)","D","OLE"
"OLE-COA","AccountDelegate","EMPLOYEE_STATUSES","OLE124","1","VALID","A","Allowed Employee Status code for an employee to be assigned as a delegate for an account.","A","OLE"
"OLE-COA","CfdaBatchStep","RESULT_SUMMARY_TO_EMAIL_ADDRESSES","OLE102","1","CONFG","knoreceipt-l@indiana.edu","Listserv for recipients of CFDA batch process results.","A","OLE"
"OLE-COA","CfdaBatchStep","SOURCE_URL","OLE103","1","CONFG","ftp://ftp.cfda.gov/programs","CFDA url","A","OLE"
"OLE-COA","ObjectCode","OBJECT_CODES","OLE125","1","VALID","N/A;A/L","Institutionally specified unallowable values for Object Codes.","D","OLE"
"OLE-COA","OffsetDefinition","DOCUMENT_TYPES_REQUIRING_ACTIVE_OBJECT_CODES","OLE126","1","VALID","OLE_ARIN;OLE_ARNI;OLE_ARIM;OLE_BC","Defines the relationship between Document Type(s) and Object Code status (active/inactive) when creating a new offset definition.","A","OLE"
"OLE-COA","OffsetDefinition","USE_FLEXIBLE_OFFSET_IND","OLE127","1","CONFG","N","This allows the system to redirect offset entries to another specified account when enabled (Y). The Offset Account Maintenance Document defines the offset account for an object code/account combination. When not enabled (N)?the offsets are applied to the same account as the original transaction, under a different object code as defined in the Offset Definition table.","A","OLE"
