KIM_ATTR_DEFN_ID,OBJ_ID,VER_NBR,NM,LBL,ACTV_IND,NMSPC_CD,CMPNT_NM
OLE22,OLE22,1,chartOfAccountsCode,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE23,OLE23,1,accountNumber,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE24,OLE24,1,organizationCode,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE25,OLE25,1,descendHierarchy,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE26,OLE26,1,fromAmount,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE27,OLE27,1,toAmount,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE28,OLE28,1,accountingLineOverrideCode,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE30,OLE30,1,subFundGroupCode,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE31,OLE31,1,purchasingCommodityCode,,Y,OLE-VND,org.kuali.ole.sys.identity.OleKimAttributes
OLE32,OLE32,1,contractManagerCode,,Y,OLE-VND,org.kuali.ole.sys.identity.OleKimAttributes
OLE33,OLE33,1,customerProfileId,,Y,OLE-PDP,org.kuali.ole.sys.identity.OleKimAttributes
OLE35,OLE35,1,sensitiveDataCode,,Y,OLE-PURAP,org.kuali.ole.module.purap.identity.PurapKimAttributes
OLE36,OLE36,1,vendorTypeCode,,Y,OLE-VND,org.kuali.ole.sys.identity.OleKimAttributes
OLE38,OLE38,1,disbursementVoucherPaymentMethodCode,,Y,OLE-FP,org.kuali.ole.sys.identity.OleKimAttributes
OLE39,OLE39,1,subAccountNumber,,Y,OLE-COA,org.kuali.ole.sys.identity.OleKimAttributes
OLE45,OLE45,1,documentSensitive,,Y,OLE-PURAP,org.kuali.ole.module.purap.identity.PurapKimAttributes
OLESEC100,OLESEC100,1,operator,,Y,OLE-SEC,org.kuali.ole.sec.identity.SecKimAttributes
OLESEC101,OLESEC101,1,propertyValue,,Y,OLE-SEC,org.kuali.ole.sec.identity.SecKimAttributes
OLESEC102,OLESEC102,1,constraintCode,,Y,OLE-SEC,org.kuali.ole.sec.identity.SecKimAttributes
OLESEC103,OLESEC103,1,overrideDeny,,Y,OLE-SEC,org.kuali.ole.sec.identity.SecKimAttributes
OLEMI6886-ATTRDEF,OLEMI6886-ATTRDEF,1,achTransactionTypeCode,,Y,OLE-PDP,org.kuali.ole.sys.identity.OleKimAttributes
OLECNTRB199-ATTRDEF1,OLECNTRB199-ATTRDEF1,1,filePath,,Y,OLE-SYS,org.kuali.ole.sys.identity.OleKimAttributes
