ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLE123,OLE123,1,OLE100,8,13,OLE_REQS
OLE245,OLE245,1,OLE100,8,16,PreRoute
OLE124,OLE124,1,OLE101,8,13,OLE_PO
OLE246,OLE246,1,OLE101,8,16,PreRoute
OLE125,OLE125,1,OLE102,8,13,OLE_AP
OLE247,OLE247,1,OLE102,8,16,PreRoute
OLE126,OLE126,1,OLE103,8,13,OLE_RCV
OLE248,OLE248,1,OLE103,8,16,PreRoute
OLE132,OLE132,1,OLE108,OLE51,13,OpenLibraryEnvironmentTransactionalDocument
OLE10000,OLE10000,1,OLE1100,3,13,OpenLibraryEnvironmentTransactionalDocument
OLE141,OLE141,1,OLE113,3,13,OLE
OLE142,OLE142,1,OLE114,3,13,OLE
OLE143,OLE143,1,OLE115,3,13,OLE
OLE144,OLE144,1,OLE116,3,13,OpenLibraryEnvironmentSimpleMaintenanceDocument
OLE145,OLE145,1,OLE117,3,13,OLE_BANK
OLE149,OLE149,1,OLE119,18,4,OLE*
OLE150,OLE150,1,OLE120,19,4,OLE*
OLE151,OLE151,1,OLE121,20,4,OLE*
OLE152,OLE152,1,OLE122,21,4,OLE*
OLE162,OLE162,1,OLE128,11,5,Bank
OLE163,OLE163,1,OLE128,11,6,bankAccountNumber
OLE164,OLE164,1,OLE129,10,4,OLE*
OLE165,OLE165,1,OLE130,10,4,OLE*
OLE166,OLE166,1,OLE131,16,4,OLE*
OLE167,OLE167,1,OLE132,15,4,OLE*
OLE168,OLE168,1,OLE133,3,13,OLE
OLE169,OLE169,1,OLE134,11,5,Bank
OLE170,OLE170,1,OLE134,11,6,bankAccountNumber
OLE171,OLE171,1,OLE135,12,4,OLE*
OLE172,OLE172,1,OLE136,3,13,OLE_PVEN
OLE174,OLE174,1,OLE137,11,5,VendorDetail
OLE175,OLE175,1,OLE137,11,6,vendorHeader.vendorTaxNumber
OLE176,OLE176,1,OLE138,11,5,VendorDetail
OLE177,OLE177,1,OLE138,11,6,vendorHeader.vendorTaxNumber
OLE178,OLE178,1,OLE139,57,5,VendorDetail
OLE179,OLE179,1,OLE139,57,44,vendorContracts
OLE222,OLE222,1,OLE169,8,13,OLE
OLE250,OLE250,1,OLE184,57,5,VendorDetail
OLE251,OLE251,1,OLE184,57,44,vendorCommodities
OLE252,OLE252,1,OLE185,8,13,OLE_CMD
OLE253,OLE253,1,OLE185,8,16,PreRoute
OLE257,OLE257,1,OLE187,11,5,DisbursementPayee
OLE258,OLE258,1,OLE187,11,6,taxNumber
OLE265,OLE265,1,OLE189,52,13,OLE_SB
OLE266,OLE266,1,OLE189,52,16,PreRoute
OLE267,OLE267,1,OLE189,52,6,sourceAccountingLines
OLE268,OLE268,1,OLE190,52,13,OLEFinancialProcessingSimpleMaintenanceDocument
OLE269,OLE269,1,OLE190,52,16,Account
OLE270,OLE270,1,OLE190,52,6,sourceAccountingLines
OLE271,OLE271,1,OLE191,52,13,OLEFinancialProcessingSimpleMaintenanceDocument
OLE272,OLE272,1,OLE191,52,16,Account
OLE273,OLE273,1,OLE191,52,6,targetAccountingLines
OLE274,OLE274,1,OLE192,52,13,OLE_DV
OLE275,OLE275,1,OLE192,52,16,Campus
OLE276,OLE276,1,OLE192,52,6,sourceAccountingLines.financialObjectCode
OLE277,OLE277,1,OLE193,52,13,OLE_DV
OLE278,OLE278,1,OLE193,52,16,Tax
OLE279,OLE279,1,OLE193,52,6,sourceAccountingLines.amount
OLE280,OLE280,1,OLE194,52,13,OLE_DV
OLE281,OLE281,1,OLE194,52,16,Travel
OLE282,OLE282,1,OLE194,52,6,sourceAccountingLines.amount
OLE283,OLE283,1,OLE195,52,13,OLE_DV
OLE284,OLE284,1,OLE195,52,16,PaymentMethod
OLE285,OLE285,1,OLE195,52,6,sourceAccountingLines.amount
OLE292,OLE292,1,OLE198,52,13,OLE_PUR
OLE293,OLE293,1,OLE198,52,16,Account
OLE294,OLE294,1,OLE198,52,6,items.sourceAccountingLines
OLE295,OLE295,1,OLE199,52,13,OLE_AP
OLE296,OLE296,1,OLE199,52,16,Account
OLE297,OLE297,1,OLE199,52,6,items.sourceAccountingLines
OLE306,OLE306,1,OLE209,14,10,taxEntry
OLE527,OLE527,1,OLE209,14,13,OLE_DV
OLE307,OLE307,1,OLE210,14,10,frnEntry
OLE528,OLE528,1,OLE210,14,13,OLE_DV
OLE308,OLE308,1,OLE211,14,10,wireEntry
OLE529,OLE529,1,OLE211,14,13,OLE_DV
OLE309,OLE309,1,OLE212,14,10,travelEntry
OLE530,OLE530,1,OLE212,14,13,OLE_DV
OLE314,OLE314,1,OLE217,14,10,editPreExtract
OLE535,OLE535,1,OLE217,14,13,OLE_AP
OLE317,OLE317,1,OLE220,3,13,OpenLibraryEnvironmentTransactionalDocument
OLE327,OLE327,1,OLE233,11,5,PayeeACHAccount
OLE328,OLE328,1,OLE233,11,6,bankAccountNumber
OLE329,OLE329,1,OLE234,11,5,ACHBank
OLE330,OLE330,1,OLE234,11,6,bankRoutingNumber
OLE331,OLE331,1,OLE235,11,5,PayeeACHAccount
OLE332,OLE332,1,OLE235,11,6,bankAccountNumber
OLE333,OLE333,1,OLE236,11,5,PayeeACHAccount
OLE334,OLE334,1,OLE236,11,6,bankRoutingNumber
OLE337,OLE337,1,OLE238,52,13,OLEFinancialProcessingSimpleMaintenanceDocument
OLE338,OLE338,1,OLE238,52,16,PreRoute
OLE339,OLE339,1,OLE238,52,6,sourceAccountingLines
OLE340,OLE340,1,OLE239,52,13,OLEFinancialProcessingSimpleMaintenanceDocument
OLE341,OLE341,1,OLE239,52,16,PreRoute
OLE342,OLE342,1,OLE239,52,6,targetAccountingLines
OLE346,OLE346,1,OLE241,52,13,OLE_PUR
OLE347,OLE347,1,OLE241,52,16,PreRoute
OLE348,OLE348,1,OLE241,52,6,items.sourceAccountingLines
OLE349,OLE349,1,OLE242,52,13,OLE_AP
OLE350,OLE350,1,OLE242,52,16,PreRoute
OLE351,OLE351,1,OLE242,52,6,items.sourceAccountingLines
OLE372,OLE372,1,OLE256,10,5,BatchJobStatus
OLE373,OLE373,1,OLE257,12,2,org.kuali.ole.module.purap.web.struts.B2BAction
OLE374,OLE374,1,OLE258,9,13,OLE_PREQ
OLE375,OLE375,1,OLE258,9,9,Invoice Image
OLE377,OLE377,1,OLE260,9,13,OLE_PREQ
OLE378,OLE378,1,OLE260,9,9,Invoice Image
OLE382,OLE382,1,OLE263,59,13,OLE
OLE383,OLE383,1,OLE263,59,8,FALSE
OLE391,OLE391,1,OLE268,8,13,OLE_PREQ
OLE392,OLE392,1,OLE268,8,15,R
OLE393,OLE393,1,OLE269,3,13,OLEPurchasingAccountsPayableTransactionalDocument
OLE394,OLE394,1,OLE270,12,2,org.kuali.ole.module.purap.document.web.struts.PrintAction
OLE395,OLE395,1,OLE271,12,2,org.kuali.ole.sys.web.struts.ElectronicFundTransferAction
OLE396,OLE396,1,OLE272,14,10,printPurchaseOrder
OLE538,OLE538,1,OLE272,14,13,OLE_PO
OLE397,OLE397,1,OLE273,14,10,previewPrintPurchaseOrder
OLE539,OLE539,1,OLE273,14,13,OLE_PO
OLE398,OLE398,1,OLE274,14,10,assignSensitiveData
OLE540,OLE540,1,OLE274,14,13,OLE_PO
OLE399,OLE399,1,OLE275,14,10,resendPurchaseOrder
OLE541,OLE541,1,OLE275,14,13,OLE_PO
OLE400,OLE400,1,OLE276,14,10,requestPaymentRequestCancel
OLE542,OLE542,1,OLE276,14,13,OLE_PREQ
OLE401,OLE401,1,OLE277,14,10,paymentRequestHoldCancelRemoval
OLE543,OLE543,1,OLE277,14,13,OLE_PREQ
OLE406,OLE406,1,OLE280,52,13,OLE_PCDO
OLE407,OLE407,1,OLE280,52,16,AccountFullEdit
