PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE55,OLE55,1,10,OLE-COA,Initiate Document GOBJ,Authorizes the initiation of the Global Object Code Document.,Y
OLE56,OLE56,1,10,OLE-COA,Initiate Document ORGR,Authorizes the initiation of the Organization Reversion Document.,Y
OLE58,OLE58,1,1,OLE-COA,Edit Inactive Account,Users who can edit Accounts that are inactive.,Y
OLE59,OLE59,1,1,OLE-COA,Serve As Account Manager,Identifies users that can be Account Managers,Y
OLE60,OLE60,1,26,OLE-COA,Modify Maintenance Document Field SubAccount a21SubAccount,Authorizes users to edit the Sub-Account Type Code on the Sub-Account document.,Y
OLE61,OLE61,1,26,OLE-COA,Modify Maintenance Document Field Organization organizationPlantChartCode,Users who can edit the Organization Plant Chart Code on the Organization document.,Y
OLE62,OLE62,1,26,OLE-COA,Modify Maintenance Document Field Organization organizationPlantAccountNumber,Users who can edit the Organization Plant Account Number on the Organization document.,Y
OLE63,OLE63,1,26,OLE-COA,Modify Maintenance Document Field Organization campusPlantChartCode,Users who can edit the Campus Plant Chart Code on the Organization document.,Y
OLE64,OLE64,1,26,OLE-COA,Modify Maintenance Document Field Organization campusPlantAccountNumber,Users who can edit the Campus Plant Account Number on the Organization document.,Y
OLE66,OLE66,1,OLE7,OLE-FP,Claim Electronic Payment DI,Users who can use a Distribution of Income and Expense document to claim Electronic Payments.,Y
OLE67,OLE67,1,OLE7,OLE-FP,Claim Electronic Payment YEDI,Users who can use a Year End Distribution of Income and Expense document to claim Electronic Payments.,Y
OLE69,OLE69,1,10,OLE-FP,Initiate Document CMD,Authorizes the initiation of the Cash Management Document.,Y
OLE70,OLE70,1,10,OLE-FP,Initiate Document SB,Authorizes the initiation of the Service Billing Document.,Y
OLE71,OLE71,1,10,OLE-FP,Initiate Document JV,Authorizes the initiation of the Journal Voucher Document.,Y
OLE72,OLE72,1,10,OLE-FP,Initiate Document PCDO,Authorizes the initiation of the  Procurement Card Document.,Y
OLE73,OLE73,1,27,OLE-FP,Full Unmask Field ProcurementCardHolder transactionCreditCardNumber,Authorizes users to view the entire Credit Card number on the Procurement Card document and Inquiry.,Y
OLE74,OLE74,1,33,OLE-FP,Upload Batch Input File(s) procurementCardInputFileType,Authorizes users to access the Procurement Card Upload page.,Y
OLE75,OLE75,1,10,OLE-GL,Initiate Document GLCP,Authorizes the initiation of the  General Ledger Correction Process Document.,Y
OLE76,OLE76,1,33,OLE-GL,Upload Batch Input File(s) collectorXmlInputFileType,Authorizes user to access the Collector XML Upload page.,Y
OLE77,OLE77,1,33,OLE-GL,Upload Batch Input File(s) enterpriseFeederFileSetType,Authorizes user to access the Enterprise Feed Upload page.,Y
OLE80,OLE80,1,1,OLE-PDP,Set as Immmediate Pay,Authorizes users to set and remove immediate status on payments in PDP.,Y
OLE81,OLE81,1,10,OLE-PDP,Initiate Document PDSM,Authorizes the initiation of Pre-Disbursement Processor Simple Maintenance Documents.,Y
OLE82,OLE82,1,1,OLE-PDP,Cancel Payment,Authorizes users to take the Cancel action on payments in PDP.,Y
OLE83,OLE83,1,1,OLE-PDP,Format,Authorizes users to access and run the Format Checks /ACH screen in PDP,Y
OLE84,OLE84,1,1,OLE-PDP,Hold Payment / Remove Non-Tax Payment Hold,Authorizes users to hold payments and remove non-tax related holds on payments in PDP.,Y
OLE86,OLE86,1,1,OLE-PDP,Remove Format Lock,Users who can reset a format process in PDP.,Y
OLE87,OLE87,1,1,OLE-PDP,Remove Payment Tax Hold,Authorizes users to remove payments held for tax review in PDP.,Y
OLE88,OLE88,1,24,OLE-PDP,Inquire Into Records KFS-PDP,Allows users to access Pre Disbursement Processor inquiries.,Y
OLE89,OLE89,1,23,OLE-PDP,Look Up Records KFS-PDP,Allow users to access Pre Disbursement Processor lookups.,Y
OLE90,OLE90,1,33,OLE-PDP,Upload Batch Input File(s) paymentInputFileType,Allows access to the Manually Upload Payment File screen in PDP.,Y
OLE91,OLE91,1,4,OLE-PURAP,Blanket Approve Document PREQ,Allows access to the Blanket Approval button on the Payment Request Document.,Y
OLE92,OLE92,1,10,OLE-PURAP,Initiate Document REQS,Authorizes the initiation of the Requisition Document.,Y
OLE93,OLE93,1,10,OLE-PURAP,Initiate Document PUR,Authorizes the initiation of Purchasing Transactional Documents.,Y
OLE94,OLE94,1,10,OLE-PURAP,Initiate Document PO,Authorizes the initiation of the Purchase Order Document.,Y
OLE95,OLE95,1,10,OLE-PURAP,Initiate Document POC,Authorizes the initiation of the Purchase Order Close Document.,Y
OLE96,OLE96,1,10,OLE-PURAP,Initiate Document PORT,Authorizes the initiation of the Purchase Order Retransmit Document.,Y
OLE97,OLE97,1,10,OLE-PURAP,Initiate Document PREQ,Authorizes the initiation of the Payment Request Document.,Y
OLE98,OLE98,1,10,OLE-PURAP,Initiate Document RCV,Authorizes the initiation of Receiving Transactional Documents.,Y
OLE99,OLE99,1,10,OLE-PURAP,Initiate Document EIRT,Authorizes the initiation of the Electronic Invoice Reject Document.,Y
OLE100,OLE100,1,16,OLE-PURAP,Edit Document REQS PreRoute,Edit permission for the Requisition document prior to the document being submitted.,Y
OLE101,OLE101,1,16,OLE-PURAP,Edit Document PO PreRoute,Edit permission for the Purchase Order document prior to the document being submitted.,Y
OLE102,OLE102,1,16,OLE-PURAP,Edit Document AP PreRoute,Edit permission for Accounts Payable Transactional documents prior to the document being submitted.,Y
OLE103,OLE103,1,16,OLE-PURAP,Edit Document RCV PreRoute,Edit permission for Receiving Transactional documents prior to the document being submitted.,Y
OLE107,OLE107,1,OLE7,OLE-SYS,Claim Electronic Payment,Allows access to the Electronic Fund Transfer interface for the claiming of electronic funds.,Y
OLE108,OLE108,1,OLE6,OLE-SYS,Error Correct Document KFST,Allows access to the Error Correction button on OLE Transactional documents.,Y
OLE113,OLE113,1,3,OLE-SYS,Administer Routing for Document KFS,Allows users to open OLE documents via the Super search option in Document Search and take Administrative workflow actions on them (such as approving the document  approving individual requests  or sending the document to a specified route node).,Y
OLE114,OLE114,1,4,OLE-SYS,Blanket Approve Document KFS,Allows access to the Blanket Approval button on OLE Financial System Documents.,Y
OLE115,OLE115,1,10,OLE-SYS,Initiate Document KFS,Authorizes the initiation of Financial System Documents.,Y
OLE116,OLE116,1,10,OLE-SYS,Initiate Document FSSM,Authorizes the initiation of Financial System Simple Maintenance documents.,Y
OLE117,OLE117,1,10,OLE-SYS,Initiate Document BANK,Authorizes the initiation of the Bank Maintenance Document.,Y
OLE119,OLE119,1,35,OLE-SYS,Assign Role KFS*,Authorizes users to modify the information on the Assignees Tab of the Role Document and the Roles section of the Membership Tab on the Person Document for roles with a Module Code beginning with OLE.,Y
OLE120,OLE120,1,36,OLE-SYS,Grant Permission KFS*,Authorizes users to modify the information on the Permissions tab of the Role Document for roles with a module code beginning with OLE.,Y
OLE121,OLE121,1,37,OLE-SYS,Grant Responsibility KFS*,Authorizes users to modify the information on the Responsibility tab of the Role Document for roles with a Module Code that begins with OLE.,Y
OLE122,OLE122,1,38,OLE-SYS,Populate Group KFS*,Authorizes users to modify the information on the Assignees Tab of the Group Document and the Group section of the Membership Tab on the Person Document for groups with namespaces beginning with OLE.,Y
OLE128,OLE128,1,27,OLE-SYS,Full Unmask Field Bank bankAccountNumber,Authorizes users to view the entire bank account number on the Bank document and Inquiry.,Y
OLE129,OLE129,1,24,OLE-SYS,Inquire Into Records KFS*,Allows users to access OLE inquiries.,Y
OLE130,OLE130,1,23,OLE-SYS,Look Up Records KFS*,Allow users to access OLE lookups.,Y
OLE131,OLE131,1,34,OLE-SYS,Maintain System Parameter KFS*,Authorizes users to initiate and edit the Parameter document for pameters with a module code beginning with OLE.,Y
OLE132,OLE132,1,32,OLE-SYS,Modify Batch Job KFS*,Allows users to access and run Batch Jobs associated with OLE modules via the Schedule link.,Y
OLE133,OLE133,1,40,OLE-SYS,Open Document KFS,Authorizes users to open OLE Financial System Documents.,Y
OLE134,OLE134,1,28,OLE-SYS,Partial Unmask Field Bank bankAccountNumber,Authorizes users to view the last four-digits of the bank account number on the Bank document and Inquiry.,Y
OLE135,OLE135,1,29,OLE-SYS,Use Screen KFS*,Allows users access to screens in the OLE that are not documents  lookups  inquiries  or batch uploads.,Y
OLE136,OLE136,1,10,OLE-VND,Initiate Document PVEN,Authorizes users to initiate the Vendor Maintenance Document.,Y
OLE137,OLE137,1,27,OLE-VND,Full Unmask Field VendorDetail vendorHeader.vendorTaxNumber,Authorizes users to view the entire Tax Number on the Vendor Maintenance Document and Inquiry.,Y
OLE138,OLE138,1,26,OLE-VND,Modify Maintenance Document Field VendorDetail vendorHeader.vendorTaxNumber,Authorizes users to modify the Tax Number on a Vendor Maintenance Document.,Y
OLE139,OLE139,1,44,OLE-VND,Modify Maintenance Document Section VendorDetail vendorContracts,Authorizes users to see and edit the Contracts Tab on the Vendor Maintenance Document.,Y
OLE169,OLE169,1,15,OLE-SYS,Save Document KFS,Authorizes user to save documents answering to the FinancialSystemDocument parent document Type.,Y
OLE184,OLE184,1,44,OLE-VND,Modify Maintenance Document Section VendorDetail vendorCommodities,Allows users to modify the Vendor Commodity Codes tab on the Vendor document. ,Y
OLE185,OLE185,1,16,OLE-FP,Edit Document CMD PreRoute,Authorizes users who can edit the Cash Management Document prior to it being submitted for routing.,Y
OLE187,OLE187,1,27,OLE-FP,Full Unmask Field DisbursementPayee taxNumber,Allows users to view the tax id in the Disbursement Voucher.,Y
OLE189,OLE189,1,OLE41,OLE-FP,Modify Accounting Lines SB PreRoute sourceAccountingLines,Allows users to modify the Target accounting lines on a Procurement Card Document that is at the Account Full Entry Node of routing.,Y
OLE190,OLE190,1,OLE41,OLE-FP,Modify Accounting Lines FP Account sourceAccountingLines,Allows users to modify the Source accounting lines on documents answering to the parent document Financial Processing Transactional Document when a document is at the Account Node of routing.,Y
OLE191,OLE191,1,OLE41,OLE-FP,Modify Accounting Lines FP Account targetAccountingLines,Allows users to modify the Target accounting lines on documents answering to the parent document Financial Processing Transactional Document when a document is at the Account Node of routing.,Y
OLE192,OLE192,1,OLE41,OLE-FP,Modify Accounting Lines DV Campus sourceAccountingLines.financialObjectCode,Allows users to modify the object code of Source accounting lines on a Disbursement Voucher document that is at the Campus Node of routing.,Y
OLE193,OLE193,1,OLE41,OLE-FP,Modify Accounting Lines DV Tax sourceAccountingLines.amount,Allows users to modify the amount of Source accounting lines on a Disbursement Voucher document that is at the Tax Node of routing.,Y
OLE194,OLE194,1,OLE41,OLE-FP,Modify Accounting Lines DV Travel sourceAccountingLines.amount,Allows users to modify the amount of Source accounting lines on a Disbursement Voucher document that is at the Travel Node of routing.,Y
OLE195,OLE195,1,OLE41,OLE-FP,Modify Accounting Lines DV PaymentMethod sourceAccountingLines.amount,Allows users to modify the amount of Source accounting lines on a Disbursement Voucher document that is at the Payment Method Node of routing.,Y
OLE198,OLE198,1,OLE41,OLE-PURAP,Modify Accounting Lines PUR Account items.sourceAccountingLines,Allows users to modify the Source accounting lines on documents answering to the parent document Purchasing Transactional Document when a document is at the Account Node of routing.,Y
OLE199,OLE199,1,OLE41,OLE-PURAP,Modify Accounting Lines AP Account items.sourceAccountingLines,Allows users to modify the Source accounting lines on documents answering to the parent document Accounts PayableTransactional Document when a document is at the Account Node of routing.,Y
OLE209,OLE209,1,31,OLE-FP,Use Transactional Document DV taxEntry,Users who can complete the Nonresident Alien Tax Tab on the Disbursement Voucher document.,Y
OLE210,OLE210,1,31,OLE-FP,Use Transactional Document DV frnEntry,Users who can modify the Foreign Draft tab and disbursement amount on Disbursement Voucher documents.,Y
OLE211,OLE211,1,31,OLE-FP,Use Transactional Document DV wireEntry,Users who can modify Wire Transfer tab and disbursement amount on Disbursement Voucher documents.,Y
OLE212,OLE212,1,31,OLE-FP,Use Transactional Document DV travelEntry,Users who can modify Non-Employee Travel Expense tab  disbursement amount on Disbursement Voucher documents.,Y
OLE217,OLE217,1,31,OLE-PURAP,Use Transactional Document AP editPreExtract,Users who can edit specific data on a Payment Request or Credit Memo before the document is extracted to PDP.,Y
OLE220,OLE220,1,OLE48,OLE-SYS,Edit Bank Code OpenLibraryEnvironmentTransactionalDocument,Users who can edit the Bank Code field on documents answering to the parent document Financial System Transactional Document.,Y
OLE233,OLE233,1,28,OLE-PDP,Partial Unmask Field PayeeACHAccount bankAccountNumber,Authorizes users to view the last four-digits of the bank account number on the Payee ACH document and Inquiry.,Y
OLE234,OLE234,1,27,OLE-PDP,Full Unmask Field ACHBank bankRoutingNumber,Authorizes users to view the entire bank routing number on the ACH Bank document and Inquiry.,Y
OLE235,OLE235,1,27,OLE-PDP,Full Unmask Field PayeeACHAccount bankAccountNumber,Authorizes users to view the entire bank account number on the Payee ACH document and Inquiry.,Y
OLE236,OLE236,1,27,OLE-PDP,Full Unmask Field PayeeACHAccount bankRoutingNumber,Authorizes users to view the entire bank routing number on the Payee ACH document and Inquiry.,Y
OLE238,OLE238,1,OLE41,OLE-FP,Modify Accounting Lines FP PreRoute sourceAccountingLines,Allows users to modify the Source accounting lines on documents answering to the parent document Accounts Financial Processing Transactional Document when a document has not yet been submitted for routing.,Y
OLE239,OLE239,1,OLE41,OLE-FP,Modify Accounting Lines FP PreRoute targetAccountingLines,Allows users to modify the Target accounting lines on documents answering to the parent document Financial Processing Transactional Document when a document has not yet been submitted for routing.,Y
OLE241,OLE241,1,OLE41,OLE-PURAP,Modify Accounting Lines PUR PreRoute items.sourceAccountingLines,Allows users to modify the Source accounting lines on documents answering to the parent document Purchasing Transactional Document when a document has not yet been submitted for routing.,Y
OLE242,OLE242,1,OLE41,OLE-PURAP,Modify Accounting Lines AP PreRoute items.sourceAccountingLines,Allows users to modify the Source accounting lines on documents answering to the parent document Accounts PayableTransactional Document when a document has not yet been submitted for routing.,Y
OLE256,OLE256,1,23,OLE-SYS,Look Up Records BatchJobStatus,Allow users to access the Batch File lookup.,Y
OLE257,OLE257,1,29,OLE-PURAP,Use Screen org.kuali.ole.module.purap.web.struts.B2BAction,Authorizes users to take the Shop Catalogs (or B2B) action.,Y
OLE258,OLE258,1,45,OLE-PURAP,Add Note / Attachment PREQ Invoice Image,Users who can add notes and attachments to the Payment Request document when it is at the Invoice Attachment route node.,Y
OLE260,OLE260,1,46,OLE-PURAP,View Note / Attachment PREQ Invoice Image,"Authorizes users to view attachments with a type of ""Invoice Image"" on Payment Request documents.",Y
OLE263,OLE263,1,47,OLE-SYS,Delete Note / Attachment OLE FALSE,Authorizes users to delete notes and attachments created by any user on documents answering to the Financial System Document parent document type.,Y
OLE268,OLE268,1,16,OLE-PURAP,Edit Document PREQ R,Authorizes users who can edit Payment Request Documents that are in ENROUTE status.,Y
OLE269,OLE269,1,40,OLE-PURAP,Open Document PRAP,Authorizes users to open Purchasing Accounts Payable Transactional documents.,Y
OLE270,OLE270,1,29,OLE-PURAP,Use Screen org.kuali.kfs.module.purap.document.web.struts.PrintAction,Authorizes users to take the Print action on a Purchase Order.,Y
OLE271,OLE271,1,29,OLE-SYS,Use Screen org.kuali.kfs.sys.web.struts.ElectronicFundTransferAction,Allows users to access the Electronic Funds Transfer screen.,Y
OLE272,OLE272,1,31,OLE-PURAP,Use Transactional Document PO printPurchaseOrder,Users who can print a Purchase Order document.,Y
OLE273,OLE273,1,31,OLE-PURAP,Use Transactional Document PO previewPrintPurchaseOrder,Users who can preview a Purchase Order document before printing it.,Y
OLE274,OLE274,1,31,OLE-PURAP,Use Transactional Document PO assignSensitiveData,Users who can assign sensitive data to a Purchase Order document which locks down who is allowed to view the PO and its related documents.,Y
OLE275,OLE275,1,31,OLE-PURAP,Use Transactional Document PO resendPurchaseOrder,Users who can resend Purchase Order cxml to the B2B integrator.,Y
OLE276,OLE276,1,31,OLE-PURAP,Use Transactional Document PREQ requestPaymentRequestCancel,Users authorized to take the Request Cancel action on Payment Request documents.,Y
OLE277,OLE277,1,31,OLE-PURAP,Use Transactional Document PREQ paymentRequestHoldCancelRemoval,Authorizes users to remove Holds or Cancels on Payment Request documents.,Y
OLE280,OLE280,1,OLE41,OLE-FP,Modify Accounting Lines PCDO AccountFullEdit sourceAccountingLines,Allows users to modify the Source accounting lines on a Procurement Card Document that is at the Account Full Entry Node of routing.,Y
