PERM_TMPL_ID,OBJ_ID,VER_NBR,NMSPC_CD,NM,DESC_TXT,KIM_TYP_ID,ACTV_IND
OLE41,OLE41,1,OLE-SYS,Modify Accounting Lines,,52,Y
OLE48,OLE48,1,OLE-SYS,Edit Bank Code,,3,Y
OLE50,OLE50,1,OLE-SYS,Administer Batch File,,OLECNTRB199-TYP1,Y
OLE6,OLE6,1,OLE-SYS,Error Correct Document,,OLE51,Y
OLE7,OLE7,1,OLE-SYS,Claim Electronic Payment,,OLE51,Y
OLESEC1001,OLESEC1001,1,OLE-SEC,View Document with Field Value,,OLESEC1,Y
OLESEC1002,OLESEC1002,1,OLE-SEC,View Accounting Line with Field Value,,OLESEC1,Y
OLESEC1003,OLESEC1003,1,OLE-SEC,View Notes/Attachments with Field Value,,OLESEC1,Y
OLESEC1004,OLESEC1004,1,OLE-SEC,Edit Document with Field Value,,OLESEC1,Y
OLESEC1005,OLESEC1005,1,OLE-SEC,Edit Accounting Line with Field Value,,OLESEC1,Y
OLESEC1006,OLESEC1006,1,OLE-SEC,Lookup with Field Value,,OLESEC2,Y
OLESEC1007,OLESEC1007,1,OLE-SEC,Balance Inquiry with Field Value,,OLESEC3,Y
