ROLE_PERM_ID,OBJ_ID,ROLE_ID,PERM_ID,ACTV_IND
OLE100,OLE100,OLE45,OLE77,Y
OLE1004,OLE1004,OLE49,306,Y
OLE103,OLE103,OLE20,OLE80,Y
OLE104,OLE104,OLE45,OLE81,Y
OLE105,OLE105,OLE19,OLE82,Y
OLE106,OLE106,OLE20,OLE83,Y
OLE107,OLE107,OLE19,OLE84,Y
OLE109,OLE109,OLE19,OLE86,Y
OLE110,OLE110,OLE50,OLE87,Y
OLE1106,OLE1106,OLE62,OLE1100,Y
OLE1107,OLE1107,OLE55,OLE1100,Y
OLE1108,OLE1108,95,OLE1101,Y
OLE1111,OLE1111,61,OLE1103,Y
OLE113,OLE113,OLE19,OLE89,Y
OLE114,OLE114,OLE18,OLE89,Y
OLE115,OLE115,OLE18,OLE90,Y
OLE116,OLE116,OLE44,OLE91,Y
OLE117,OLE117,OLE62,OLE91,Y
OLE118,OLE118,OLE32,OLE92,Y
OLE119,OLE119,OLE54,OLE92,Y
OLE121,OLE121,OLE26,OLE93,Y
OLE123,OLE123,OLE26,OLE94,Y
OLE124,OLE124,OLE62,OLE94,Y
OLE125,OLE125,OLE32,OLE95,Y
OLE126,OLE126,OLE54,OLE95,Y
OLE127,OLE127,OLE32,OLE96,Y
OLE128,OLE128,OLE54,OLE96,Y
OLE129,OLE129,OLE22,OLE97,Y
OLE130,OLE130,OLE32,OLE98,Y
OLE131,OLE131,OLE54,OLE98,Y
OLE132,OLE132,OLE62,OLE99,Y
OLE133,OLE133,OLE32,OLE100,Y
OLE134,OLE134,OLE54,OLE100,Y
OLE136,OLE136,OLE26,OLE101,Y
OLE137,OLE137,OLE22,OLE102,Y
OLE138,OLE138,OLE32,OLE103,Y
OLE139,OLE139,OLE54,OLE103,Y
OLE143,OLE143,OLE16,OLE107,Y
OLE144,OLE144,95,OLE108,Y
OLE151,OLE151,OLE55,OLE113,Y
OLE152,OLE152,OLE44,OLE114,Y
OLE153,OLE153,OLE54,OLE115,Y
OLE154,OLE154,OLE44,OLE116,Y
OLE155,OLE155,OLE45,OLE117,Y
OLE157,OLE157,OLE44,OLE119,Y
OLE158,OLE158,OLE44,OLE120,Y
OLE159,OLE159,OLE44,OLE121,Y
