PERM_ID,OBJ_ID,VER_NBR,PERM_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE10004,OLE10004,1,23,OLE-SELECT,Requisition LookUp,Lookup of Requisition Document,Y
OLE10005,OLE10005,1,16,OLE-SELECT,Requisition Edit,Editing the Requisition Document,Y
OLE10006,OLE10006,2,14,OLE-SELECT,Requisition Cancel,Cancelling Requisition Document,Y
OLE10007,OLE10007,1,8,OLE-SELECT,Requisition Approve,Approving the Requisition Document,Y
OLE10008,OLE10008,1,1,OLE-SELECT,Assign To Others,can search  take & assign requisitions to selectors,Y
OLE10009,OLE10009,1,16,OLE-PURAP,PurchaseOrder Edit,Editing PurchaseOrder Document,Y
OLE10010,OLE10010,1,8,OLE-PURAP,PurchaseOrder Approve,Approving PurchaseOrder on Condition,Y
OLE10011,OLE10011,1,16,OLE-PURAP,PurchaseOrder Amendment Edit,Editing the Amend PurchaseOrder Document,Y
OLE10012,OLE10012,1,14,OLE-PURAP,PurchaseOrder Amendment Cancel,Cancelling the Amend PurchaseOrder,Y
OLE10013,OLE10013,1,1,OLE-PURAP,PurchaseOrder Amendment Acknowledge,Acknowledging for PurchaseOrder Amend Document,Y
OLE10014,OLE10014,1,42,OLE-PURAP,PurchaseOrder Amendment Creation,Creating a PurchaseOrder Amendment Document,Y
OLE10015,OLE10015,1,10,OLE-VND,Create Vendor,Creating a new Vendor,Y
OLE10016,OLE10016,1,8,OLE-VND,Vendor Approval,Approving the vendor which is new,Y
OLE10017,OLE10017,2,16,OLE-VND,Edit Vendor,Editing the Vendor which is created,Y
OLE10018,OLE10018,1,42,OLE-PURAP,PurchaseOrder Creation,Creating Purchase Order,Y
OLE10019,OLE10019,1,14,OLE-PURAP,PurchaseOrder Cancel,Cancelling PurchaseOrder Document,Y
OLE10020,OLE10020,1,8,OLE-PURAP,PurchaseOrder Approve Conditional,Approving PurchaseOrder Document depending on amount,Y
OLE10021,OLE10021,1,26,OLE-VND,Edit Discounts,Authorizes users to modify Discount on Vendor Document,Y
OLE10022,OLE10022,1,1,OLE-SELECT,Load Error,Authorizes users to reloads  routes the Document for action,Y
OLE10023,OLE10023,1,1,OLE-SELECT,Load Duplicate Check,Authorizes users to check for Duplicate Records,Y
OLE10024,OLE10024,1,1,OLE-SELECT,Load Fund Check,Authorizes users to check the Funds and routes the reports to corresponding selectors,Y
OLE10025,OLE10025,1,1,OLE-PURAP,Transmit PO,Transmitting the PurchaseOrder Document,Y
OLE10026,OLE10026,1,1,OLE-PURAP,Retransmit PurchaseOrder,Authorizes users to Retransmit the PurchaseOrder Document,Y
OLE10027,OLE10027,1,1,OLE-SELECT,Setup New Users,Authorizes Users to add New Users,Y
OLE10028,OLE10028,2,8,OLE-SELECT,Condition on Line Item,Authorizes users to send FYI to ACQ  Manager,Y
OLE10029,OLE10029,1,8,OLE-SELECT,New Vendor,Authorizes Users to send FYI to ACQ Manager when a new Vendor is Created,Y
OLE10030,OLE10030,1,1,OLE-SELECT,No Selector in Load,Authorizes user to route the Document if no Selector identifed,Y
OLE10031,OLE10031,1,1,OLE-SELECT,Requisition Auto,System Generated,Y
OLE10032,OLE10032,1,1,OLE-SELECT,Staff Pickup,Authorizes Users to send to any Selectors,Y
OLE10035,OLE10035,2,24,OLE-SELECT,Inquire Into Records,Authorizes users to Inquire Records,Y
OLE10036,OLE10036,2,40,OLE-SELECT,Open Document,Authorizes users to open Vendor Documents.,Y
OLE10041,OLE10041,1,10,OLE-SELECT,Initiate OLE Documents,Authorizes the initiation of Financial System Documents.,Y
OLE10042,OLE10042,6,42,OLE-SELECT,Initiate Vendor Document,Authorizes users to Create Vendor Document,Y
OLE10043,OLE10043,3,42,OLE-SELECT,Edit Vendor Document,Authorizes users to Edit Vendor Document,Y
OLE10044,OLE10044,1,10,OLE-SELECT,Initiate Receiving Line Items Document,Authorizes the initiation of Receiving Line Items Transactional Documents.,N
OLE10045,OLE10045,1,16,OLE-SELECT,Edit Receiving Line Items Document,Edit permission for Receiving Line Items Transactional documents prior to the document being submitted.,N
OLE10046,OLE10046,1,4,OLE-SELECT,Blanket Approve Receiving Line Items  Document,Allows access to the Blanket Approval button on OLE Receiving Line Item Documents.,Y
OLE10047,OLE10047,1,40,OLE-SELECT,Open Receiving Line Items Document,Authorizes users to open Receiving Line Items document.,Y
OLE10048,OLE10048,1,4,OLE-SELECT,Blanket Approve RCVC Document,Allows access to the Blanket Approval button on OLE Receiving Line Item Documents.,Y
OLE10049,OLE10049,1,10,OLE-SELECT,Initiate Payment Request Document,Authorizes the initiation of the Payment Request Document.,N
OLE10050,OLE10050,1,16,OLE-SELECT,Edit ENROUTE Payment Request Document,Authorizes users who can edit Payment Request Documents that are in ENROUTE status.,Y
OLE10051,OLE10051,1,16,OLE-SELECT,Edit PROCESSED Payment Request Document,Authorizes users who can edit Payment Request Documents that are in ENROUTE status.,Y
OLE10052,OLE10052,1,16,OLE-SELECT,Edit FINAL Payment Request Document,Authorizes users who can edit Payment Request Documents that are in ENROUTE status.,Y
OLE10053,OLE10053,1,OLE41,OLE-SELECT,Modify PREQ Account Accounting Lines,Allows users to modify the Source accounting lines on documents answering to the parent document Accounts PayableTransactional Document when a document is at the Account Node of routing.,Y
OLE10054,OLE10054,1,31,OLE-SELECT,Cancel Payment Request,Users authorized to take the Request Cancel action on Payment Request documents.,Y
OLE10055,OLE10055,1,1,OLE-SELECT,Add New Line Item,Authorizes the User to add new Line Item while receiving PO,Y
OLE10056,OLE10056,1,16,OLE-SELECT,Close Purchase Order,Authorizes the User Close PO,Y
OLE10057,OLE10057,1,16,OLE-SELECT,Edit Payment Request Document,Edit permission Payment Request document prior to the document being submitted.,Y
OLE10060,OLE10060,2,1,OLE-SELECT,Firm Type Requisition Edit,Editing the Firm Type Requisition Document,Y
OLE10061,OLE10061,2,1,OLE-SELECT,Firm Type PurchaseOrder Edit,Editing Firm Type PurchaseOrder Document,Y
OLE10062,OLE10062,2,16,OLE-SELECT,Firm Type PurchaseOrder Amendment Edit,Editing the Firm Tpye Amend PurchaseOrder Document,Y
OLE10063,OLE10063,2,1,OLE-SELECT,Edit Own Requisition Document,Edit permission for own Requisition document,Y
OLE10064,OLE10064,1,1,OLE-SELECT,Edit Own Assigned Requisition Document,Edit permission for own or Assigned Requisition document,Y
OLE10065,OLE10065,1,16,OLE-SELECT,Edit Void Document,Edit permission for the Purchase Order Void document prior to the document being submitted.,Y
OLE10066,OLE10066,1,16,OLE-SELECT,Edit Split Document,Edit permission for the Purchase Order Split document prior to the document being submitted.,Y
OLE10067,OLE10067,1,16,OLE-SELECT,Edit Reopen Document,Edit permission for the Purchase Order Reopen document prior to the document being submitted.,Y
OLE10068,OLE10068,3,16,OLE-SELECT,Print Action,Authorizes users to take the Print action on a Purchase Order.,Y
OLE10069,OLE10069,3,16,OLE-SELECT,Print Purchase Order,Users who can print a Purchase Order document.,Y
OLE10070,OLE10070,3,16,OLE-SELECT,Preview Purchase Order,Users who can preview a Purchase Order document before printing it.,Y
OLE10071,OLE10071,1,1,OLE-SELECT,Other Type Requisition Edit,Editing the Other Order Type Requisition Document,Y
OLE10100,OLE10100,1,33,OLE-PURAP,Upload ordInputFileType,Authorizes users to access and upload the ordinary File.,Y
OLE10108,OLE10108,1,1,OLE-SELECT,Search Load Summary,Authorizes the User to add Search Load Summary,Y
OLE10109,OLE10109,1,16,OLE-SELECT,View Load Summary,Authorizes the User to add View Load Summary,Y
OLE10110,OLE10110,1,1,OLE-SELECT,Other Type PurchaseOrder Edit,Editing the Other Order Type Purchase Order Document,Y
OLE10111,OLE10111,1,16,OLE-SELECT,Other Type PurchaseOrder Amendment Edit,Editing the Other Order Type Purchase Order Amendment Document,Y
OLE10112,OLE10112,1,16,OLE-SELECT,Edit Requisition Document,,Y
OLE10115,OLE10115,1,10,OLE-PURAP,Initiate Order Queue Document,Authorizes the initiation of Order Queue Documents.,Y
OLE10116,OLE10116,1,10,OLE-SELECT,Initiate Receiving Document,Authorizes the initiation of Receiving Documents.,N
OLE10117,OLE10117,1,16,OLE-SELECT,Edit Receiving Document,Authorizes the edit of Receiving Documents.,N
OLE10118,OLE10118,1,16,OLE-SELECT,Edit Receiving Queue Document,Authorizes the edit of Receiving Queue Documents.,Y
OLE10119,OLE10119,1,10,OLE-SELECT,Initiate Receiving Queue Document,Authorizes the initiation of Receiving Queue Documents.,Y
OLE10120,OLE10120,1,1,OLE-SELECT,Assign own Requisition,Assign own Requisition,Y
OLE10121,OLE10121,1,4,OLE-SELECT,Blanket Approve Vendor Document,Allows access to the Blanket Approval button on OLE Vendor Documents.,Y
OLE10122,OLE10122,1,4,OLE-SELECT,Blanket Approve PO Amendment Document,Allows access to the Blanket Approval button on POA Documents.,Y
OLE80141,OLE80141,1,1,OLE-SELECT,Create Vendor Division,Authorizes users to Edit Vendor Document,Y
OLE80142,OLE80142,1,1,OLE-SELECT,Deactivate Vendor,Authorizes users to deactivate Vendor Document,Y
OLE80155,OLE80155,1,1,OLE-SELECT,Delete UnApproved PREQ Document,This Permission is used to delete the unapproved Payment Request Documents.,Y
OLE80156,OLE80156,1,1,OLE-SELECT,Delete Approved PREQ Document,This Permission is used to delete the approved Payment Request Documents.,Y
OLE80157,OLE80157,1,10,OLE-SELECT,Initiate Document OLE_DI,This Permission is for Initiating the Distribution of Income and Expense Document.,Y
OLE80158,OLE80158,1,10,OLE-SELECT,Initiate Document OLE_DV,This Permission is for Initiating the Disbursement Voucher Document.,Y
OLE80159,OLE80159,1,16,OLE-SELECT,Edit Document OLE_DV PreRoute,This Permission is for the Disbursement Voucher document in the PreRoute state.,Y
OLE80160,OLE80160,1,16,OLE-SELECT,Edit Document OLE_DV ENROUTE,This Permission is for the Disbursement Voucher Document which is in Enroute state.,Y
OLE80161,OLE80161,1,16,OLE-SELECT,Edit Document OLE_CM PreRoute,This Permission is for the Credit Memo which is in PreRoute state.,Y
OLE80162,OLE80162,1,10,OLE-SELECT,Initiate Document OLE_GEC,Initiate Permission of the General Error Correction Document.,Y
OLE80163,OLE80163,1,1,OLE-SELECT,Edit Vendor Linking Number,Allows users to edit Vendor Linking Number.,Y
OLE80164,OLE80164,1,10,OLE-SELECT,Initiate Budget Document,Allows to create Budget Adjustment document.,Y
OLE80165,OLE80165,1,16,OLE-SELECT,Edit Budget Document,Allows to edit Budget Adjustment document.,Y
OLE80166,OLE80166,1,10,OLE-SELECT,Initiate Transfer Fund Document,Allows to create Transfer Fund document.,Y
OLE80167,OLE80167,1,16,OLE-SELECT,Edit Transfer Fund Document,Allows to edit Transfer Fund document.,Y
OLE80168,OLE80168,1,10,OLE-SELECT,Initiate Deposit Document,Allows to create Deposit Adjustment document.,Y
OLE80169,OLE80169,1,16,OLE-SELECT,Edit Deposit Document,Allows to edit Deposit Adjustment document.,Y
