ROLE_PERM_ID,OBJ_ID,ROLE_ID,PERM_ID,ACTV_IND
OLE10000,OLE10000,OLE10000,OLE10004,Y
OLE10005,OLE10005,OLE10004,OLE10005,Y
OLE10006,OLE10006,OLE10004,OLE10006,Y
OLE10007,OLE10007,OLE10004,OLE10009,Y
OLE10008,OLE10008,OLE10004,OLE10011,Y
OLE10009,OLE10009,OLE10004,OLE10012,Y
OLE10010,OLE10010,OLE10004,OLE10014,Y
OLE10011,OLE10011,OLE10004,OLE10017,Y
OLE10013,OLE10013,OLE10005,OLE10005,Y
OLE10014,OLE10014,OLE10005,OLE10006,Y
OLE10015,OLE10015,OLE10005,OLE10009,Y
OLE10016,OLE10016,OLE10005,OLE10017,Y
OLE10018,OLE10018,OLE10006,OLE10005,Y
OLE10019,OLE10019,OLE10006,OLE10006,Y
OLE10020,OLE10020,OLE10006,OLE10009,Y
OLE10021,OLE10021,OLE10006,OLE10015,Y
OLE10022,OLE10022,OLE10006,OLE10017,Y
OLE10024,OLE10024,OLE10012,OLE10005,Y
OLE10025,OLE10025,OLE10012,OLE10006,Y
OLE10026,OLE10026,OLE10012,OLE10009,Y
OLE10027,OLE10027,OLE10012,OLE10014,Y
OLE10028,OLE10028,OLE10012,OLE10017,Y
OLE10031,OLE10031,OLE10014,OLE10015,Y
OLE10032,OLE10032,OLE10014,OLE10017,Y
OLE10037,OLE10037,OLE10016,OLE10014,Y
OLE10038,OLE10038,OLE10016,OLE10011,Y
OLE10039,OLE10039,OLE10016,OLE10012,Y
OLE10040,OLE10040,OLE10016,OLE10017,Y
OLE10041,OLE10041,OLE10005,OLE10023,Y
OLE10042,OLE10042,OLE10005,OLE10032,Y
OLE10043,OLE10043,OLE10012,OLE10021,Y
OLE10044,OLE10044,OLE10014,OLE10021,Y
OLE10046,OLE10046,OLE10017,OLE10017,Y
OLE10047,OLE10047,OLE10017,OLE10021,Y
OLE10048,OLE10048,OLE10017,OLE10015,Y
OLE10050,OLE10050,OLE10001,OLE10027,Y
OLE10051,OLE10051,OLE10001,OLE10022,Y
OLE10052,OLE10052,OLE10001,OLE10031,Y
OLE10053,OLE10053,OLE10001,OLE10018,Y
OLE10054,OLE10054,OLE10003,OLE10022,Y
OLE10055,OLE10055,OLE10003,OLE10032,Y
OLE10056,OLE10056,OLE10004,OLE10032,Y
OLE10057,OLE10057,OLE10004,OLE10023,Y
OLE10058,OLE10058,OLE10005,OLE10030,Y
OLE10059,OLE10059,OLE10005,OLE10008,Y
OLE10060,OLE10060,OLE10006,OLE10011,Y
OLE10061,OLE10061,OLE10006,OLE10012,Y
OLE10062,OLE10062,OLE10006,OLE10014,Y
OLE10063,OLE10063,OLE10006,OLE10026,Y
OLE10064,OLE10064,OLE10018,OLE10024,Y
OLE10065,OLE10065,OLE10000,OLE10035,Y
OLE10078,OLE10078,OLE10000,OLE10036,Y
OLE10096,OLE10096,OLE10000,OLE10041,Y
OLE10097,OLE10097,OLE10004,OLE94,Y
OLE10100,OLE10100,OLE10017,OLE10042,Y
OLE10101,OLE10101,OLE10014,OLE10042,Y
OLE10102,OLE10102,OLE10006,OLE10042,Y
OLE10103,OLE10103,OLE10012,OLE10043,Y
OLE10104,OLE10104,OLE10016,OLE10043,Y
OLE10105,OLE10105,OLE10004,OLE10043,Y
OLE10106,OLE10106,OLE54,OLE10042,Y
OLE10107,OLE10107,OLE54,OLE10017,Y
OLE10108,OLE10108,OLE10005,OLE10043,Y
OLE10152,OLE10152,OLE26,OLE10011,Y
OLE10153,OLE10153,OLE26,OLE10012,Y
OLE10154,OLE10154,OLE26,OLE10014,Y
OLESEC10109,OLESEC10109,OLE10000,OLESEC6001,Y
OLESEC10110,OLESEC10110,OLE10000,OLESEC6002,Y
OLESEC10111,OLESEC10111,OLE10000,OLESEC6003,Y
OLESEC10112,OLESEC10112,OLE10001,OLESEC6001,Y
OLESEC10113,OLESEC10113,OLE10001,OLESEC6002,Y
OLESEC10114,OLESEC10114,OLE10001,OLESEC6003,Y
OLESEC10115,OLESEC10115,OLE10002,OLESEC6001,Y
OLESEC10116,OLESEC10116,OLE10002,OLESEC6002,Y
OLESEC10117,OLESEC10117,OLE10002,OLESEC6003,Y
OLESEC10118,OLESEC10118,OLE10003,OLESEC6001,Y
OLESEC10119,OLESEC10119,OLE10003,OLESEC6002,Y
OLESEC10120,OLESEC10120,OLE10003,OLESEC6003,Y
OLESEC10121,OLESEC10121,OLE10004,OLESEC6001,Y
OLESEC10122,OLESEC10122,OLE10004,OLESEC6002,Y
OLESEC10123,OLESEC10123,OLE10004,OLESEC6003,Y
OLESEC10124,OLESEC10124,OLE10005,OLESEC6001,Y
OLESEC10125,OLESEC10125,OLE10005,OLESEC6002,Y
