ROLE_RSP_ACTN_ID,OBJ_ID,ACTN_TYP_CD,PRIORITY_NBR,ACTN_PLCY_CD,ROLE_MBR_ID,ROLE_RSP_ID,FRC_ACTN
OLE101,OLE101,A,1,F,*,OLE1004,Y
OLE104,OLE104,A,1,F,*,OLE1066,Y
OLE106,OLE106,A,1,A,*,OLE1089,Y
OLE108,OLE108,A,1,F,*,OLE1009,N
OLE110,OLE110,A,1,F,*,OLE1067,Y
OLE111,OLE111,F,1,F,*,OLE1006,Y
OLE113,OLE113,A,1,F,*,OLE1077,Y
OLE114,OLE114,A,1,F,*,OLE1062,N
OLE115,OLE115,F,1,F,*,OLE1079,Y
OLE124,OLE124,A,1,A,*,OLE1099,N
OLE132,OLE132,F,1,A,*,OLE1107,Y
OLE133,OLE133,F,1,A,*,OLE1108,Y
OLE134,OLE134,A,1,F,*,OLE1109,Y
OLE138,OLE138,A,1,F,*,OLE1113,Y
OLE169,OLE169,A,1,A,*,OLE1121,Y
OLE201,OLE201,F,1,A,*,OLE1125,Y
OLE34,OLE34,A,1,A,*,OLE1037,N
OLE47,OLE47,A,1,F,*,OLE1015,N
OLE48,OLE48,A,2,F,*,OLE1068,N
OLE52,OLE52,F,1,F,*,OLE1017,N
OLE53,OLE53,A,2,A,*,OLE1070,N
OLE56,OLE56,A,1,F,*,OLE1024,N
OLE74,OLE74,A,1,F,*,OLE1000,N
OLE76,OLE76,A,1,F,*,OLE1001,N
OLE78,OLE78,A,1,F,*,OLE1011,N
OLE79,OLE79,A,1,F,*,OLE1065,N
OLE80,OLE80,A,1,F,*,OLE1002,N
OLE81,OLE81,A,1,F,*,OLE1083,N
OLEFP7037A,OLEFP7037A,A,1,F,*,OLEFP7037A,N
OLE82,OLE82,A,1,F,*,OLE1120,Y
