ROLE_RSP_ID,OBJ_ID,ROLE_ID,RSP_ID,ACTV_IND
OLE1000,OLE1000,OLE11,OLE44,Y
OLE1001,OLE1001,OLE12,OLE46,Y
OLE1002,OLE1002,OLE15,OLE50,Y
OLE1004,OLE1004,OLE22,OLE71,Y
OLE1006,OLE1006,OLE22,OLE81,Y
OLE1009,OLE1009,OLE25,OLE78,Y
OLE1011,OLE1011,OLE26,OLE48,Y
OLE1012,OLE1012,OLE28,OLE4,Y
OLE1015,OLE1015,OLE37,OLE26,Y
OLE1017,OLE1017,OLE9,OLE29,Y
OLE1024,OLE1024,OLE39,OLE31,Y
OLE1037,OLE1037,OLE41,OLE12,Y
OLE1062,OLE1062,OLE44,OLE87,Y
OLE1063,OLE1063,OLE48,OLE7,Y
OLE1065,OLE1065,OLE50,OLE49,Y
OLE1066,OLE1066,OLE50,OLE74,Y
OLE1067,OLE1067,OLE50,OLE80,Y
OLE1068,OLE1068,OLE53,OLE26,Y
OLE1070,OLE1070,OLE41,OLE29,Y
OLE1077,OLE1077,OLE55,OLE85,Y
OLE1079,OLE1079,60,OLE91,Y
OLE1082,OLE1082,OLE7,OLE1,Y
OLE1083,OLE1083,OLE70,OLE51,Y
OLE1089,OLE1089,OLE79,OLE76,Y
OLE1092,OLE1092,OLE68,OLE83,Y
OLE1099,OLE1099,OLE41,OLE99,Y
OLE1107,OLE1107,OLE41,OLE107,Y
OLE1108,OLE1108,OLE41,OLE108,Y
OLE1109,OLE1109,OLE22,OLE109,Y
OLE1113,OLE1113,60,OLE113,Y
OLE1118,OLE1118,OLE7,OLE117,Y
OLE1121,OLE1121,OLE41,OLE120,Y
OLE1124,OLE1124,OLE7,OLE123,Y
OLE1125,OLE1125,OLE41,OLE124,Y
OLEFP7037A,OLEFP7037A,OLE55,OLE126,Y
OLEMI4553-4,OLEMI4553-4,OLEMI4553-2,OLE92,Y
OLE1120,OLE1120,OLE50,OLE102,Y
