RSP_ID,OBJ_ID,VER_NBR,RSP_TMPL_ID,NMSPC_CD,NM,DESC_TXT,ACTV_IND
OLE1,OLE1,1,1,OLE-SYS,Review OLE OrganizationHierarchy,,Y
OLE107,OLE107,1,1,OLE-PURAP,Review POA Account,,Y
OLE108,OLE108,1,1,OLE-PURAP,Review CM Account,,Y
OLE109,OLE109,1,1,OLE-PURAP,Review EIRT Management,,Y
OLE113,OLE113,1,1,OLE-PURAP,Review REQS Initiator,,Y
OLE117,OLE117,1,1,OLE-SYS,Review IdentityManagementDocument GroupType,,Y
OLE12,OLE12,1,1,OLE-SYS,Review OLE Account,,Y
OLE120,OLE120,1,1,OLE-FP,Review PCDO Account,,Y
OLE123,OLE123,1,1,OLE-SYS,Review IdentityManagementDocument RoleType,,Y
OLE124,OLE124,1,1,OLE-COA,Review GDLG Account,,Y
OLE26,OLE26,1,1,OLE-SYS,Review OLE Chart,,Y
OLE29,OLE29,1,1,OLE-SYS,Review ACCT Account,,Y
OLE3,OLE3,1,1,OLE-PURAP,Review REQS Organization,,Y
OLE31,OLE31,1,1,OLE-SYS,Review OLE Award,,Y
OLE4,OLE4,1,1,OLE-SYS,Review OLET AccountingOrganizationHierarchy,,Y
OLE44,OLE44,1,1,OLE-FP,Review CR CashManagement,,Y
OLE46,OLE46,1,1,OLE-FP,Review DV Campus,,Y
OLE48,OLE48,1,1,OLE-FP,Review DV Purchasing,,Y
OLE49,OLE49,1,1,OLE-FP,Review DV Tax,,Y
OLE50,OLE50,1,1,OLE-FP,Review DV Travel,,Y
OLE51,OLE51,1,1,OLE-FP,Review DV PaymentMethod,,Y
OLE6,OLE6,1,1,OLE-PURAP,Review PUR Commodity,,Y
OLE7,OLE7,1,1,OLE-SYS,Review OLE SubFund,,Y
OLE71,OLE71,1,1,OLE-PURAP,Review AP ImageAttachment,,Y
OLE73,OLE73,1,1,OLE-PURAP,Review PREQ Receiving,,Y
OLE74,OLE74,1,1,OLE-PURAP,Review PREQ Tax,,Y
OLE75,OLE75,1,1,OLE-PURAP,Review POA NewUnorderedItems,,Y
OLE76,OLE76,1,1,OLE-PURAP,Review PO Budget,,Y
OLE78,OLE78,1,1,OLE-PURAP,Review PO ContractManagement,,Y
OLE80,OLE80,1,1,OLE-PURAP,Review PO Tax,,Y
OLE81,OLE81,1,1,OLE-PURAP,Review PORH AccountsPayable,,Y
OLE83,OLE83,1,1,OLE-PURAP,Review OLET SubAccount,,Y
OLE85,OLE85,1,1,OLE-PURAP,Review REQS SeparationOfDuties,,Y
OLE87,OLE87,1,2,OLE-SYS,Resolve Exception,,Y
OLE91,OLE91,1,1,OLE-VND,Review PVEN Initiator,,Y
OLE92,OLE92,1,1,OLE-VND,Review PVEN Management,,Y
OLE94,OLE94,1,1,OLE-PURAP,Review RCVL OutstandingTransactions,,Y
OLE99,OLE99,1,1,OLE-FP,Review PCDO AccountFullEdit,,Y
OLE126,OLEFP7037,1,1,OLE-FP,Review DV SeparationOfDuties,,Y
OLE101,OLE101,1,1,OLE-PURAP,Review PRQS Receiving,,Y
OLE102,OLE102,1,1,OLE-PURAP,Review PRQS Tax,,Y
