ROLE_RSP_ACTN_ID,OBJ_ID,ACTN_TYP_CD,PRIORITY_NBR,ACTN_PLCY_CD,ROLE_MBR_ID,ROLE_RSP_ID,FRC_ACTN
OLE10002,OLE10002,A,1,F,*,OLE10002,N
OLE10005,OLE10005,F,1,A,*,OLE10005,N
OLE10006,OLE10006,F,1,A,*,OLE10006,N
OLE10011,OLE10011,A,1,F,*,OLE10011,N
OLE10014,OLE10014,F,1,A,*,OLE10014,N
OLE10015,OLE10015,F,1,A,*,OLE10015,N
OLE10016,OLE10016,A,1,F,*,OLE10016,N
OLE10017,OLE10017,A,1,F,*,OLE10017,N
OLE10018,OLE10018,A,1,F,*,OLE10018,N
OLE10019,OLE10019,A,1,F,*,OLE10019,N
OLE10020,OLE10020,F,1,A,*,OLE10020,N
OLE10022,OLE10022,F,1,A,*,OLE10022,N
OLE10023,OLE10023,F,1,A,*,OLE10023,N
OLE10024,OLE10024,A,1,F,*,OLE10024,Y
OLE10026,OLE10026,A,1,F,*,OLE10026,Y
OLE10027,OLE10027,A,1,F,*,OLE10027,Y
OLE10028,OLE10028,A,1,F,*,OLE10028,Y
OLE10029,OLE10029,A,1,F,*,OLE10029,Y
OLE10030,OLE10030,A,1,F,*,OLE10030,N
OLE10031,OLE10031,A,1,F,*,OLE10031,N
OLE10032,OLE10032,A,1,F,*,OLE10032,Y
OLE80006,OLE80006,A,1,F,OLE10079,*,N
OLE80007,OLE80007,A,1,F,OLE10086,*,N
OLE80008,OLE80008,A,1,F,*,OLE80005,Y
OLE80009,OLE80009,A,1,F,*,OLE80006,Y
OLE80010,OLE80010,A,1,F,*,OLE80010,Y
OLE80011,OLE80011,A,1,F,*,OLE80011,Y
OLE80012,OLE80012,A,1,F,*,OLE80012,Y
OLE80013,OLE80013,A,1,F,*,OLE80013,Y
OLE80014,OLE80014,A,1,F,*,OLE80014,Y
OLE80015,OLE80015,A,1,F,*,OLE80007,Y
OLE80016,OLE80016,A,1,F,*,OLE80008,Y
OLE80017,OLE80017,A,1,F,*,OLE80009,Y
OLE80018,OLE80018,A,1,F,*,OLE80001,Y
OLE80019,OLE80019,F,1,F,OLE10022,*,N
OLE80020,OLE80020,F,1,F,OLE10046,*,N
OLE80021,OLE80021,F,1,F,OLE10059,*,N
OLE10033,OLE10033,A,1,F,*,OLE1126,Y
OLE10034,OLE10034,A,1,F,*,OLE1127,N
OLE10035,OLE10035,A,1,F,*,OLE1128,N
OLE10036,OLE10036,A,1,F,*,OLE1129,N
OLE10037,OLE10037,A,1,F,*,OLE1130,N
OLE10038,OLE10038,A,1,F,*,OLE1131,N
OLE10039,OLE10039,A,1,F,*,OLE1132,N
OLE10040,OLE10040,A,1,F,*,OLE1133,N
OLE10041,OLE10041,A,1,F,*,OLE1134,N
OLE10042,OLE10042,A,1,F,*,OLE1135,N
OLE10043,OLE10043,A,1,F,*,OLE1136,N
OLE10044,OLE10044,A,1,F,*,OLE1137,N
OLE10045,OLE10045,A,1,F,*,OLE1138,N
OLE10046,OLE10046,A,1,F,*,OLE1139,N
OLE10047,OLE10047,A,1,F,*,OLE1140,N
OLE10048,OLE10048,F,1,F,OLE10115,*,N
OLE10049,OLE10049,F,1,F,OLE10114,*,N
OLE10050,OLE10050,A,1,F,*,OLE1142,N
OLE10051,OLE10051,F,1,F,*,OLE1143,N
OLE10052,OLE10052,F,1,F,*,OLE1144,N
OLE10053,OLE10053,F,1,F,*,OLE1145,N
OLE10054,OLE10054,F,1,F,*,OLE1146,N
OLE10055,OLE10055,A,1,A,*,OLE1147,Y
OLE10056,OLE10056,A,1,A,*,OLE1148,Y
OLE10057,OLE10057,A,1,A,*,OLE1149,Y
OLE10058,OLE10058,F,1,A,*,OLE1150,Y
OLE10059,OLE10059,F,1,A,*,OLE1151,Y
OLE10060,OLE10060,F,1,A,*,OLE1152,Y
OLE10061,OLE10061,F,1,A,*,OLE1153,Y
OLE10062,OLE10062,A,1,F,*,OLE1154,N
OLE10063,OLE10063,A,1,F,*,OLE1155,N
OLE10064,OLE10064,A,1,F,*,OLE1156,N
OLE10065,OLE10065,A,1,A,*,OLE1157,N
OLE10066,OLE10066,A,1,F,*,OLE1158,N
OLE10067,OLE10067,A,1,A,*,OLE1159,Y
OLE10068,OLE10068,F,1,A,*,OLE1160,Y
OLE10069,OLE10069,A,1,A,*,OLE1161,N
OLE10070,OLE10070,A,1,A,*,OLE1162,N
OLE10071,OLE10071,A,1,A,*,OLE1163,N
OLE10072,OLE10072,A,1,F,*,OLE1164,Y
OLE10073,OLE10073,A,1,F,*,OLE1165,Y
