ROLE_RSP_ID,OBJ_ID,ROLE_ID,RSP_ID,ACTV_IND
OLE10002,OLE10002,OLE10012,OLE990009,Y
OLE10005,OLE10005,OLE10012,OLE990016,Y
OLE10006,OLE10006,OLE10003,OLE990002,Y
OLE10011,OLE10011,OLE10017,OLE990009,Y
OLE10014,OLE10014,OLE10004,OLE990018,Y
OLE10015,OLE10015,OLE10012,OLE990019,Y
OLE10016,OLE10016,OLE10016,OLE990020,Y
OLE10017,OLE10017,OLE10019,OLE990020,Y
OLE10018,OLE10018,OLE10019,OLE990021,Y
OLE10019,OLE10019,OLE10021,OLE990022,Y
OLE10020,OLE10020,OLE10022,OLE990018,Y
OLE10022,OLE10022,OLE10024,OLE990016,Y
OLE10023,OLE10023,OLE10024,OLE990019,Y
OLE10024,OLE10024,OLE10012,OLE990023,Y
OLE10029,OLE10029,OLE10012,OLE990024,Y
OLE10032,OLE10032,OLE10003,OLE990025,Y
OLE80001,OLE80001,OLE10021,OLE80004,Y
OLE80002,OLE80002,OLE10012,OLE80006,N
OLE80003,OLE80003,OLE10012,OLE80008,N
OLE80004,OLE80004,OLE10012,OLE80009,N
OLE80005,OLE80005,OLE10019,OLE80010,Y
OLE80006,OLE80006,OLE10012,OLE80012,Y
OLE80007,OLE80007,OLE10012,OLE80008,Y
OLE80008,OLE80008,OLE10012,OLE80006,Y
OLE80009,OLE80009,OLE10012,OLE80009,Y
OLE80010,OLE80010,OLE10012,OLE80013,Y
OLE80011,OLE80011,OLE10012,OLE80015,Y
OLE80012,OLE80012,OLE10012,OLE80018,Y
OLE80013,OLE80013,OLE10012,OLE80019,Y
OLE80014,OLE80014,OLE10012,OLE80020,Y
OLE80015,OLE80015,OLE10003,OLE80021,Y
OLE1126,OLE1126,OLE10004,OLE990026,Y
OLE1127,OLE1127,OLE10044,OLE990034,Y
OLE1128,OLE1128,OLE10021,OLE990035,Y
OLE1129,OLE1129,OLE10020,OLE990036,Y
OLE1130,OLE1130,OLE10044,OLE990030,Y
OLE1131,OLE1131,OLE10020,OLE990031,Y
OLE1132,OLE1132,OLE10044,OLE990027,Y
OLE1133,OLE1133,OLE10020,OLE990028,Y
OLE1134,OLE1134,OLE10021,OLE990029,Y
OLE1135,OLE1135,OLE10045,OLE990032,Y
OLE1136,OLE1136,OLE10045,OLE990037,Y
OLE1137,OLE1137,OLE41,OLE990033,Y
OLE1138,OLE1138,OLE41,OLE990038,Y
OLE1139,OLE1139,OLE10044,OLE990039,Y
OLE1140,OLE1140,OLE41,OLE990040,Y
OLE1141,OLE1141,OLE10044,OLE990041,Y
OLE1142,OLE1142,OLE55,OLE990042,Y
OLE1143,OLE1143,OLE10042,OLE990043,Y
OLE1144,OLE1144,OLE10043,OLE990043,Y
OLE1145,OLE1145,OLE10042,OLE990044,Y
OLE1146,OLE1146,OLE10043,OLE990044,Y
OLE1147,OLE1147,OLE79,OLE990045,Y
OLE1148,OLE1148,OLE79,OLE990046,Y
OLE1149,OLE1149,OLE79,OLE990047,Y
OLE1150,OLE1150,OLE79,OLE990048,Y
OLE1151,OLE1151,OLE79,OLE990049,Y
OLE1152,OLE1152,OLE79,OLE990050,Y
OLE1153,OLE1153,OLE79,OLE990051,Y
OLE1154,OLE1154,OLE10021,OLE990052,Y
OLE1155,OLE1155,OLE10044,OLE990053,Y
OLE1156,OLE1156,OLE10020,OLE990054,Y
OLE1157,OLE1157,OLE10044,OLE990055,Y
OLE1158,OLE1158,OLE55,OLE990056,Y
OLE1159,OLE1159,OLE79,OLE990057,Y
OLE1160,OLE1160,OLE79,OLE990058,Y
OLE1161,OLE1161,OLE10066,OLE990059,Y
OLE1162,OLE1162,OLE10069,OLE990060,Y
OLE1163,OLE1163,OLE10072,OLE990061,Y
OLE1164,OLE1164,OLE10019,OLE73,Y
OLE1165,OLE1165,OLE10019,OLE101,Y
