ATTR_DATA_ID,OBJ_ID,VER_NBR,RSP_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLE10026,OLE10026,1,OLE990002,7,41,FALSE
OLE10027,OLE10027,1,OLE990002,7,16,ShowDuplicateRecords
OLE10028,OLE10028,1,OLE990002,7,13,OLE_REQS
OLE10029,OLE10029,1,OLE990002,7,40,FALSE
OLE10038,OLE10038,3,OLE990009,7,41,FALSE
OLE10039,OLE10039,3,OLE990009,7,16,ForInformation
OLE10040,OLE10040,3,OLE990009,7,13,OLE_PVEN
OLE10041,OLE10041,3,OLE990009,7,40,FALSE
OLE10057,OLE10057,1,OLE990016,7,41,FALSE
OLE10058,OLE10058,1,OLE990016,7,16,GreaterLineItem
OLE10059,OLE10059,1,OLE990016,7,13,OLE_REQS
OLE10060,OLE10060,1,OLE990016,7,40,FALSE
OLE10065,OLE10065,1,OLE990018,7,41,FALSE
OLE10066,OLE10066,1,OLE990018,7,16,OrderChange
OLE10067,OLE10067,1,OLE990018,7,13,OLE_POA
OLE10068,OLE10068,1,OLE990018,7,40,FALSE
OLE10069,OLE10069,1,OLE990019,7,41,FALSE
OLE10070,OLE10070,1,OLE990019,7,16,NewVendor
OLE10071,OLE10071,1,OLE990019,7,13,OLE_REQS
OLE10072,OLE10072,1,OLE990019,7,40,FALSE
OLE10073,OLE10073,1,OLE990020,7,41,FALSE
OLE10074,OLE10074,1,OLE990020,7,16,ApproveReceiveLineItem
OLE10075,OLE10075,1,OLE990020,7,13,OLE_RCVL
OLE10076,OLE10076,1,OLE990020,7,40,FALSE
OLE10077,OLE10077,1,OLE990021,7,41,FALSE
OLE10078,OLE10078,1,OLE990021,7,16,ApproveReceiveLineItemCorrection
OLE10079,OLE10079,1,OLE990021,7,13,OLE_RCVC
OLE10080,OLE10080,1,OLE990021,7,40,FALSE
OLE10081,OLE10081,1,OLE990022,7,41,FALSE
OLE10082,OLE10082,1,OLE990022,7,16,Payment
OLE10083,OLE10083,1,OLE990022,7,13,OLE_PREQ
OLE10084,OLE10084,1,OLE990022,7,40,TRUE
OLE10085,OLE10085,1,OLE990023,7,41,FALSE
OLE10086,OLE10086,1,OLE990023,7,16,NoVendor
OLE10087,OLE10087,1,OLE990023,7,13,OLE_REQS
OLE10088,OLE10088,1,OLE990023,7,40,TRUE
OLE10089,OLE10089,1,OLE990024,7,16,Tax
OLE10090,OLE10090,1,OLE990024,7,13,OLE_POA
OLE10091,OLE10091,1,OLE990024,7,41,FALSE
OLE10092,OLE10092,1,OLE990024,7,40,FALSE
OLE10093,OLE10093,1,OLE990025,7,16,Approval
OLE10094,OLE10094,1,OLE990025,7,13,OLE_ACQBTHUPLOAD
OLE10095,OLE10095,1,OLE990025,7,41,TRUE
OLE10096,OLE10096,1,OLE990025,7,40,FALSE
OLE80066,OLE80066,1,OLE80004,7,41,FALSE
OLE80067,OLE80067,1,OLE80004,7,16,CommodityCodeApprover
OLE80068,OLE80068,1,OLE80004,7,13,OLE_PMCC
OLE80069,OLE80069,1,OLE80004,7,40,FALSE
OLE80070,OLE80070,3,OLE80006,7,41,FALSE
OLE80071,OLE80071,3,OLE80006,7,16,CostSourceApprover
OLE80072,OLE80072,3,OLE80006,7,13,OLE_PMCS
OLE80073,OLE80073,3,OLE80006,7,40,FALSE
OLE80074,OLE80074,1,OLE80008,7,41,FALSE
OLE80075,OLE80075,1,OLE80008,7,16,ContactTypeApprover
OLE80076,OLE80076,1,OLE80008,7,13,OLE_PMCT
OLE80077,OLE80077,1,OLE80008,7,40,FALSE
OLE80078,OLE80078,1,OLE80009,7,41,FALSE
OLE80079,OLE80079,1,OLE80009,7,16,CategoryApprover
OLE80080,OLE80080,1,OLE80009,7,13,OLE_PMC
OLE80081,OLE80081,1,OLE80009,7,40,FALSE
OLE80082,OLE80082,1,OLE80010,7,41,FALSE
OLE80083,OLE80083,1,OLE80010,7,16,ExceptionTypeApprover
OLE80084,OLE80084,1,OLE80010,7,13,OLE_EXCTYP
OLE80085,OLE80085,1,OLE80010,7,40,FALSE
OLE80086,OLE80086,1,OLE80012,7,41,FALSE
OLE80087,OLE80087,1,OLE80012,7,16,FormatTypeApprover
OLE80088,OLE80088,1,OLE80012,7,13,OLE_FTMAT
OLE80089,OLE80089,1,OLE80012,7,40,FALSE
OLE80090,OLE80090,1,OLE80013,7,41,FALSE
OLE80091,OLE80091,1,OLE80013,7,16,NoteTypeApprover
