ROLE_ID,OBJ_ID,VER_NBR,ROLE_NM,NMSPC_CD,DESC_TXT,KIM_TYP_ID,ACTV_IND
OLE7,OLE7,1,Organization Reviewer,OLE-SYS,An optional role that allows users to receive workflow action requests for documents of a specified type that include a specified chart and organization (including the organization hierarchy). ,OLE29,Y
OLE9,OLE9,1,Account Supervisor,OLE-SYS,This role derives its members from the Account Supervisor field on the Account. Account Supervisors receive workflow action requests for Asset and Asset Retirement Global documents. ,OLE39,Y
OLE11,OLE11,1,Cash Manager,OLE-FP,Users authorized to work the Cash Management Document and verify Cash Receipt documents for a given campus.,17,Y
OLE12,OLE12,1,Disbursement Manager,OLE-FP,Users who receive workflow action requests for Disbursement Vouchers based on the campus code associated with the initiator of the document.,17,Y
OLE13,OLE13,1,Service Bill Processor,OLE-FP,Users authorized to use the Service Billing document and enter specified accounts on the Income side of the document.,OLE26,Y
OLE15,OLE15,1,Travel Manager,OLE-FP,Users who receive workflow action requests for Disbursement Vouchers for travel payment reasons and can edit the accounting line and Non-Employee Travel Expense or Pre-Paid Travel Expenses tabs.,1,Y
OLE16,OLE16,1,Treasury Manager,OLE-SYS,Users who can use the Electronic Fund Transfer screen and use DI or YEDI documents to claim those funds.,1,Y
OLE17,OLE17,1,Interdepartmental Billing Processor,OLE-GL,Users authorized to use the Collector Upload screen.,1,Y
OLE18,OLE18,1,Customer Contact,OLE-PDP,Users associated with PDP customers that can use the Payment File Batch Upload screen and have basic PDP inquiry access. ,OLE32,Y
OLE19,OLE19,1,Manager,OLE-PDP,Users who can cancel or hold payments reset locked format processes and view unmasked bank routing and account numbers in PDP.,1,Y
OLE20,OLE20,1,Processor,OLE-PDP,Users who can set payments for immediate pay and use the Format Checks/ACH screen in PDP.,17,Y
OLE22,OLE22,1,Accounts Payable Processor,OLE-PURAP,Accounts Payable users who can initiate Payment Requests and Credit Memo documents. They also have several permissions related to processing these document types and receive workflow action requests for them. ,1,Y
OLE23,OLE23,1,Commodity Reviewer,OLE-PURAP,Users who receive workflow action requests for Purchasing transactional documents that contain a specific commodity code and campus combination.,OLE33,Y
OLE24,OLE24,1,Content Reviewer,OLE-PURAP,Users who receive incomplete Requisition documents for completion for a given Chart and Organization.,OLE27,Y
OLE25,OLE25,1,Contract Manager,OLE-PURAP,Contract Managers review and approve Purchase Order documents. A Purchase Order is assigned to a given Contract Manager for their review and approval.,OLE34,Y
OLE26,OLE26,1,Purchasing Processor,OLE-PURAP,This role represents central or campus Purchasing staff. They have additional permissions for and receive action requests for most Purchasing document types as well as receiving action requests for Disbursement Vouchers paying PO Type Vendors.,17,Y
OLE27,OLE27,1,Sensitive Data Viewer,OLE-PURAP,Users authorized to view OLE-PURAP documents identified with a specific Sensitive Data Code. ,OLE35,Y
OLE28,OLE28,1,Accounting Reviewer,OLE-SYS,An optional role that allows users to receive workflow action requests for documents of a specified type that contain accounts belonging to a specified chart and organization (including the organization hierarchy) and within a certain dollar amount or involving a specified override code.,OLE30,Y
