role_mbr_id,obj_id,role_id,mbr_id,mbr_typ_cd
OLE100431,OLE100431,OLE10000,olequickstart,P
OLE100441,OLE100441,OLE10001,olequickstart,P
OLE100451,OLE100451,OLE10002,olequickstart,P
OLE100461,OLE100461,OLE10003,olequickstart,P
OLE100471,OLE100471,OLE10004,olequickstart,P
OLE100481,OLE100481,OLE10005,olequickstart,P
OLE100491,OLE100491,OLE10006,olequickstart,P
OLE100501,OLE100501,OLE10012,olequickstart,P
OLE100511,OLE100511,OLE10013,olequickstart,P
OLE100521,OLE100521,OLE10014,olequickstart,P
OLE100531,OLE100531,OLE10016,olequickstart,P
OLE100541,OLE100541,OLE10017,olequickstart,P
OLE100551,OLE100551,OLE10018,olequickstart,P
OLE100951,OLE100951,OLE10020,olequickstart,P
OLE100961,OLE100961,OLE10021,olequickstart,P
OLE100971,OLE100971,OLE10019,olequickstart,P
OLE100981,OLE100981,OLE26,olequickstart,P
OLE100991,OLE100991,OLE56,olequickstart,P
OLE101001,OLE101001,OLE25,olequickstart,P
OLE101041,OLE101041,OLE10029,olequickstart,P
OLE101071,OLE101071,OLE10032,olequickstart,P
OLE101091,OLE101091,OLE10033,olequickstart,P
OLE101141,OLE101141,OLE10044,olequickstart,P
OLE101161,OLE101161,OLE10045,olequickstart,P
OLE101181,OLE101181,OLE10027,olequickstart,P
OLE101191,OLE101191,OLE10028,olequickstart,P
OLE101201,OLE101201,OLE10030,olequickstart,P
OLE101211,OLE101211,OLE10034,olequickstart,P
OLE101221,OLE101221,OLE10042,olequickstart,P
OLE101231,OLE101231,OLE10043,olequickstart,P
OLE101241,OLE101241,OLE10026,olequickstart,P
OLE101251,OLE101251,OLE10031,olequickstart,P
OLE101261,OLE101261,OLE10035,olequickstart,P
OLE101271,OLE101271,OLE10036,olequickstart,P
OLE101281,OLE101281,OLE10037,olequickstart,P
OLE101291,OLE101291,OLE10038,olequickstart,P
OLE101301,OLE101301,OLE10039,olequickstart,P
OLE101311,OLE101311,OLE10040,olequickstart,P
OLE101321,OLE101321,OLE10041,olequickstart,P
OLE102151,OLE1000431,OLE10073,olequickstart,P
OLE102241,OLE10001091,OLE10077,olequickstart,P
OLE102261,100401,OLE10064,olequickstart,P
OLE102281,100421,OLE10065,olequickstart,P
OLE102301,100441,OLE10066,olequickstart,P
OLE102321,100461,OLE10067,olequickstart,P
OLE102341,100481,OLE10068,olequickstart,P
OLE102361,100501,OLE10072,olequickstart,P
