ROLE_ID,OBJ_ID,VER_NBR,ROLE_NM,NMSPC_CD,DESC_TXT,KIM_TYP_ID,ACTV_IND
OLE10000,OLE10000,1,OLE_User,OLE-SELECT,This role allows the User to search the Documents,OLE36,Y
OLE10001,OLE10001,2,OLE_SYS,OLE-SELECT,This Role is used for Library Support System,1,Y
OLE10002,OLE10002,1,OLE_Requestor,OLE-SELECT,This Role is for Requestor OLE,1,Y
OLE10003,OLE10003,3,OLE_Load,OLE-SELECT,This Role is assigned to admin for Loading,1,Y
OLE10004,OLE10004,4,OLE_Selectors,OLE-SELECT,This role for Selectors who take action on the Document,1,Y
OLE10005,OLE10005,4,OLE_Super-Selectors,OLE-SELECT,This Role can assign actions to Super Selector,1,Y
OLE10006,OLE10006,3,OLE_Acquisitions,OLE-SELECT,This Role is for Acquisitions Staff,1,Y
OLE10012,OLE10012,9,OLE_ACQ-Mgr,OLE-SELECT,This Role is for Acquisitions Managers,1,Y
OLE10013,OLE10013,1,OLE_App-Mgr,OLE-SELECT,This Role is for Approval Plan By Manager,1,Y
OLE10014,OLE10014,2,OLE_ERMS,OLE-SELECT,This Role is for Staffs for Licensing,1,Y
OLE10016,OLE10016,1,OLE_RCV,OLE-SELECT,This Role is for Receiving Staff,1,Y
OLE10017,OLE10017,1,OLE_License-Mgr,OLE-SELECT,This Role authorises the Users to allow Licensing,1,Y
OLE10018,OLE10018,2,OLE_Fund -Mgr,OLE-SELECT,This Role allows to take Action on Funds,1,Y
OLE10019,OLE10019,7,OLE-Receive-Mgr,OLE-SELECT,Line Item Receiving Manager Role,1,Y
OLE10020,OLE10020,7,OLE-Invoicing,OLE-SELECT,OLE-Invoicing,1,Y
OLE10021,OLE10021,5,OLE-Payment,OLE-SELECT,OLE-Payment,1,Y
OLE10022,OLE10022,4,OLE_Selectors-serial,OLE-SELECT,This role for Selectors who take action on the Document,1,Y
OLE10023,OLE10023,3,OLE_Acquisitions-serial,OLE-SELECT,This Role is for Acquisitions Staff,1,Y
OLE10024,OLE10024,9,OLE_ACQ-Mgr-serial,OLE-SELECT,This Role is for Acquisitions Managers,1,Y
OLE10025,OLE10025,1,OLE_ORDQU-User,OLE-SELECT,Order Queue User Role,1,Y
OLE10026,OLE10026,1,Acquisitions-AQ1,OLE-SELECT,This Role is for View only document(Not for edit),1,Y
OLE10027,OLE10027,1,Acquisitions-AQ2,OLE-SELECT,This Role is for low-level staff with specific needs only. This role is able to create and edit selected functions.,1,Y
OLE10028,OLE10028,1,Acquisitions-AQ3,OLE-SELECT,This Role is for staff performing function.This role is able to create and edit all functions.,1,Y
OLE10029,OLE10029,1,Acquisitions-AQ4,OLE-SELECT,This Role is for when you want to restrict deletion to high-level staff. This role is able to create edit or delete all functions.,1,Y
OLE10030,OLE10030,1,Acquisitions-AQ5,OLE-SELECT,This role can perform functions and assign appropriate security level to others.,1,Y
OLE10031,OLE10031,1,Receiving-AQ1,OLE-SELECT,This Role is for View only document(Not for edit),1,Y
OLE10032,OLE10032,1,Receiving-AQ2,OLE-SELECT,This Role is for low-level staff with specific needs only. This role is able to create and edit selected functions.,1,Y
OLE10033,OLE10033,1,Receiving-AQ3,OLE-SELECT,This Role is for staff performing function. This role is able to create and edit all functions.,1,Y
OLE10034,OLE10034,1,Receiving-AQ4,OLE-SELECT,This Role is for when you want to restrict deletion to high-level staff. This role is able to create edit or delete all functions.,1,Y
OLE10035,OLE10035,1,Accounting-AQ1,OLE-SELECT,This Role is for View only document(Not for edit),1,Y
OLE10036,OLE10036,1,Accounting-AQ2,OLE-SELECT,This Role is for low-level staff with specific needs only. This role is able to create and edit selected functions.,1,Y
OLE10037,OLE10037,1,Accounting-AQ3,OLE-SELECT,This Role is for staff performing function. This role is able to create and edit all functions.,1,Y
OLE10038,OLE10038,1,Accounting-AQ4,OLE-SELECT,This Role is for when you want to restrict deletion to high-level staff. This role is able to create edit or delete all functions.,1,Y
OLE10039,OLE10039,1,Financial-AQ1,OLE-SELECT,This Role is for View only document(Not for edit),1,Y
OLE10040,OLE10040,1,Financial-AQ2,OLE-SELECT,This Role is for low-level staff with specific needs only. This role is able to create and edit selected functions.,1,Y
OLE10041,OLE10041,1,Financial-AQ3,OLE-SELECT,This Role is for staff performing function. This role is able to create and edit all functions.,1,Y
OLE10042,OLE10042,1,Financial-AQ4,OLE-SELECT,This Role is for when you want to restrict deletion to high-level staff. This role is able to create edit or delete all functions.,1,Y
