FIN_COA_CD,ACCOUNT_NBR,OBJ_ID,VER_NBR,ACCOUNT_NM,ACCT_FSC_OFC_UID,ACCT_SPVSR_UNVL_ID,ACCT_MGR_UNVL_ID,ORG_CD,ACCT_TYP_CD,ACCT_PHYS_CMP_CD,SUB_FUND_GRP_CD,ACCT_FRNG_BNFT_CD,FIN_HGH_ED_FUNC_CD,ACCT_RSTRC_STAT_CD,ACCT_RSTRC_STAT_DT,ACCT_CITY_NM,ACCT_STATE_CD,ACCT_STREET_ADDR,ACCT_ZIP_CD,RPTS_TO_FIN_COA_CD,RPTS_TO_ACCT_NBR,ACCT_CREATE_DT,ACCT_EFFECT_DT,ACCT_EXPIRATION_DT,CONT_FIN_COA_CD,CONT_ACCOUNT_NBR,ENDOW_FIN_COA_CD,ENDOW_ACCOUNT_NBR,CONTR_CTRL_FCOA_CD,CONTR_CTRLACCT_NBR,INCOME_FIN_COA_CD,INCOME_ACCOUNT_NBR,ACCT_ICR_TYP_CD,AC_CSTM_ICREXCL_CD,FIN_SERIES_ID,ICR_FIN_COA_CD,ICR_ACCOUNT_NBR,ACCT_IN_FP_CD,BDGT_REC_LVL_CD,ACCT_SF_CD,ACCT_PND_SF_CD,FIN_EXT_ENC_SF_CD,FIN_INT_ENC_SF_CD,FIN_PRE_ENC_SF_CD,FIN_OBJ_PRSCTRL_CD,CG_CFDA_NBR,ACCT_OFF_CMP_IND,ACCT_CLOSED_IND,CG_ACCT_RESP_ID,OLE_UNIV_ACCT_NBR,LBR_BEN_RT_CAT_CD,VNDR_HDR_GNRTD_ID,VNDR_DTL_ASND_ID
"BL","0211902","1D5F9493A2999052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0211903","1D5F9493A29A9052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0211904","1D5F9493A29B9052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0211905","1D5F9493A29C9052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0211906","1D5F9493A29D9052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0211907","1D5F9493A29E9052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0211908","1D5F9493A29F9052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0211909","1D5F9493A2A09052E043814FD8819052",2,"XXXXX-RIP-PSYCHOLOGY","OLE1860703812","OLE3889504703","OLE4146202628","PSY","NA","BL","DFRES","Y","IPR","U",null,"BLOOMINGTON","IN","1101 E. 10TH ST., PSYCH. 325","47405",null,null,921209000000,921209000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212001","1D5F9493A2A19052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212002","1D5F9493A2A29052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212003","1D5F9493A2A39052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
"BL","0212004","1D5F9493A2A49052E043814FD8819052",2,"ANIMAL CARE FACILITY-PSYCH","OLE4318506633","OLE3889504703","OLE4318506633","PSY","NA","BL","DOFDS","Y","AA","U",null,"BLOOMINGTON","IN","PSYCHOLOGY","47405-1301",null,null,930702000000,930702000000,null,"BL","2331489",null,null,null,null,"BL","1023287",null,null,null,null,null,"N","O","A","Y","N","N","N","N",null,"N","N",null,"1047410","--",null,null
