FIN_COA_CD,ACCOUNT_NBR,OBJ_ID,VER_NBR,CAMPUS_DESC,ORG_DESC,RC_DESC,CAMPUS_CD,BLDG_CD
BA,9012025,0C4EE51FD9632018E043814FD8812018,1,null,null,null,BL,null
BA,9019993,0C4EE51FD9672018E043814FD8812018,1,null,null,null,BL,null
BA,9019995,0C4EE51FD9582018E043814FD8812018,1,null,null,null,BL,null
BA,9019996,0C4EE51FD95F2018E043814FD8812018,1,null,null,null,BL,null
BA,9020174,0C4EE51FD9622018E043814FD8812018,1,null,null,null,BL,null
BA,9020175,0C4EE51FD9592018E043814FD8812018,1,null,null,null,BL,null
BA,9020204,0C4EE51FD9602018E043814FD8812018,1,null,null,null,BL,null
BA,9020224,0C4EE51FD95E2018E043814FD8812018,1,null,null,null,BL,null
BA,9020391,0C4EE51FD9652018E043814FD8812018,1,null,null,null,BL,null
BA,9020650,0C4EE51FD95A2018E043814FD8812018,1,null,null,null,BL,null
BA,9020805,0C4EE51FD95C2018E043814FD8812018,1,null,null,null,BL,null
BA,9020857,0C4EE51FD9642018E043814FD8812018,1,null,null,null,BL,null
BA,9020860,0C4EE51FD95D2018E043814FD8812018,1,null,null,null,BL,null
BA,9021004,0C4EE51FD95B2018E043814FD8812018,1,null,null,null,BL,null
BA,9021104,0C4EE51FD9612018E043814FD8812018,1,null,null,null,BL,null
BA,9244940,0C4EE51FD9562018E043814FD8812018,1,reserve for parking lot and garage ren,same,same,null,null
BL,1020087,7FEE03DB-C00E-92AA-0488-EAF9E482CEB2,1,null,null,null,null,null
BL,1021887,55A02607-EDCE-3790-18EF-4C7E8606E08B,1,null,null,null,null,null
BL,1023287,3268B42C-5D8E-14D6-2B71-3036F03BFFBF,1,null,null,null,null,null
BL,1047410,9E139A07A8D25632E040DC0A70FD77CB,1,null,null,null,null,null
BL,2231413,0C4EE51FD94F2018E043814FD8812018,1,Psychology Minority Research,Psychology,COAS,null,null
BL,2231467,0C4EE51FD9502018E043814FD8812018,1,In-dorm linked course project,Psychology,COAS,null,null
BL,2231527,0C4EE51FD9512018E043814FD8812018,1,for XXXXX's research projects,null,null,null,null
BL,2231536,0C4EE51FD9522018E043814FD8812018,1,XXXXX's individual research expens,null,null,null,null
BL,2331417,272E38C5D75BF1A6E043814FD881F1A6,1,branch bookstore,branch bookstore,branch bookstore,null,null
BL,2331467,0C4EE51FD9532018E043814FD8812018,1,Psychology Microdialysis Facility,Psychology,coas,null,null
BL,2331470,0C4EE51FD9662018E043814FD8812018,1,support for senior faculty hiring - SSRF,support for senior faculty hiring - SSRF,support for senior faculty hiring - SSRF,BL,null
BL,2331501,0C4EE51FD9542018E043814FD8812018,1,Psychology Dept.,Psychology Dept.,COAS,null,null
BL,2631476,272E38C5D75AF1A6E043814FD881F1A6,1,branch bookstore,branch bookstore,branch bookstore,null,null
BL,2931506,0C4EE51FD9552018E043814FD8812018,1,Bloomington,Psychology,Arts & Sciences,null,null
BL,4431423,272E38C5D759F1A6E043814FD881F1A6,1,branch bookstore,branch bookstore,branch bookstore,null,null
BL,4531410,0C4EE51FD9572018E043814FD8812018,1,branch bookstore,branch bookstore,branch bookstore,null,null
IN,1293716,B4CEB156-80FC-4AC3-CDCF-EFEE4B5368DA,1,null,null,null,null,null
