FIN_COA_CD,ACCOUNT_NBR,OBJ_ID,VER_NBR,ACCT_EXP_GDLN_TXT,ACCT_INC_GDLN_TXT,ACCT_PURPOSE_TXT
BL,4228728,BL4228728,1,NRC only.  Prior agency approval required for change in key personnel  extending project period  carrying forward grant funds to the following budget period.  FLAS account is established seperately.,USDE LOC,Prop 68362: $322 000 Prop 74169  $255.635 Prop 78165  $255 635
BL,4228732,BL4228732,1,NRC only.  Prior agency approval required for change in key personnel  extending project period  carrying forward grant funds beyond the following budget period.,LOC,Prop 95869  $262 279 Yr 4 of 4 ceep 4240301 $2160 Prop 91570  $234 263 YR 3 OF 4 ceep 4240301 prop 80088; $231 763  prop 87119; $231 763 ($2 160 of this for CEEP secondary account 4240301)
BL,4228736,BL4228736,1,USDE guidelines apply,LOC,P99918  $342 001 ($331 201 REEI  $10 800 CEEP) underwrite P99918
BL,4234023,BL4234023,1,Budget Yr-2 of a 3-Yr project period.  Transfers between existing budget lines are allowable  with the restriction of no more than 25% deviation on travel and equipment lines.  Creation of new budget categories or change in scope requires prior agency approval.,Quarterly payments based on ED/PMS report generation,Proposal #49488 $328 873. Proposal #54467 $183 460. Proposal #57902  no cost ext.
BL,4323283,BL4323283,1,Expend in accordance with federal and university guidelines.  Policies related to EDGAR apply to activity on this grant.  Grant housed in 43-232-83 & 42-403-00 (CEEP) and should be reported together.,LOC,Prop 95711  $269 516 (ceep portion $6000) Prop 91415. $241 498.00 prop 80069  year 1; $238 998 prop 86811  year 2; $238 998 (CEEP portion $5 400)
BL,4425900,BL4425900,1,Budget is for book purchases only.,Invoice due JULY  2010 for full amount.,P98234  $5 000
BL,4442801,BL4442801,1,Expend in accordance with agency and university guidelines.  Funds to be placed in interest bearing account  with interest funds to be applied toward the purposes of the grant.  Expenses associated with subvention will be posted to subaccount SUBVT.,Funds received in full.,Proposal #77832  $51 000.00
BL,4442805,BL4442805,1,IU and agency regulations apply.,check,P86049 Extension of end date per agency. Extending to 9/30/11. P86049 Extension of end date per agency. Extending to 10/15/10. P86049 No cost extension and budget revision through 7/1/10. P86049; $45 000
BL,4442956,BL4442956,1,Use as needed in spirit of award.  Additional installments of this grant will be contingent upon a satisfactory review of project activities.  Interest income housed in account 44-429-58 and should be reported together.,Check Received,Prop. 77412  $499 945 Prop. 72399  $497 644 Prop. 69152; $498 770
BL,4442969,BL4442969,1,Expenditures are to be in accordance with the approved budget.  Project expiration date is 3/31/07  account expiration is 2/28/07 because reports are due 3/31/07.,Check; payment received June 06,Prop 80360  $11 300  no cost extension to 9/30/07
BL,4442975,BL4442975,1,Expenditures are to be in accordance with the approved budget.  Project expiration date is 3/31/08  account expiration is 2/28/08 because reports are due 3/31/08.,Check,Proposal 84279  $12 000 Agency approved extension to 6/30/08
BL,4442986,BL4442986,1,Expenditures must follow the approved budget  agency guidelines and IU policies. Institutional subvention included in lieu of indirect costs. Unexpended funds must be returned.,Check received. Interest acct is 4442992.,P90859  NCE through 6/1/11. P90859  $42 000
EA,368600,EA0368600,1,COMPENSATION  FINANCIAL AID  S&E  TRAVEL  CAPITAL  ,GENERAL FUND,TO ESTABLISH DEPARTMENTAL ACCTS FOR THE EAST CAMPUS.
EA,369705,EA0369705,1,X, ,NEW ACCT FOR 1975/76 BUDGET.
EA,369707,EA0369707,1,X, ,THIS ACCT WILL RECORD ACTUAL SERIAL EXPENDITURES FOR THE REGIONAL CAMPUS LIBRARIES  EAST-RICHMOND.
EA,2968957,EA2968957,1,PURCHASES OF APPROPRIATE EQUIPMENT (COMPUTER NURSING LAB  OR OTHER) FOR USE BY THE NURSING DEPT AT IU EAST,FUNDS FROM DONATIONS FROM SOURCES OUTSIDE STATE OR TUITION FUNDING,TO ESTABLISH AN ACCT FOR NURSING EQUIPMENT /SUPPLIES FUND.
IN,1184800,IN1184800,1,SALARIES  WAGES  SUPPLIES  FRINGE BENEFITS  TRAVEL  EQUIPMENT.,CLINICAL PRACTICE INCOME.,TO RECORD INCOME AND EXPENSES for the dept of Ophthalmology Chairman's Office.
IN,1270142,IN1270142,1,Salaries  Fringes  S&E  Travel and Capital,Appropriations,To maintain a General Fund account for SLIS
IN,1276150,IN1276150,1, , ,x
IN,1280500,IN1280500,1, , ,no change from current
IN,1280590,IN1280590,1,to record library acquisitons such as collection  periodicals  subscriptions  reference books  resource books and other items along the same line.  , ,to seperate the cost of operating from the cost of materials within the School of Medicine Library
IN,1291050,IN1291050,1,LAW LIB BOOKS.,APPROPRIATED.,TO ESTABLISH AN ACCT FOR LAW LIBRARY BOOKS FOR INDPLS LAW.
IN,1294700,IN1294700,1, , ,X
IN,1298800,IN1298800,1, , ,x
IN,1299303,IN1299303,1,SALARIES FOR LIBRARY STAFF  FACULTY SUPPLIES AND BOOKS.,TUITION AND STATE APPROPRIATION.,REPORT OF EXPENSES FOR LIBRARY AT COLUMBUS.
IN,2380501,IN2380501,1,S&E for maintenance of OVID System,contractual income est. at $50 000 annually,establish an account to receive contracrual income from outside institutions who purchase access to the Medical Library online database systems (OVID System)
IN,2398840,IN2398840,1,PURCHASE LIBRARY MATERIALS,6870040,TO PURCHASE LIBRARY BOOKS  PERIODICALS AND OTHER REFERENCE MATERIALS FOR THE VARIOUS LIBRARIES AT IUPUI.
IN,2399323,IN2399323,1,ACQUISITIONS FOR IUPUC LIBRARY FOR IVY TECH,IVY TECH,SUPPORT FROM IVY TECH FOR IUPUC LIBRARY
IN,2980543,IN2980543,1,To pay for subscriptions  library materials and library electronic services,Funded by IUF account 38MDOM25,Companion account for IUF Culbertson - Materials Account
IN,2980545,IN2980545,1,To be used for purchasing library print and electronic materials.,Class of 1963 Anniversary Library Fund,to purchase print and electronic library materials
IN,2980552,IN2980552,1,LIBRARY ACTIVITIES IN ACCORDANCE WITH ESTABLISHED UNIVERSITY POLICY AND PROCEDURES,INDIVIDUAL CONTRIBUTORS  THE IUF  ETC.,TO RECORD MISCELLANEOUS GIFTS AND CONTRIBUTIONS MADE TO AND FOR THE SCHOOL OF MED LIBRARY. 
