CG_CFDA_NBR,OBJ_ID,VER_NBR,CG_CFDA_PGM_TTL_NM,CG_CFDA_MAINT_TYP_ID,ROW_ACTV_IND
12.111,237D10FAA614C0B0E043814FD881C0B0,1,Emergency Advance Measures for Flood Prevention,AUTOMATIC,Y
12.112,237D10FAA615C0B0E043814FD881C0B0,1,Payments to States in Lieu of Real Estate Taxes,AUTOMATIC,Y
12.113,237D10FAA616C0B0E043814FD881C0B0,1,State Memorandum of Agreement Program for the Reimbursement of Technical Services,AUTOMATIC,Y
12.114,237D10FAA617C0B0E043814FD881C0B0,1,Collaborative Research and Development,AUTOMATIC,Y
12.116,237D10FAAB5FC0B0E043814FD881C0B0,1,Department of Defense Appropriation Act of 2003,AUTOMATIC,Y
12.3,237D10FAA618C0B0E043814FD881C0B0,1,Basic and Applied Scientific Research,AUTOMATIC,Y
12.4,237D10FAA619C0B0E043814FD881C0B0,1,Military Construction  National Guard,AUTOMATIC,Y
12.401,237D10FAA61AC0B0E043814FD881C0B0,1,National Guard Military Operations and Maintenance (O&M) Projects,AUTOMATIC,Y
12.404,237D10FAA61BC0B0E043814FD881C0B0,1,National Guard Civilian Youth Opportunities,AUTOMATIC,Y
12.42,237D10FAA61CC0B0E043814FD881C0B0,1,Military Medical Research and Development,AUTOMATIC,Y
12.431,237D10FAA61DC0B0E043814FD881C0B0,1,Basic Scientific Research,AUTOMATIC,Y
12.55,237D10FAA61EC0B0E043814FD881C0B0,1,International Education_U.S. Colleges and Universities,AUTOMATIC,Y
12.551,237D10FAA61FC0B0E043814FD881C0B0,1,National Security Education_Scholarships,AUTOMATIC,Y
12.552,237D10FAA620C0B0E043814FD881C0B0,1,National Security Education_Fellowships,AUTOMATIC,Y
12.6,237D10FAA621C0B0E043814FD881C0B0,1,Community Economic Adjustment,AUTOMATIC,Y
12.607,237D10FAA622C0B0E043814FD881C0B0,1,Community Economic Adjustment Planning Assistance,AUTOMATIC,Y
12.61,237D10FAA623C0B0E043814FD881C0B0,1,Community Economic Adjustment Planning Assistance for Joint Land Use Studies,AUTOMATIC,Y
12.611,237D10FAA624C0B0E043814FD881C0B0,1,Community Economic Adjustment Planning Assistance for Reductions in Defense Industry Employment,AUTOMATIC,Y
12.612,237D10FAA625C0B0E043814FD881C0B0,1,Community Base Reuse Plans,AUTOMATIC,Y
12.613,237D10FAA626C0B0E043814FD881C0B0,1,Growth Management Planning Assistance,AUTOMATIC,Y
12.63,237D10FAA627C0B0E043814FD881C0B0,1,Basic  Applied  and Advanced Research in Science and Engineering,AUTOMATIC,Y
12.64,237D10FAA628C0B0E043814FD881C0B0,1,Integrated Helicopter Design Tools,AUTOMATIC,Y
12.7,237D10FAA629C0B0E043814FD881C0B0,1,Donations/Loans of Obsolete DOD Property,AUTOMATIC,Y
12.8,237D10FAA62AC0B0E043814FD881C0B0,1,Air Force Defense Research Sciences Program,AUTOMATIC,Y
12.9,237D10FAA62BC0B0E043814FD881C0B0,1,Language Grant Program,AUTOMATIC,Y
12.901,237D10FAA62CC0B0E043814FD881C0B0,1,Mathematical Sciences Grants Program,AUTOMATIC,Y
12.902,237D10FAA62DC0B0E043814FD881C0B0,1,Information Security Grant Program,AUTOMATIC,Y
12.91,237D10FAA62EC0B0E043814FD881C0B0,1,Research and Technology Development,AUTOMATIC,Y
14,237D10FAAB1BC0B0E043814FD881C0B0,1,null,MANUAL,Y
14.103,237D10FAA62FC0B0E043814FD881C0B0,1,Interest Reduction Payments_Rental and Cooperative Housing for Lower Income Families,AUTOMATIC,Y
14.108,237D10FAA630C0B0E043814FD881C0B0,1,Rehabilitation Mortgage Insurance,AUTOMATIC,Y
14.11,237D10FAA631C0B0E043814FD881C0B0,1,Manufactured Home Loan Insurance_Financing Purchase of Manufactured Homes as Principal Residences of Borrowers,AUTOMATIC,Y
14.112,237D10FAA632C0B0E043814FD881C0B0,1,Mortgage Insurance for Construction or Substantial Rehabilitation of Condominium Projects,AUTOMATIC,Y
14.117,237D10FAA633C0B0E043814FD881C0B0,1,Mortgage Insurance_Homes,AUTOMATIC,Y
14.119,237D10FAA634C0B0E043814FD881C0B0,1,Mortgage Insurance_Homes for Disaster Victims,AUTOMATIC,Y
14.122,237D10FAA635C0B0E043814FD881C0B0,1,Mortgage Insurance_Homes in Urban Renewal Areas,AUTOMATIC,Y
14.123,237D10FAA636C0B0E043814FD881C0B0,1,Mortgage Insurance_Housing in Older  Declining Areas,AUTOMATIC,Y
14.126,237D10FAA637C0B0E043814FD881C0B0,1,Mortgage Insurance_Cooperative Projects,AUTOMATIC,Y
14.127,237D10FAA638C0B0E043814FD881C0B0,1,Mortgage Insurance_Manufactured Home Parks,AUTOMATIC,Y
14.128,237D10FAA639C0B0E043814FD881C0B0,1,Mortgage Insurance_Hospitals,AUTOMATIC,Y
14.129,237D10FAA63AC0B0E043814FD881C0B0,1,Mortgage Insurance_Nursing Homes  Intermediate Care Facilities  Board and Care Homes and Assisted Living Facilities,AUTOMATIC,Y
14.132,237D10FAA63BC0B0E043814FD881C0B0,1,Mortgage Insurance_Purchase of Sales-Type Cooperative Housing Units,AUTOMATIC,Y
14.133,237D10FAA63CC0B0E043814FD881C0B0,1,Mortgage Insurance_Purchase of Units in Condominiums,AUTOMATIC,Y
14.134,237D10FAA63DC0B0E043814FD881C0B0,1,Mortgage Insurance_Rental Housing,AUTOMATIC,Y
14.135,237D10FAA63EC0B0E043814FD881C0B0,1,Mortgage Insurance_Rental and Cooperative Housing for Moderate Income Families and Elderly  Market Interest Rate,AUTOMATIC,Y
14.138,237D10FAA63FC0B0E043814FD881C0B0,1,Mortgage Insurance_Rental Housing for the Elderly,AUTOMATIC,Y
14.139,237D10FAA640C0B0E043814FD881C0B0,1,Mortgage Insurance_Rental Housing in Urban Renewal Areas,AUTOMATIC,Y
14.142,237D10FAA641C0B0E043814FD881C0B0,1,Property Improvement Loan Insurance for Improving All Existing Structures and Building of New Nonresidential Structures,AUTOMATIC,Y
14.149,237D10FAA642C0B0E043814FD881C0B0,1,Rent Supplements_Rental Housing for Lower Income Families,AUTOMATIC,Y
14.151,237D10FAA643C0B0E043814FD881C0B0,1,Supplemental Loan Insurance_Multifamily Rental Housing,AUTOMATIC,Y
14.155,237D10FAA644C0B0E043814FD881C0B0,1,Mortgage Insurance for the Purchase or Refinancing of Existing Multifamily Housing Projects,AUTOMATIC,Y
14.157,237D10FAA645C0B0E043814FD881C0B0,1,Supportive Housing for the Elderly,AUTOMATIC,Y
14.159,237D10FAA646C0B0E043814FD881C0B0,1,Section 245 Graduated Payment Mortgage Program,AUTOMATIC,Y
14.162,237D10FAA647C0B0E043814FD881C0B0,1,Mortgage Insurance_Combination and Manufactured Home Lot Loans,AUTOMATIC,Y
14.163,237D10FAA648C0B0E043814FD881C0B0,1,Mortgage Insurance_Single Family Cooperative Housing,AUTOMATIC,Y
14.164,237D10FAA649C0B0E043814FD881C0B0,1,Operating Assistance for Troubled Multifamily Housing Projects,AUTOMATIC,Y
14.165,237D10FAA64AC0B0E043814FD881C0B0,1,Mortgage Insurance_Homes_Military Impacted Areas,AUTOMATIC,Y
