FIN_COA_CD,OBJ_ID,VER_NBR,FIN_COA_DESC,FIN_COA_ACTIVE_CD,FIN_CASH_OBJ_CD,FIN_AP_OBJ_CD,INCBDGT_ELIMOBJ_CD,EXPBDGT_ELIMOBJ_CD,RPTS_TO_FIN_COA_CD,FIN_AR_OBJ_CD,FIN_INT_ENC_OBJ_CD,FIN_EXT_ENC_OBJ_CD,FIN_PRE_ENC_OBJ_CD,ICR_INC_FIN_OBJ_CD,ICR_EXP_FIN_OBJ_CD,FND_BAL_OBJ_CD
IU,014F3DAF7490A448E043814FD28EA448,1,INDIANA UNIV,Y,8000,9041, , ,IU,8118,9891,9892,9890,1702,3702,9899
IN,014F3DAF748FA448E043814FD28EA448,1,INDIANAPOLIS,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
BL,014F3DAF748AA448E043814FD28EA448,1,BLOOMINGTON,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
BA,014F3DAF7489A448E043814FD28EA441,1,BLOOMINGTON AUX,Y,8000,9041,1209,1209,BL,8118,9891,9892,9890,1803,5500,9899
EA,014F3DAF748BA448E043814FD28EA448,1,EAST,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
FW,014F3DAF748CA448E043814FD28EA448,1,FORT WAYNE,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
HO,014F3DAF748DA448E043814FD28EA448,1,HOSPITALS,Y,8000,9041,1209,1209,IN,8100,9891,9892,9890,1803,5500,9899
IA,014F3DAF748EA448E043814FD28EA448,1,INDI AUXILIARY,Y,8000,9041,1209,1209,IN,8118,9891,9892,9890,1803,5500,9899
KO,014F3DAF7491A448E043814FD28EA448,1,KOKOMO,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
NW,014F3DAF7492A448E043814FD28EA448,1,NORTHWEST,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
SB,014F3DAF7493A448E043814FD28EA448,1,SOUTH BEND,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
SE,014F3DAF7494A448E043814FD28EA448,1,SOUTHEAST,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
UA,014F3DAF7495A448E043814FD28EA448,1,UNIV ADMIN,Y,8000,9041,1209,1209,IU,8118,9891,9892,9890,1803,5500,9899
