CA_ICR_ACCT_GNRTD_ID,OBJ_ID,VER_NBR,FIN_COA_CD,ACCOUNT_NBR,ICR_FIN_COA_CD,ICR_FIN_ACCT_NBR,ACLN_PCT,DOBJ_MAINT_CD_ACTV_IND
10392,C472501071BA5765E040220A4C16066C,1,BL,4124726,BL,1023287,100,Y
10393,C472501071BB5765E040220A4C16066C,1,BL,4124727,BL,1023287,100,Y
10394,C472501071BC5765E040220A4C16066C,1,BL,4124728,BL,1023287,100,Y
10395,C472501071BD5765E040220A4C16066C,1,BL,4124729,BL,1023287,100,Y
10396,C472501071BE5765E040220A4C16066C,1,BL,4124730,BL,1023287,100,Y
10397,C472501071BF5765E040220A4C16066C,1,BL,4124731,BL,1023287,100,Y
10398,C472501071C05765E040220A4C16066C,1,BL,4124732,BL,1023287,100,Y
10399,C472501071C15765E040220A4C16066C,1,BL,4124733,BL,1023287,100,Y
10400,C472501071C25765E040220A4C16066C,1,BL,4124734,BL,1023287,100,Y
10401,C472501071C35765E040220A4C16066C,1,BL,4124735,BL,1023287,100,Y
10402,C472501071C45765E040220A4C16066C,1,BL,4124736,BL,1023287,100,Y
10403,C472501071C55765E040220A4C16066C,1,BL,4124737,BL,1023287,100,Y
10404,C472501071C65765E040220A4C16066C,1,BL,4424680,BL,1023287,100,Y
10405,C472501071C75765E040220A4C16066C,1,BL,4424681,BL,1023287,100,Y
10406,C472501071C85765E040220A4C16066C,1,BL,4424682,BL,1023287,100,Y
10407,C472501071C95765E040220A4C16066C,1,BL,4424683,BL,1023287,100,Y
10408,C472501071CA5765E040220A4C16066C,1,BL,4424684,BL,1023287,100,Y
10409,C472501071CB5765E040220A4C16066C,1,BL,4424685,BL,1023287,100,Y
10410,C472501071CC5765E040220A4C16066C,1,BL,4424686,BL,1023287,100,Y
10411,C472501071CD5765E040220A4C16066C,1,BL,4424687,BL,1023287,100,Y
10412,C472501071CE5765E040220A4C16066C,1,BL,4424688,BL,1023287,100,Y
10413,C472501071CF5765E040220A4C16066C,1,BL,4424689,BL,1023287,100,Y
10414,C472501071D05765E040220A4C16066C,1,BL,4424701,BL,1023287,100,Y
10415,C472501071D15765E040220A4C16066C,1,BL,4424702,BL,1023287,100,Y
10416,C472501071D25765E040220A4C16066C,1,BL,4424703,BL,1023287,100,Y
10417,C472501071D35765E040220A4C16066C,1,BL,4424704,BL,1023287,100,Y
10418,C472501071D45765E040220A4C16066C,1,BL,4424705,BL,1023287,100,Y
10419,C472501071D55765E040220A4C16066C,1,BL,4424706,BL,1023287,100,Y
10420,C472501071D65765E040220A4C16066C,1,BL,4424707,BL,1023287,100,Y
10421,C472501071D75765E040220A4C16066C,1,BL,4424708,BL,1023287,100,Y
10422,C472501071D85765E040220A4C16066C,1,BL,4424709,BL,1023287,100,Y
10423,C472501071D95765E040220A4C16066C,1,BL,4424710,BL,1023287,100,Y
10424,C472501071DA5765E040220A4C16066C,1,BL,4424711,BL,1023287,100,Y
