UNIV_FISCAL_YR,FIN_COA_CD,FIN_OBJECT_CD,OBJ_ID,VER_NBR,FIN_OBJ_CD_NM,FIN_OBJ_CD_SHRT_NM,FIN_OBJ_LEVEL_CD,RPTS_TO_FIN_COA_CD,RPTS_TO_FIN_OBJ_CD,FIN_OBJ_TYP_CD,FIN_OBJ_SUB_TYP_CD,HIST_FIN_OBJECT_CD,FIN_OBJ_ACTIVE_CD,FOBJ_BDGT_AGGR_CD,FOBJ_MNXFR_ELIM_CD,FIN_FED_FUNDED_CD,NXT_YR_FIN_OBJ_CD,RSCH_BDGT_CTGRY_CD,RSCH_OBJ_CD_DESC,RSCH_ON_CMP_IND
2014,"BL","7970","99f99eb2-6d11-4588-a552-1f8f92efe0dd",1,"OPERATING MARGIN","OP MARGIN","RESV","IU","7900","EX","RE",null,"Y","O","N","N",null,null,null,null
2014,"BL","7990","7369bf66-30b4-4853-9c1c-85e6b65a3592",1,"COMPUTER OPERATING SUPPORT","COMPU OP SUP","RESV","IU","7900","EX","RE",null,"Y","O","N","N",null,null,null,null
2014,"BL","8000","0f212e97-3a42-4092-a690-a77997e93fed",1,"CASH IN BANK","CASH IN BNK","CASH","IU","8000","AS","CA",null,"Y","O",null,"N",null,null,null,null
2014,"BL","8001","4a064d2a-473b-489d-81af-01ef589cc393",1,"CASH REVOLVING FUND","PETTY/REV F","CASH","IU","8001","AS","CU",null,"Y","O","N","N",null,null,null,null
2014,"BL","8002","b62dc551-6d7a-46ed-b9a1-47b10ec693ab",1,"CASH DEPOSITS","CSH DEP","CASH","IU","8002","AS","NA",null,"Y","O",null,"N",null,null,null,null
2014,"BL","8003","0e6e6e91-0c79-47ce-8201-503a61ed8b36",1,"CASH DEPOSITS-RESERVES","CSH DEP RSRV","INVA","IU","8007","AS","NA",null,"Y","O","N","N",null,null,null,null
2014,"BL","8004","0254160a-8373-4a6f-b34d-8c35cb8c60b6",1,"CASH DEPOSITS-PRIN AND INT","CD-PRINC/INT","CASH","IU","8004","AS","NA",null,"Y","O",null,"N",null,null,null,null
2014,"BL","8005","2eab7e34-3a37-471f-bdc1-6366432cae3c",1,"CASH IN TRANSIT","CASH TRNSIT","CASH","IU","8002","AS","NA",null,"Y","O",null,"N",null,null,null,null
2014,"BL","8007","140ef9c6-d0fb-46f0-99b9-b702e8f6f8e1",1,"CASH FOR STUFF I WANT","MY WANTS","CASH","IU",null,"AS","NA",null,"Y","O","N","N",null,null,null,null
2014,"BL","8010","ec98f3a9-5024-46ee-b26d-c03eb88be104",1,"CASH-MAJOR REPAIR RESERVE","CASH MAJ REP","CASH","IU","8003","AS","NA",null,"Y","O","N","N",null,null,null,null
2014,"BL","8015","12ae5309-ce0a-4e93-ab9e-39e4e4a7f052",1,"UNAPPLIED AR IN NON STUDENT AR SYSTEM","UNAPPLIED AR","AR","IU","8118","AS","AR",null,"Y","O","N","N",null,null,null,null
2014,"BL","8100","93fbb66b-712b-413b-a7d6-5d4ed800a5bf",1,"ACCOUNTS RECEIVABLE","A R","AR","IU","8100","AS","AR",null,"Y","O",null,"N",null,null,null,null
2014,"BL","8101","32f7193e-fb98-4a51-92e6-f1fa16b9927e",1,"ACCOUNTS RECEIVABLE-CON ED","A R CON ED","AR","IU","8100","AS","AR",null,"Y","O","N","N",null,null,null,null
