FIN_COA_CD,ORG_CD,OBJ_ID,VER_NBR,DESCRSHORT,COMPANY,SETID_LOCATION,LOCATION,TAX_LOCATION_CD,MANAGER_UNVL_ID,MANAGER_POSN,BUDGET_YR_END_DT,BUDGET_LVL,GL_EXPENSE,EEO4_FUNCTION,ACCIDENT_INS,SI_ACCIDENT_NUM,HAZARD,ESTABID,RISKCD,FTE_EDIT_INDC,DEPT_TENURE_FLG,TL_DISTRIB_INFO,USE_BUDGETS,USE_ENCUMBRANCES,USE_DISTRIBUTION,BUDGET_DEPTID,DIST_PRORATE_OPTN,HP_STATS_DEPT_CD,HP_STATS_FACULTY,ACCOUNTING_OWNER,COUNTRY_GRP,IU_ORG_MAIL_DRP_CD,IU_ORG_ADDRESS_2,IU_ORG_ADDRESS_3,IU_CAMPUS_CD,IU_CAMPUS_BLDG,IU_CAMPUS_ROOM,IU_POSN_ALLOW_FL,IU_TENURE_ALLOW_FL,IU_TITLE_ALLOW_FL,IU_OCC_UN_ALLOW_FL,ORG_FSCL_APRVR_UID,LAST_UPDATE_DATE
BA,ASDR,11400DC3F385041EE043814FD881041E,1,BA-ASDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030707000000
BA,AUTM,11400DC3EE36041EE043814FD881041E,1,BA-AUTM,IU,IUBLA,BL,BL,OLE2642509031,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BA-AUTM,null,null,null,null,null,null,null,null,BL,null,null,Y,N,Y,Y,OLE2642509031,040811000000
BA,BHDR,11400DC3F391041EE043814FD881041E,1,BA-BHDR,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030918000000
BA,BKST,11400DC3EE37041EE043814FD881041E,1,BA-BKST,IU,IUBLA,BL,BL,OLE3246604444,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BA-BKST,null,null,null,null,null,null,null,null,BL,null,null,Y,N,N,Y,OLE6219307217,050131000000
BA,BRAD,11400DC3EE38041EE043814FD881041E,1,BA-BRAD,IU,IUBLA,BL,BL,OLE4507204997,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BA-BRAD,null,null,null,null,null,null,BRADFORD WOODS,null,BL,null,null,Y,N,Y,Y,OLE5009908085,041202000000
BA,BRFD,11400DC3F387041EE043814FD881041E,1,BA-BRFD,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030707000000
BA,BUSS,11400DC3F376041EE043814FD881041E,1,BA-BUSS,IU,null,null,null,OLE5598104606,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,Y,null,null,Y,OLE5598104606,031009000000
BA,CAGE,11400DC3F367041EE043814FD881041E,1,BA-CAGE,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,030320000000
BA,CARD,11400DC3F3A5041EE043814FD881041E,1,BA-CARD,IU,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,BL,null,null,null,null,null,null,null,040106000000
BA,CONF,11400DC3EE39041EE043814FD881041E,1,BA-CONF,IU,IUBLA,BL,BL,OLE5384207659,null,630,D,null,15,null,null,null,IU,null,N,N,N,Y,Y,N,BA-CONF,null,null,null,null,null,null,null,null,BL,null,null,Y,N,N,Y,OLE1701107778,040810000000
