FIN_COA_CD,ORG_CD,ORG_RTNG_MDL_NM,ACCT_DLGT_UNVL_ID,FDOC_TYP_CD,OBJ_ID,VER_NBR,FDOC_APRV_FROM_AMT,FDOC_APRV_TO_AMT,ACCT_DLGT_PRMRT_CD,ACCT_DLGT_START_DT,ROW_ACTV_IND
BA,IMU,LNEEDY,OLE3414509376,OLE_CR,11400DC3F492041EE043814FD881041E,1,null,null,N,980718000000,Y
BA,IMU,LNEEDY,OLE3414509376,OLE_DI,11400DC3F493041EE043814FD881041E,1,null,null,N,980717000000,Y
BA,IMU,LNEEDY,OLE3414509376,OLE_DV,11400DC3F494041EE043814FD881041E,1,null,null,N,980718000000,Y
BA,IMU,LNEEDY,OLE3414509376,OLE_GEC,11400DC3F495041EE043814FD881041E,1,null,null,N,980718000000,Y
BA,IMU,LNEEDY,OLE3414509376,OLE_IB,11400DC3F496041EE043814FD881041E,1,null,null,N,980718000000,Y
BA,RPAS,6031000,OLE1399906687,OLE_PCDO,11400DC3F7C7041EE043814FD881041E,1,null,null,N,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_A21,11400DC3F7B0041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_AR,11400DC3F7B1041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_AT,11400DC3F7B2041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_CRM,11400DC3F7B3041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_DV,11400DC3F7B4041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_ELR,11400DC3F7B5041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_GEC,11400DC3F7B6041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_IB,11400DC3F7B7041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE2219604689,OLE_PE,11400DC3F7B8041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_ACCT,11400DC3F7B9041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_ADEL,11400DC3F7BA041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_BA,11400DC3F7BB041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_BT,11400DC3F7BC041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_GACC,11400DC3F7BE041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_GDLG,11400DC3F7BD041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_ND,11400DC3F7BF041EE043814FD881041E,1,null,null,Y,null,Y
BA,RPAS,6031000,OLE3584609748,OLE_SACC,11400DC3F7C0041EE043814FD881041E,1,null,null,Y,null,Y
