FIN_COA_CD,ACCOUNT_NBR,OBJ_ID,VER_NBR,ACCOUNT_NM,ACCT_FSC_OFC_UID,ACCT_SPVSR_UNVL_ID,ACCT_MGR_UNVL_ID,ORG_CD,ACCT_TYP_CD,ACCT_PHYS_CMP_CD,SUB_FUND_GRP_CD,ACCT_FRNG_BNFT_CD,FIN_HGH_ED_FUNC_CD,ACCT_RSTRC_STAT_CD,ACCT_RSTRC_STAT_DT,ACCT_CITY_NM,ACCT_STATE_CD,ACCT_STREET_ADDR,ACCT_ZIP_CD,RPTS_TO_FIN_COA_CD,RPTS_TO_ACCT_NBR,ACCT_CREATE_DT,ACCT_EFFECT_DT,ACCT_EXPIRATION_DT,CONT_FIN_COA_CD,CONT_ACCOUNT_NBR,ENDOW_FIN_COA_CD,ENDOW_ACCOUNT_NBR,CONTR_CTRL_FCOA_CD,CONTR_CTRLACCT_NBR,INCOME_FIN_COA_CD,INCOME_ACCOUNT_NBR,ACCT_ICR_TYP_CD,AC_CSTM_ICREXCL_CD,FIN_SERIES_ID,ICR_FIN_COA_CD,ICR_ACCOUNT_NBR,ACCT_IN_FP_CD,BDGT_REC_LVL_CD,ACCT_SF_CD,ACCT_PND_SF_CD,FIN_EXT_ENC_SF_CD,FIN_INT_ENC_SF_CD,FIN_PRE_ENC_SF_CD,FIN_OBJ_PRSCTRL_CD,CG_CFDA_NBR,ACCT_OFF_CMP_IND,ACCT_CLOSED_IND
BL,212004,1D5F9493A2A49052E043814FD8819052,1,ANIMAL CARE FACILITY-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DOFDS,Y,AA,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[930702000000-0400],[930702000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,A,Y,N,N,N,N,(null),N,N
BL,212005,1D5F9493A2A59052E043814FD8819052,1,ANIMAL CARE FACILITY-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DOFDS,Y,AA,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[930702000000-0400],[930702000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,A,Y,N,N,N,N,(null),N,N
BL,212006,1D5F9493A2A69052E043814FD8819052,1,ANIMAL CARE FACILITY-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DOFDS,Y,AA,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[930702000000-0400],[930702000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,A,Y,N,N,N,N,(null),N,N
BL,212007,1D5F9493A2A79052E043814FD8819052,1,ANIMAL CARE FACILITY-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DOFDS,Y,AA,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[930702000000-0400],[930702000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,A,Y,N,N,N,N,(null),N,N
BL,212008,1D5F9493A2A89052E043814FD8819052,1,ANIMAL CARE FACILITY-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DOFDS,Y,AA,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[930702000000-0400],[930702000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,A,Y,N,N,N,N,(null),N,N
BL,212009,1D5F9493A2A99052E043814FD8819052,1,ANIMAL CARE FACILITY-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DOFDS,Y,AA,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[930702000000-0400],[930702000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,A,Y,N,N,N,N,(null),N,N
BL,1031400,10B3C1BDE85C8F96E043814FD8818F96,2,PSYCHOLOGY,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,GENFND,Y,IN,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,BA,6044900,[060405000000-0400],[930701000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,2231408,(null),(null),(null),(null),(null),N,O,C,N,Y,N,N,N,(null),N,N
BL,1031420,014C92B069DAA16EE043814FD881A16E,1,CENTER FOR ANIMAL BEHAVIOR,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,GENFND,Y,IN,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[940331000000-0500],[940321000000-0500],(null),BL,2331489,(null),(null),(null),(null),BL,1031420,(null),(null),(null),(null),(null),N,C,C,N,N,N,N,N,(null),N,N
BL,1031467,014C92B069DBA16EE043814FD881A16E,1,DIST PROFESSORSHIP-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,GENFND,Y,IN,U,(null),BLOOMINGTON,IN,KIRKWOOD 104,47405,IU,(null),[930701000000-0400],[930701000000-0400],[950317000000-0500],BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,C,C,N,Y,N,N,N,(null),N,N
BL,1031497,014C92B069DCA16EE043814FD881A16E,1,PSYCHOLOGY - EQUIP,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,GENFND,Y,IN,U,(null),BLOOMINGTON,IN,Psychology,47405-1301,IU,(null),[930701000000-0400],[930701000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,C,C,Y,Y,N,N,N,(null),N,N
BL,1912201,293874098347,1,PARKING OPERATION,OLE3771403079,OLE4219606069,OLE3771403079,PARK,RA,BL,AUXENT,Y,AUX,U,(null),BLOOMINGTON,IN,Franklin Hall 006,47405,BL,(null),[760701000000-0400],[760701000000-0400],(null),(null),(null),(null),(null),(null),(null),BA,6044900,(null),(null),(null),(null),(null),N,O,N,N,N,N,N,N,(null),N,N
BL,2131401,2A232095-B889-734C-7F5D-D3EC14A9CA77,2,PSYCH-HELLER-BARTHOLOMEW,(null),(null),(null),PSY,(null),BL,(null),N,(null),(null),(null),BLOOMINGTON,IN,PSYCH 122,47405,(null),(null),(null),[960620000000-0400],[030526000000-0400],BL,2331489,(null),(null),(null),(null),BL,2231425,(null),(null),(null),(null),(null),N,O,N,N,N,N,N,N,(null),N,Y
BL,2220090,014C92B06C1BA16EE043814FD881A16E,1,FAC RES S. BREHM,OLE4318506633,OLE2802202597,OLE4642409981,PSY,NA,BL,DFRES,Y,IPR,U,(null),BLOOMINGTON,IN,BRYAN HALL,47405,(null),(null),[040105000000-0500],[040105000000-0500],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,H,Y,N,N,N,N,(null),N,N
BL,2231401,014C92B069DEA16EE043814FD881A16E,1,ALBERTS-RIP-PSYCHOLOGY,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DFRES,Y,IPR,U,(null),BLOOMINGTON,IN,Psychology,47405-1301,IU,(null),[921209000000-0500],[921209000000-0500],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,H,Y,N,N,N,N,(null),N,N
BL,2231402,014C92B069DFA16EE043814FD881A16E,1,CHAIR'S RESEARCH INITIATIVES,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DFRES,Y,IPR,U,(null),BLOOMINGTON,IN,Psychology,47405-1301,(null),(null),[920618000000-0400],[950518000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,L,H,Y,N,N,N,N,(null),N,N
BL,2231404,014C92B069E0A16EE043814FD881A16E,1,BATES-RIP-PSYCHOLOGY,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DFRES,Y,IPR,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[921209000000-0500],[921209000000-0500],[050131000000-0500],BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,H,Y,N,N,N,N,(null),N,N
BL,2231405,014C92B069E1A16EE043814FD881A16E,1,FAC RES-BATES-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DFRES,Y,IPR,U,(null),BLOOMINGTON,IN,PSYCHOLOGY 122,47405-1301,IU,(null),[891214000000-0500],[891214000000-0500],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,H,Y,N,N,N,N,(null),N,N
BL,2231406,014C92B069E2A16EE043814FD881A16E,1,CHERTKOFF-FAC RES-PSYCH,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DFRES,Y,IPR,U,(null),BLOOMINGTON,IN,Psychology,47405-1301,IU,(null),[920618000000-0400],[920618000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,L,Y,N,N,N,N,(null),N,N
BL,2231407,014C92B069E3A16EE043814FD881A16E,1,BINGHAM-FAC RES-PSYCHOLOGY,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DFRES,Y,IPR,U,(null),BLOOMINGTON,IN,PSYCHOLOGY,47405-1301,IU,(null),[920618000000-0400],[920618000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,O,C,Y,N,N,N,N,(null),N,N
BL,2231408,014C92B069E4A16EE043814FD881A16E,1,BUSEY FAC RES PSYCHOLOGY,OLE4318506633,OLE3889504703,OLE4318506633,PSY,NA,BL,DFRES,N,IPR,U,(null),BLOOMINGTON,IN,Psychology,47405-1301,UA,6612160,[940621000000-0400],[940621000000-0400],(null),BL,2331489,(null),(null),(null),(null),BL,1023287,(null),(null),(null),(null),(null),N,N,O,Y,N,N,N,N,(null),N,N
