FIN_COA_CD,ORG_CD,OBJ_ID,VER_NBR,ORG_MGR_UNVL_ID,ORG_NM,RC_CD,ORG_PHYS_CMP_CD,ORG_TYP_CD,ORG_DFLT_ACCT_NBR,ORG_LN1_ADDR,ORG_LN2_ADDR,ORG_CITY_NM,ORG_STATE_CD,ORG_ZIP_CD,ORG_CNTRY_CD,ORG_BEGIN_DT,ORG_END_DT,RPTS_TO_FIN_COA_CD,RPTS_TO_ORG_CD,ORG_ACTIVE_CD,ORG_IN_FP_CD,ORG_PLNT_ACCT_NBR,CMP_PLNT_ACCT_NBR,ORG_PLNT_COA_CD,CMP_PLNT_COA_CD
BA,MPLS,014F3DAF807CA448E043814FD28EA448,1,OLE5240003343,MOTOR POOL LEASED FLEET,80,BL,O,6628000,RANGE LINE ROAD,(null),BLOOMINGTON,IN,47405,US,[011026000000-0400],(null),BA,MPOP,Y,N,9528020,9528020,BA,BA
BA,MPOP,014F3DAF816EA448E043814FD28EA448,1,OLE5240003343,MOTOR POOL OPERATIONS,80,BL,T,6628000,801 N RANGE RD,(null),BLOOMINGTON,IN,47405,US,[040323000000-0500],(null),BA,MOTR,Y,N,9528000,9528000,BA,BA
BA,MPSV,014F3DAF8080A448E043814FD28EA448,1,OLE5240003343,MOTOR POOL SERVICE GARAGE,80,BL,O,6628000,RANGE LINE ROAD,(null),BLOOMINGTON,IN,47405,US,[011026000000-0400],(null),BA,MPOP,Y,N,9528010,9528010,BA,BA
BA,MSGE,014F3DAF75E1A448E043814FD28EA448,1,OLE4189509424,HALLS SEWING ROOM,80,BL,N,6039400,801 N JORDAN,(null),BLOOMINGTON,IN,47405,US,[940801000000-0400],[980211000000-0500],BA,MISC,N,N,9539400,9539400,BA,BA
BA,MSSU,014F3DAF75E2A448E043814FD28EA448,1,OLE4189509424,HALLS SEWING ROOM SUB,80,BL,N,6039401,801 N JORDAN,(null),BLOOMINGTON,IN,47405,US,[940801000000-0400],[980211000000-0500],BA,MISC,N,N,9520080,9520000,BL,BL
BA,MUGE,014F3DAF75E3A448E043814FD28EA448,1,OLE4189509424,HALLS UPHOLSTERY,80,BL,N,6039500,801 N JORDAN,(null),BLOOMINGTON,IN,47405,US,[940801000000-0400],[980211000000-0500],BA,MISC,N,N,9539500,9539500,BA,BA
BA,MUSU,014F3DAF75E4A448E043814FD28EA448,1,OLE4189509424,HALLS UPHOLSTERY SHOP SUB,80,BL,N,6039501,801 N JORDAN,(null),BLOOMINGTON,IN,47405,US,[940801000000-0400],[980211000000-0500],BA,MISC,N,N,9520080,9520000,BL,BL
BA,NCAR,014F3DAF7FF6A448E043814FD28EA448,1,OLE5009908085,NATIONAL CTR ON ACCESSIBLITY,28,BL,O,6042200,HPER,(null),BLOOMINGTON,IN,47405,US,[001102000000-0500],(null),BL,BRAD,Y,N,9542200,9542200,BA,BA
BA,PAAC,014F3DAF75E5A448E043814FD28EA448,1,OLE3584609748,PERFORMING ARTS THEMATIC UNIT,80,BL,O,6047500,801 N JORDAN,(null),BLOOMINGTON,IN,47405,US,[991001000000-0400],[030320000000-0500],BA,ACAC,N,N,9547500,9547500,BA,BA
BA,PARK,014F3DAF75E6A448E043814FD28EA448,1,OLE3771403079,PARKING SERVICES,80,BL,T,6044900,FRANKLIN HALL,(null),BLOOMINGTON,IN,47405,US,[930701000000-0400],(null),BA,TRAN,Y,N,9544900,9544900,BA,BA
