FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,OBJ_ID,VER_NBR,SUB_ACCT_NM,SUB_ACCT_ACTV_CD,FIN_RPT_CHRT_CD,FIN_RPT_ORG_CD,FIN_RPT_CD
BL,4631669,INST1,30B03A98AFBAA1FAE043814FD881A1FA,1,COST SHARE  12-869-55  NURNBERGER > CAP,Y,null,null,null
BL,4631669,INST2,473B1910068E0BC7E0404F8189D810E7,1,CS  12-869-12  NIH-NIMH  NUR SUM > CAP,Y,null,null,null
BL,4631672,CS001,0395AAE3A3819478E043814FD8819478,1,COST SHARE 1031400,Y,null,null,null
BL,4631674,CS001,30B03A98AFE7A1FAE043814FD881A1FA,1,COST SHARE 10-314-00,Y,null,null,null
BL,4631680,CS001,473B191006790BC7E0404F8189D810E7,1,COST SHARE 10-314-00,Y,null,null,null
BL,4631680,CS002,473B1910067A0BC7E0404F8189D810E7,1,COST SHARE 10-302-00,Y,null,null,null
BL,4631680,INST1,30B03A98AFDCA1FAE043814FD881A1FA,1,COST SHARE  28-232-70,Y,null,null,null
BL,4631681,CS001,30B03A98AFC0A1FAE043814FD881A1FA,1,COST SHARE 10-314-00,Y,null,null,null
BL,4631681,CS002,30B03A98AFB7A1FAE043814FD881A1FA,1,COST SHARE 10-302-00,N,null,null,null
BL,4631683,CS001,30B03A98AFB8A1FAE043814FD881A1FA,1,COST SHARE 10-314-00,Y,null,null,null
BL,4631684,CS001,30B03A98AFC8A1FAE043814FD881A1FA,1,COST SHARE 1031400,Y,null,null,null
BL,4631685,CS001,30B03A98AFC9A1FAE043814FD881A1FA,1,COST SHARE 1031400,Y,null,null,null
BL,4631692,CS001,30B03A98AFC7A1FAE043814FD881A1FA,1,COST SHARE CS001 10-314-00,Y,null,null,null
BL,4631692,CS002,473B191006610BC7E0404F8189D810E7,1,COST SHARE CS002 10-302-00,N,null,null,null
BL,4631692,CS003,30B03A98AFD1A1FAE043814FD881A1FA,1,COST SHARE CS003 10-314-00 (TIMBERLAKE),Y,null,null,null
BL,4631695,CS001,30B03A98AFBBA1FAE043814FD881A1FA,1,COST SHARE 10-314-00 FOR O'DONNEL & FINN,Y,null,null,null
BL,4731402,CS001,0395AAE3A3409478E043814FD8819478,1,COST SHARE 47-314-02/ 10-314-00,N,null,null,null
BL,4824404,INST1,0395AAE3A3419478E043814FD8819478,1,COST SHARE 2224604,Y,null,null,null
BL,4831300,INST1,30B03A98AFD6A1FAE043814FD881A1FA,1,COST SHARE 2231475,Y,null,null,null
BL,4831401,INST1,0395AAE3A35F9478E043814FD8819478,1,COST SHARE 1031400,Y,null,null,null
BL,4831402,INST1,30B03A98AFC3A1FAE043814FD881A1FA,1,COST SHARE 1031400,Y,null,null,null
BL,4831403,INST1,30B03A98AFC5A1FAE043814FD881A1FA,1,COST SHARE 1031400,Y,null,null,null
BL,4831403,INST2,30B03A98AFD2A1FAE043814FD881A1FA,1,COST SHARE 1025300,Y,null,null,null
BL,4831452,INST1,0395AAE3A3439478E043814FD8819478,1,1% INST COST SHARE (SOURCE 1031400),Y,null,null,null
BL,4831487,CS001,0395AAE3A3269478E043814FD8819478,1,COST SHARE,N,null,null,null
BL,4831491,CS001,0395AAE3A3279478E043814FD8819478,1,COST SHARE 1031400,N,null,null,null
BL,4831492,CS001,0395AAE3A3289478E043814FD8819478,1,COST SHARE,N,null,null,null
BL,4831493,CS001,0395AAE3A3299478E043814FD8819478,1,COST SHARE,N,null,null,null
BL,4831494,INST1,0395AAE3A34D9478E043814FD8819478,1,COST SHARE 1031400,N,null,null,null
BL,4831496,CS001,0395AAE3A32C9478E043814FD8819478,1,COST SHARE 1031400,Y,null,null,null
BL,4831497,INST1,0395AAE3A33E9478E043814FD8819478,1,COST SHARE 1% INST SOURCE 10-314-00,Y,null,null,null
BL,4831498,INST1,0395AAE3A34B9478E043814FD8819478,1,COST SHARE 1031400,Y,null,null,null
BL,5431400,ADMIN,30B03A98AFBFA1FAE043814FD881A1FA,1,RESEARCH NODE - ADMINISTRATION,Y,null,null,null
BL,5431400,BEGGS,30B03A98AFD9A1FAE043814FD881A1FA,1,METACYT NODE:  BEGGS,Y,null,null,null
BL,5431400,DERUY,473B191006770BC7E0404F8189D810E7,1,METACYT NODE:  DERUYTER,Y,null,null,null
BL,5431400,DIMAR,30B03A98AFE5A1FAE043814FD881A1FA,1,RESEARCH NODE - SALARY/TODD PARODY,Y,null,null,null
BL,5431400,FACIL,473B191006760BC7E0404F8189D810E7,1,RESEARCH NODE - FACILITY,Y,null,null,null
BL,5431400,FACS,473B1910066E0BC7E0404F8189D810E7,1,EQUIPMENT,Y,null,null,null
BL,5431400,ICAD1,473B191006780BC7E0404F8189D810E7,1,INFLAM & CORONARY ARTERY DISEASE-WALKER,Y,null,null,null
BL,5431400,JAMES,473B191006810BC7E0404F8189D810E7,1,EQUIPMENT,Y,null,null,null
BL,5431400,KUMAR,473B191006840BC7E0404F8189D810E7,1,RESEARCH NODE/EQUIPMENT (GLASS PULLER),Y,null,null,null
BL,5431400,PESSO,473B191006740BC7E0404F8189D810E7,1,METACYT NODE:  L PESSOA,Y,null,null,null
