CAMPUS_CD,BLDG_CD,OBJ_ID,VER_NBR,BLDG_NM,BLDG_STR_ADDR,BLDG_ADDR_CTY_NM,BLDG_ADDR_ST_CD,BLDG_ADDR_ZIP_CD,ALTRNT_BLDG_CD,ROW_ACTV_IND,BLDG_ADDR_CNTRY_CD
"BL","BL655","440146BC208780DAE043814FD88180DA",1,"Wylie House Museum","307 E 2nd St","Bloomington","IN","47401-4701",null,"Y","US"
"BL","BL656","440146BC208880DAE043814FD88180DA",1,"Goethe Link Observatory","8403 N Observatory Ln","Martinsville","IN","46151-6225",null,"Y","US"
"BL","BL658","440146BC208980DAE043814FD88180DA",1,"IU Press","601 N Morton St","Bloomington","IN","47404-3778",null,"Y","US"
"BL","BL672","440146BC208A80DAE043814FD88180DA",1,"Food Storage","600 N Rogers St","Bloomington","IN","47404-3701",null,"Y","US"
"BL","BL690","440146BC208B80DAE043814FD88180DA",1,"Morgan-Monroe Observatory","5550 Main Forest Rd","Bloomington","IN","47405",null,"Y","US"
"BL","BL841","440146BC208C80DAE043814FD88180DA",1,"Biology Storage Building",null,null,null,null,null,"Y","US"
"BL","BL994","440146BC208D80DAE043814FD88180DA",1,"Indiana State Police District 33","2135 N Fee Ln","Bloomington","IN","47408-1645",null,"Y","US"
"CO","CO486","440146BC208E80DAE043814FD88180DA",1,"IUPU Columbus","4601 Central Ave","Columbus","IN","47203-1769",null,"Y","US"
"CO","CO488","440146BC208F80DAE043814FD88180DA",1,"IUPU Columbus Research","4601 Central Ave","Columbus","IN","47203-1769",null,"Y","US"
"EA","EA801","440146BC209080DAE043814FD88180DA",1,"Middlefork Hall","2325 Chester Blvd","Richmond","IN","47374-1220",null,"Y","US"
"EA","EA802","440146BC209180DAE043814FD88180DA",1,"Whitewater Hall","2325 Chester Blvd","Richmond","IN","47374-1220",null,"Y","US"
"EA","EA803","440146BC209280DAE043814FD88180DA",1,"Brice E. Hayes Hall","2325 Chester Blvd","Richmond","IN","47374-1220",null,"Y","US"
"EA","EA804","440146BC209380DAE043814FD88180DA",1,"Springwood Hall","2325 Chester Blvd","Richmond","IN","47374-1220",null,"Y","US"
"EA","EA815","440146BC209480DAE043814FD88180DA",1,"Danielson Center","300 Trojan Ln","New Castle","IN","47362-2900",null,"Y","US"
"IN","IN001A","440146BC209580DAE043814FD88180DA",1,"Modular Lab","791 Union Dr","Indianapolis","IN","46202-4887",null,"Y","US"
"IN","IN007","440146BC209680DAE043814FD88180DA",1,"Wilson St Garage","811 N Wilson St","Indianapolis","IN","46202-5809",null,"Y","US"
"IN","IN010","440146BC209780DAE043814FD88180DA",1,"Rotary Building","702 Rotary Cir","Indianapolis","IN","46202-5175",null,"Y","US"
"IN","IN011","440146BC209880DAE043814FD88180DA",1,"Riley MRI","701 West Dr","Indianapolis","IN","46202-5200",null,"Y","US"
"IN","IN014","440146BC209980DAE043814FD88180DA",1,"Riley Research","699 West Dr","Indianapolis","IN","46202-5200",null,"Y","US"
"IN","IN023","440146BC209A80DAE043814FD88180DA",1,"Nursing School","1111 Middle Dr","Indianapolis","IN","46202-5107",null,"Y","US"
"IN","IN025","440146BC209B80DAE043814FD88180DA",1,"Daly Student Center","1001 W Walnut St","Indianapolis","IN","46202-5121",null,"Y","US"
"IN","IN026","440146BC209C80DAE043814FD88180DA",1,"Univ Hosp Parking","600 N University Blvd","Indianapolis","IN","46202-5250",null,"Y","US"
"IN","IN029","440146BC209D80DAE043814FD88180DA",1,"Riley Outpatient Garage","575 West Dr","Indianapolis","IN","46202-5272",null,"Y","US"
"IN","IN030","440146BC209E80DAE043814FD88180DA",1,"Fesler Hall","1120 South Dr","Indianapolis","IN","46202-5113",null,"Y","US"
"IN","IN031","440146BC209F80DAE043814FD88180DA",1,"Coleman Hall","1140 W Michigan St","Indianapolis","IN","46202-5118",null,"Y","US"
"IN","IN033","440146BC20A080DAE043814FD88180DA",1,"Long Hospital","1110 W Michigan St","Indianapolis","IN","46202-5100",null,"Y","US"
"IN","IN033A","440146BC20A180DAE043814FD88180DA",1,"Gatch Clinical Building","541 Clincal Dr","Indianapolis","IN","46202-5111",null,"Y","US"
"IN","IN035","440146BC20A280DAE043814FD88180DA",1,"Indiana Cancer Pavilion","535 Barnhill Dr","Indianapolis","IN","46202-5289",null,"Y","US"
"IN","IN036","440146BC20A380DAE043814FD88180DA",1,"Emerson Hall","545 N Barnhill Dr","Indianapolis","IN","46202-5124",null,"Y","US"
"IN","IN047","440146BC20A480DAE043814FD88180DA",1,"Univ Place Hotel","850 W Michigan St","Indianapolis","IN","46202-6044",null,"Y","US"
"IN","IN048","440146BC20A580DAE043814FD88180DA",1,"Univ Place Conference Center","850 W Michigan St","Indianapolis","IN","46202-5198",null,"Y","US"
"IN","IN049","440146BC20A680DAE043814FD88180DA",1,"North Street Garage","819 W North St","Indianapolis","IN","46202-3172",null,"Y","US"
"IN","IN051","440146BC20A780DAE043814FD88180DA",1,"Blackford Street Garage","725 W North St","Indianapolis","IN","46202-3139",null,"Y","US"
"IN","IN059A","440146BC20A880DAE043814FD88180DA",1,"Parking-Campus Housing","455 Porto Alegre St","Indianapolis","IN","46202-5186",null,"Y","US"
"IN","IN061","440146BC20A980DAE043814FD88180DA",1,"Ronald McDonald","435 Limestone St","Indianapolis","IN","46202-5188",null,"Y","US"
"IN","IN062","440146BC20AA80DAE043814FD88180DA",1,"Oral Health Research Institute","415 Lansing St","Indianapolis","IN","46202-2876",null,"Y","US"
"IN","IN066","440146BC20AB80DAE043814FD88180DA",1,"Vermont Street Garage","1004 W Vermont St","Indianapolis","IN","46202-5185",null,"Y","US"
"IN","IN071","440146BC20AC80DAE043814FD88180DA",1,"Engineering & Technology","799 W Michigan St","Indianapolis","IN","46202-5160",null,"Y","US"
"IN","IN076","440146BC20AD80DAE043814FD88180DA",1,"ICTC","535 W Michigan St","Indianapolis","IN","46202-3203",null,"Y","US"
"IN","IN082","440146BC20AE80DAE043814FD88180DA",1,"Barnhill Parking Garage","345 Barnhill Dr","Indianapolis","IN","46202",null,"Y","US"
"IN","IN083","440146BC20AF80DAE043814FD88180DA",1,"Campus Center","420 University Blvd","Indianapolis","IN","46202",null,"Y","US"
"IN","IN084","440146BC20B080DAE043814FD88180DA",1,"Cavanaugh Hall","425 University Blvd","Indianapolis","IN","46202-5140",null,"Y","US"
"IN","IN085","440146BC20B180DAE043814FD88180DA",1,"University College","815 W Michigan St","Indianapolis","IN","46202-5164",null,"Y","US"
"IN","IN086","440146BC20B280DAE043814FD88180DA",1,"Business/SPEA","801 W Michigan St","Indianapolis","IN","46202-5150",null,"Y","US"
"IN","IN088","440146BC20B380DAE043814FD88180DA",1,"University Library","755 W Michigan St","Indianapolis","IN","46202-5195",null,"Y","US"
"IN","IN100","440146BC20B480DAE043814FD88180DA",1,"Lecture Hall","325 University Blvd","Indianapolis","IN","46202-5141",null,"Y","US"
"IN","IN102","440146BC20B580DAE043814FD88180DA",1,"Education/Social Work","902 W New York St","Indianapolis","IN","46202-5157",null,"Y","US"
"IN","IN112","440146BC20B680DAE043814FD88180DA",1,"Track & Soccer Stadium","1001 W New York St","Indianapolis","IN","46202-5193",null,"Y","US"
"IN","IN112A","440146BC20B780DAE043814FD88180DA",1,"Dugout Trial Field",null,"Indianapolis","IN","46202",null,"Y","US"
"IN","IN112B","440146BC20B880DAE043814FD88180DA",1,"Dugout Trial Field",null,"Indianapolis","IN","46202",null,"Y","US"
"IN","IN114","440146BC20B980DAE043814FD88180DA",1,"Natatorium","901 W New York St","Indianapolis","IN","46202-5193",null,"Y","US"
"IN","IN115","440146BC20BA80DAE043814FD88180DA",1,"Sports Complex Garage","875 W New York St","Indianapolis","IN","46202-5224",null,"Y","US"
"IN","IN127","440146BC20BB80DAE043814FD88180DA",1,"Eskenazi Hall","735 W New York St","Indianapolis","IN","46202-5222",null,"Y","US"
"IN","IN130","440146BC20BC80DAE043814FD88180DA",1,"Inlow Hall","530 W New York St","Indianapolis","IN","46202-3225",null,"Y","US"
"IN","IN136","440146BC20BD80DAE043814FD88180DA",1,"Nat Inst Fit/Sport","250 University Blvd","Indianapolis","IN","46202-5192",null,"Y","US"
"IN","IN202","440146BC20BE80DAE043814FD88180DA",1,"Health Info and Translational Sci","410 W 10th St","Indianapolis","IN","46202-3002",null,"Y","US"
"IN","IN338","440146BC20BF80DAE043814FD88180DA",1,"Ceramics & Sculpture","1350 Indiana Ave","Indianapolis","IN","46202-2149",null,"Y","US"
"IN","IN342","440146BC20C080DAE043814FD88180DA",1,"Campus Svc 1","1325 Indiana Ave","Indianapolis","IN","46202-2148",null,"Y","US"
"IN","IN343","440146BC20C180DAE043814FD88180DA",1,"Campus Svc 4","1830 W 16th St","Indianapolis","IN","46202-2000",null,"Y","US"
"IN","IN344","440146BC20C280DAE043814FD88180DA",1,"Campus Svc 5","1701 W 15th St","Indianapolis","IN","46202-2024",null,"Y","US"
"KO","KO855","440146BC20C380DAE043814FD88180DA",1,"Kokomo Library","2300 S Washington St","Kokomo","IN","46904-9003",null,"Y","US"
"KO","KO858","440146BC20C480DAE043814FD88180DA",1,"IUK Parking","2300 S Washington St","Kokomo","IN","46904-9003",null,"Y","US"
"KO","KO863","440146BC20C580DAE043814FD88180DA",1,"Kokomo East","2300 S Washington St","Kokomo","IN","46904-9003",null,"Y","US"
"KO","KO865","440146BC20C680DAE043814FD88180DA",1,"Kelley Student Center","2300 S Washington St","Kokomo","IN","46904-9003",null,"Y","US"
"KO","KO869","440146BC20C780DAE043814FD88180DA",1,"Lecture/Observatory","2300 S Washington St","Kokomo","IN","46904-9003",null,"Y","US"
"KO","KO869E","440146BC20C880DAE043814FD88180DA",1,"Anderson House","2701 S Washington St","Kokomo","IN","46904-9003",null,"Y","US"
"KO","KO870","440146BC20C980DAE043814FD88180DA",1,"Early Outreach","325 E Lincoln Rd","Kokomo","IN","46902-3561",null,"Y","US"
"KO","KO871","440146BC20CA80DAE043814FD88180DA",1,"Early Outreach2","2725 S Lafountain St","Kokomo","IN","46904-9003",null,"Y","US"
"NW","NW819","440146BC20CB80DAE043814FD88180DA",1,"Hawthorn Hall","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW820","440146BC20CC80DAE043814FD88180DA",1,"Tamarack Hall","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW822","440146BC20CD80DAE043814FD88180DA",1,"Savannah Center","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW824","440146BC20CE80DAE043814FD88180DA",1,"Moraine Student Center","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW826","440146BC20CF80DAE043814FD88180DA",1,"Lindenwood Hall","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW826A","440146BC20D080DAE043814FD88180DA",1,"3520 Adam St","3520 Adam St","Gary","IN","46408-1508",null,"Y","US"
"NW","NW827","440146BC20D180DAE043814FD88180DA",1,"Library","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW829","440146BC20D280DAE043814FD88180DA",1,"Law Enforcement","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW830","440146BC20D380DAE043814FD88180DA",1,"Dental Education","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"NW","NW835","440146BC20D480DAE043814FD88180DA",1,"Child Care Center","3400 Broadway","Gary","IN","46408-1101",null,"Y","US"
"OC","OC454X","440146BC20D580DAE043814FD88180DA",1,"Vet Paralysis Res. (Purdue)","Purdue","West Lafayette","IN","47907",null,"Y","US"
"OC","OC455X","440146BC20D680DAE043814FD88180DA",1,"Food Science (Purdue)","Purdue","West Lafayette","IN","47907",null,"Y","US"
"SB","SB827Z","440146BC20D780DAE043814FD88180DA",1,"941 S Esther St","941 S Esther St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB829J","440146BC20D880DAE043814FD88180DA",1,"1109 S Esther House","1109 S Esther St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB829K","440146BC20D980DAE043814FD88180DA",1,"1109 S Esther Garage","1109 S Esther St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB831R","440146BC20DA80DAE043814FD88180DA",1,"Jordan International Center","1722 Hildreth St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB840","440146BC20DB80DAE043814FD88180DA",1,"Wiekamp Hall","1800 Mishawaka Ave","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB846","440146BC20DC80DAE043814FD88180DA",1,"Student Activities","941 20th St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB847","440146BC20DD80DAE043814FD88180DA",1,"Purdue Tech Bldg","1733 Northside Blvd","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB849","440146BC20DE80DAE043814FD88180DA",1,"Schurz Library","1750 Hildreth St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB851","440146BC20DF80DAE043814FD88180DA",1,"Greenlawn Hall","1011 20th St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB854","440146BC20E080DAE043814FD88180DA",1,"Riverside Hall","1960 Northside Blvd","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB860","440146BC20E180DAE043814FD88180DA",1,"Administration Bldg","1700 Mishawaka Ave","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB862","440146BC20E280DAE043814FD88180DA",1,"University Center","1700 Mishawaka Ave","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB864","440146BC20E380DAE043814FD88180DA",1,"Fine Arts","1717 Ruskin St","South Bend","IN","46634-7111",null,"Y","US"
"SB","SB874B","440146BC20E480DAE043814FD88180DA",1,"Elkhart Cntr II","125 E Franklin St","Elkhart","IN","46516-3609",null,"Y","US"
"SB","SB875","440146BC20E580DAE043814FD88180DA",1,"IUSB Parking","1820 Mishawaka Ave","South Bend","IN","46634-7111",null,"Y","US"
