ITM_TYP_CD,ITM_TYP_CD_ID,ITM_TYP_DESC,ITM_TYP_NM,OBJ_ID,ROW_ACT_IND,SRC,SRC_DT,VER_NBR
"_PEDSL","10","","B-MUSIC performance materials","1a8c4819-c4e2-4827-842b-f733dee9e56c","Y","IU SIRSI","120405120000","1"
"ARCHIVAL","11","","Archival material","7126c9e4-0e60-49fa-8773-5d0fbd007210","Y","IU SIRSI","120405120000","1"
"AUDIOCD","12","","Audio CD","98d7b517-9d2d-43f4-b0c0-e5ab8f6404f8","Y","IU SIRSI","120405120000","1"
"AUDIOTAPE","13","","Audio Tape","0d6e914f-0aae-47dd-91b2-4a2568fccea9","Y","IU SIRSI","120405120000","1"
"AV","14","","A-V material","40ad5615-7bb6-419f-8688-1340dc463f37","Y","IU SIRSI","120405120000","1"
"AV-EQUIP","15","","A-V equipment","38f30754-6b41-4109-a6c4-1aa7d55f6107","Y","IU SIRSI","120405120000","1"
"BOOK","16","","Book","773164cb-0c23-46b4-b1ce-cad42b717bd9","Y","IU SIRSI","120405120000","1"
"BROWSE","17","","Browsing Collection","7222fd95-1052-4e92-9da3-2f7151f04258","Y","IU SIRSI","120405120000","1"
"CARREL","18","","Carrel charge","8c0c3de6-ec9a-4b5f-8dc3-05f16ad6a5d9","Y","IU SIRSI","120405120000","1"
"CURRICULUM","19","","Curriculum material","adbe38ec-9a30-4f09-bf4c-c9f006283a02","Y","IU SIRSI","120405120000","1"
"_BMABROW-B","2","","B-WELLS bookable browsing collection","a2116fab-fea3-4e70-bc83-0d567637b4a3","Y","IU SIRSI","120405120000","1"
"DAY01","20","","1-day loan","46fb1665-c89f-43a3-b1b2-5e77af709c7e","Y","IU SIRSI","120405120000","1"
"DAY02","21","","2-day loan","179012fb-8662-4b3b-b626-39ba92f36c72","Y","IU SIRSI","120405120000","1"
"DAY03","22","","3-day loan","b6b1e314-4a55-4d6e-824d-587aeb74dbef","Y","IU SIRSI","120405120000","1"
"DAY04","23","","4-day loan","119e8dbd-ba34-40d9-b1f9-b67563b14774","Y","IU SIRSI","120405120000","1"
"DAY05","24","","5-day loan","d64b0680-f75f-4cd3-82ba-1b9a87340841","Y","IU SIRSI","120405120000","1"
"DAY07","25","","7-day loan","d8cec7d0-3080-49eb-a951-9edd0a9d706b","Y","IU SIRSI","120405120000","1"
"DAY07NR","26","","7-day loan (no renewal)","c9da0d27-b4c6-4ae5-8000-1af85ed6bf44","Y","IU SIRSI","120405120000","1"
"DAY14","27","","14-day loan","38798856-c83f-4dc5-9fc9-fa45d850d4f4","Y","IU SIRSI","120405120000","1"
"DAY21","28","","21-day loan","6005cdfd-a46f-415c-8c59-70fcba954206","Y","IU SIRSI","120405120000","1"
"DAY30","29","","30-day loan","295aa798-f790-4aa6-8701-6f3e399bfef8","Y","IU SIRSI","120405120000","1"
"_BMAICREF","3","","B-WELLS IC Reference materials","e279ef38-18c8-4031-a880-ebe64d218995","Y","IU SIRSI","120405120000","1"
"DAY30NR","30","","30-day loan (no renewal)","9c341264-eb5e-475a-9d4f-a10caf9c1daf","Y","IU SIRSI","120405120000","1"
"DAY42","31","","42-day loan","7ab3512e-b33b-4ca4-942a-3d3e82ca9850","Y","IU SIRSI","120405120000","1"
"EQUIPMENT","32","","Equipment","fc2da093-75f4-4870-8277-03e012af2e4b","Y","IU SIRSI","120405120000","1"
"HOUR02","33","","2-hour loan","0699234e-7f77-443a-9e54-0a53b23aa644","Y","IU SIRSI","120405120000","1"
"HOUR03","34","","3-hour loan","9e10d5f1-d37e-4b87-9880-7e00586ba090","Y","IU SIRSI","120405120000","1"
"HOUR04","35","","4-hour loan","12a29341-c460-4b91-a995-ef2bdc23632d","Y","IU SIRSI","120405120000","1"
"HOUR06","36","","6-hour loan","31076a14-1945-4799-8f5b-f5f64158bb25","Y","IU SIRSI","120405120000","1"
"HOUR24","37","","24-hour loan","b9750593-f21e-40d1-b056-c35a14ba85c5","Y","IU SIRSI","120405120000","1"
"ILL-BOOK","38","","Inter-library loan book","0947f1aa-50dd-443f-87ab-096599fbeea9","Y","IU SIRSI","120405120000","1"
"ILL-EXT","39","","Inter-library loan - external","bf6873f8-5027-42d3-b9dc-3055e6745e61","Y","IU SIRSI","120405120000","1"
"_BMAVID-B","4","","B-WELLS bookable vIDeos","6a1ac75e-1161-4f74-b460-81541a0308b1","Y","IU SIRSI","120405120000","1"
"ILL-IU","40","","Inter-library loan - internal","3ba1b752-1e24-4617-9aab-89ab9e9d90c5","Y","IU SIRSI","120405120000","1"
"IUNGRS","41","","IUPUI Guest Registration Services","c889aed2-8aad-41f5-a95b-d5cc47409988","Y","IU SIRSI","120405120000","1"
"KEYS","42","","Keys","d44e4772-662c-466b-8847-527dc2d44868","Y","IU SIRSI","120405120000","1"
"KEYS-ELEV","43","","Elevator Keys","a3bc5bae-9403-4701-b629-00dfb23ab547","Y","IU SIRSI","120405120000","1"
"MAGAZINE","44","","Magazine","082fd352-7d32-406f-ae49-42ffd5b9097b","Y","IU SIRSI","120405120000","1"
"MICRO","45","","Microform","68f47ce2-203d-40a1-a419-2fa26610a249","Y","IU SIRSI","120405120000","1"
"NEW-BOOK","46","","New books","85b2a7ef-0525-49b0-b669-8524e1a72ea6","Y","IU SIRSI","120405120000","1"
"NEWSPAPER","47","","Newspaper","b36c2893-9f61-48be-9887-dfc4901faf66","Y","IU SIRSI","120405120000","1"
"NONCIRC","48","","Noncirculating item","ce8fb2f0-a1b8-43a3-94ec-8e085c90d939","Y","IU SIRSI","120405120000","1"
"NORMAL","49","","Normal loan","036b6259-f82c-4125-8fb1-e0016260f555","Y","IU SIRSI","120405120000","1"
"_CICSPR","5","","CIC Shared Print Repository","938ef467-b338-47ea-ba23-4ab0184475b6","Y","IU SIRSI","120405120000","1"
"PERIOD","50","","Periodical","442cfdfc-7d36-4cff-929c-8801e6263c20","Y","IU SIRSI","120405120000","1"
"RESTRICT","51","","Restricted loan","e353d4fa-bfea-482b-8098-bdc1f6ab20ed","Y","IU SIRSI","120405120000","1"
"UNKNOWN","52","","Unknown","2cb567c1-314b-431e-affa-1ea34a7a0141","Y","IU SIRSI","120405120000","1"
"_COLVIDB07","6","","Columbus Bookable vIDeo collection 7-day loan","b2aa2e8e-acbf-420b-b0c1-a7c1f1a2fc7f","Y","IU SIRSI","120405120000","1"
"_COLVIDB14","7","","Columbus Bookable vIDeo collection 14-day loan","2cffcd3a-c58a-44a8-975f-ccb7c2b0e99f","Y","IU SIRSI","120405120000","1"
"_KOMCN-D14","8","","Kokomo McNaughton 14-day loan","c7575b30-7da4-49b8-aa6d-69902f6fff20","Y","IU SIRSI","120405120000","1"
"_M2M3","9","","B-MUSIC m2m3","507cf1da-b9c8-4d3c-89c9-0b942554a7f6","Y","IU SIRSI","120405120000","1"
"PALCI","53","","PALCI","PALCI111","Y","PALCI","120405120000","1"
"API","54","","API","API111","Y","API","120405120000","1"
