BNK_CD,OBJ_ID,VER_NBR,BNK_NM,BNK_SHRT_NM,BNK_RTNG_NBR,ROW_ACTV_IND,BNK_ACCT_NBR,BNK_ACCT_DESC,CSH_OFST_FIN_COA_CD,CSH_OFST_ACCT_NBR,CSH_OFST_SUB_ACCT_NBR,CSH_OFST_OBJ_CD,CSH_OFST_SUB_OBJ_CD,CONT_BNK_CD,BNK_DPST_IND,BNK_DISB_IND,BNK_ACH_IND,BNK_CHK_IND
0001,684207EF61A57565E0404F8189D81EBF,1,UA Depository Account,UA Bank 1,111111111,Y,1N7hv99/CqI=,UA Bank 1 Depository Account,UA,1000000,null,8006,null,null,Y,Y,N,N
0002,684207EF61A67565E0404F8189D81EBF,1,UA Computer Checks,UA Bank 2,222222222,Y,b31JPNj45atex9TeFJY2Gg==,UA Bank 2 Computer Checks,UA,1100000,null,8006,null,null,N,Y,N,Y
0013,684207EF61A77565E0404F8189D81EBF,1,UA Outgoing ACH,UA Bank 13,333333333,Y,b31JPNj45as/i2rh3or6lQ==,UA Bank 13 Outgoing ACH,UA,1300000,null,8006,null,null,N,Y,Y,N
1003,5814167C-5747-DA1D-2BE1-BDB976F10C81,1,TEST,null,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
1004,CCA09AA5-54D6-CB10-3917-6178EE02954E,1,TEST SAVE SAVE AGAIN,null,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
1009,7071A270-3E40-C46B-D5FA-8CCF4894B62F,1,TEST SAVE ROUTE TWO,null,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
1010,F46D4FA9-7173-C969-8E60-F0C7F626FDDA,1,TEST SAVE ROUTE,null,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
FIVE,2BDFC9CB-DDC0-B1C5-25ED-2D3238F21488,1,FIFTH BANK,5TH BANK,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
FOUR,5AA8F289-AD6C-264F-D3E3-3EC986E84755,1,FOURTH ONE,MFOURTH BANK,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
IJKL,72C64344-CAE7-0AE8-EA99-84866826DE9F,1,THIRD BANK HOPE THIS WORKS,TBHTW,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
T13,61A6FA28-360D-AE74-82E9-1E468D9912EF,1,TEST BANK 13,TEST13,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
TEST,04BEEE32937279FEE043814FD88179FE,1,FIRST NATIONAL TEST BANK OF KUALI,TEST BANK,3333333,Y,3JQZbNFD6os=,null,UA,9323000,null,8005,null,1003,Y,Y,Y,Y
TST6,645526B4-1E05-FBD1-5DF3-D2E206D2A950,1,TEST 6 BANK NAME,TEST6 SHORT,3333333,Y,3JQZbNFD6os=,null,UA,9323001,null,8015,null,1003,Y,Y,Y,Y
