TAX_REGION_CD,TAX_RATE_EFFECTIVE_DT,OBJ_ID,VER_NBR,TAX_RATE
05PERCNTY,080701000000,5ACF22CFC6094AB0E0404F8189D87AB9,1,0.05
1,080701000000,5ACF22CFC6044AB0E0404F8189D87AB9,1,0.005
10,080701000000,5ACF22CFC60D4AB0E0404F8189D87AB9,1,0.1721
11,080701000000,5ACF22CFC60E4AB0E0404F8189D87AB9,1,0.25
12,080701000000,5ACF22CFC60F4AB0E0404F8189D87AB9,1,0.07
13,080701000000,5ACF22CFC6104AB0E0404F8189D87AB9,1,0.15
14,080701000000,5ACF22CFC6114AB0E0404F8189D87AB9,1,0.2
15,080701000000,6B64AB2CF6079938E0404F8189D824B6,1,0.0025
2,020101000000,5ACF22CFC6054AB0E0404F8189D87AB9,1,0.0825
3,080701000000,5ACF22CFC6064AB0E0404F8189D87AB9,1,0.015
4,080701000000,5ACF22CFC6074AB0E0404F8189D87AB9,1,0.01
5,080701000000,5ACF22CFC6084AB0E0404F8189D87AB9,1,0.56
7,080701000000,5ACF22CFC60A4AB0E0404F8189D87AB9,1,0.2
8,080701000000,5ACF22CFC60B4AB0E0404F8189D87AB9,1,0.175
9,080701000000,5ACF22CFC60C4AB0E0404F8189D87AB9,1,0.1125
