UNIV_FISCAL_YR,FIN_COA_CD,ACCOUNT_NBR,SUB_ACCT_NBR,FIN_OBJECT_CD,FIN_SUB_OBJ_CD,CURR_BDLN_BAL_AMT,ACLN_ACTLS_BAL_AMT,ACLN_ENCUM_BAL_AMT,TIMESTAMP
2014,BL,2947430,-----,7112,---,20000,0,0,111006222100
2014,BL,2947430,-----,7115,---,20000,0,0,111006222100
2014,BL,2947430,-----,7122,---,20000,0,0,111006222100
2014,BL,2947430,-----,7125,---,20000,0,0,111006222100
2014,BL,2947482,-----,7112,---,20000,0,0,111006222100
2014,BL,2947482,-----,7115,---,20000,0,0,111006222100
2014,BL,2947482,-----,7122,---,20000,0,0,111006222100
2014,BL,2947482,-----,7125,---,20000,0,0,111006222100
2014,BL,2947483,-----,7112,---,20000,0,0,111006222100
2014,BL,2947483,-----,7115,---,20000,0,0,111006222100
2014,BL,2947483,-----,7122,---,20000,0,0,111006222100
2014,BL,2947483,-----,7125,---,20000,0,0,111006222100
2014,BL,2947485,-----,7112,---,20000,0,0,111006222100
2014,BL,2947485,-----,7115,---,20000,0,0,111006222100
2014,BL,2947485,-----,7122,---,20000,0,0,111006222100
2014,BL,2947485,-----,7125,---,20000,0,0,111006222100
2014,BL,2947486,-----,7112,---,20000,0,0,111006222100
2014,BL,2947486,-----,7115,---,20000,0,0,111006222100
2014,BL,2947486,-----,7122,---,20000,0,0,111006222100
2014,BL,2947486,-----,7125,---,20000,0,0,111006222100
2014,BL,2947487,-----,7112,---,20000,0,0,111006222100
2014,BL,2947487,-----,7115,---,20000,0,0,111006222100
2014,BL,2947487,-----,7122,---,20000,0,0,111006222100
2014,BL,2947487,-----,7125,---,20000,0,0,111006222100
2014,BL,2947488,-----,7112,---,20000,0,0,111006222100
2014,BL,2947488,-----,7115,---,20000,0,0,111006222100
2014,BL,2947488,-----,7122,---,20000,0,0,111006222100
2014,BL,2947488,-----,7125,---,20000,0,0,111006222100
2014,BL,2947489,-----,7112,---,20000,0,0,111006222100
2014,BL,2947489,-----,7115,---,20000,0,0,111006222100
2014,BL,2947489,-----,7122,---,20000,0,0,111006222100
2014,BL,2947489,-----,7125,---,20000,0,0,111006222100
2014,BL,2947490,-----,7112,---,20000,0,0,111006222100
2014,BL,2947490,-----,7115,---,20000,0,0,111006222100
2014,BL,2947490,-----,7122,---,20000,0,0,111006222100
2014,BL,2947490,-----,7125,---,20000,0,0,111006222100
2014,BL,2947491,-----,7112,---,20000,0,0,111006222100
2014,BL,2947491,-----,7115,---,20000,0,0,111006222100
2014,BL,2947491,-----,7122,---,20000,0,0,111006222100
2014,BL,2947491,-----,7125,---,20000,0,0,111006222100
2014,BL,2947492,-----,7112,---,20000,0,0,111006222100
2014,BL,2947492,-----,7115,---,20000,0,0,111006222100
2014,BL,2947492,-----,7122,---,20000,0,0,111006222100
2014,BL,2947492,-----,7125,---,20000,0,0,111006222100
2014,BL,2947493,-----,7112,---,20000,0,0,111006222100
2014,BL,2947493,-----,7115,---,20000,0,0,111006222100
2014,BL,2947493,-----,7122,---,20000,0,0,111006222100
2014,BL,2947493,-----,7125,---,20000,0,0,111006222100
2014,BL,2947494,-----,7112,---,20000,0,0,111006222100
2014,BL,2947494,-----,7115,---,20000,0,0,111006222100
2014,BL,2947494,-----,7122,---,20000,0,0,111006222100
2014,BL,2947494,-----,7125,---,20000,0,0,111006222100
2014,BL,2947495,-----,7112,---,20000,0,0,111006222100
2014,BL,2947495,-----,7115,---,20000,0,0,111006222100
2014,BL,2947495,-----,7122,---,20000,0,0,111006222100
2014,BL,2947495,-----,7125,---,20000,0,0,111006222100
2014,BL,2947496,-----,7112,---,20000,0,0,111006222100
2014,BL,2947496,-----,7115,---,20000,0,0,111006222100
2014,BL,2947496,-----,7122,---,20000,0,0,111006222100
2014,BL,2947496,-----,7125,---,20000,0,0,111006222100
2014,BL,2947497,-----,7112,---,20000,0,0,111006222100
2014,BL,2947497,-----,7115,---,20000,0,0,111006222100
2014,BL,2947497,-----,7122,---,20000,0,0,111006222100
2014,BL,2947497,-----,7125,---,20000,0,0,111006222100
2015,BL,2947430,-----,7112,---,20000,0,0,111006222100
2015,BL,2947430,-----,7115,---,20000,0,0,111006222100
2015,BL,2947430,-----,7122,---,20000,0,0,111006222100
2015,BL,2947430,-----,7125,---,20000,0,0,111006222100
2015,BL,2947482,-----,7112,---,20000,0,0,111006222100
2015,BL,2947482,-----,7115,---,20000,0,0,111006222100
2015,BL,2947482,-----,7122,---,20000,0,0,111006222100
2015,BL,2947482,-----,7125,---,20000,0,0,111006222100
2015,BL,2947483,-----,7112,---,20000,0,0,111006222100
2015,BL,2947483,-----,7115,---,20000,0,0,111006222100
2015,BL,2947483,-----,7122,---,20000,0,0,111006222100
2015,BL,2947483,-----,7125,---,20000,0,0,111006222100
2015,BL,2947485,-----,7112,---,20000,0,0,111006222100
2015,BL,2947485,-----,7115,---,20000,0,0,111006222100
2015,BL,2947485,-----,7122,---,20000,0,0,111006222100
2015,BL,2947485,-----,7125,---,20000,0,0,111006222100
2015,BL,2947486,-----,7112,---,20000,0,0,111006222100
2015,BL,2947486,-----,7115,---,20000,0,0,111006222100
2015,BL,2947486,-----,7122,---,20000,0,0,111006222100
2015,BL,2947486,-----,7125,---,20000,0,0,111006222100
2015,BL,2947487,-----,7112,---,20000,0,0,111006222100
2015,BL,2947487,-----,7115,---,20000,0,0,111006222100
2015,BL,2947487,-----,7122,---,20000,0,0,111006222100
2015,BL,2947487,-----,7125,---,20000,0,0,111006222100
2015,BL,2947488,-----,7112,---,20000,0,0,111006222100
2015,BL,2947488,-----,7115,---,20000,0,0,111006222100
2015,BL,2947488,-----,7122,---,20000,0,0,111006222100
2015,BL,2947488,-----,7125,---,20000,0,0,111006222100
2015,BL,2947489,-----,7112,---,20000,0,0,111006222100
2015,BL,2947489,-----,7115,---,20000,0,0,111006222100
2015,BL,2947489,-----,7122,---,20000,0,0,111006222100
2015,BL,2947489,-----,7125,---,20000,0,0,111006222100
2015,BL,2947490,-----,7112,---,20000,0,0,111006222100
2015,BL,2947490,-----,7115,---,20000,0,0,111006222100
2015,BL,2947490,-----,7122,---,20000,0,0,111006222100
2015,BL,2947490,-----,7125,---,20000,0,0,111006222100
2015,BL,2947491,-----,7112,---,20000,0,0,111006222100
2015,BL,2947491,-----,7115,---,20000,0,0,111006222100
2015,BL,2947491,-----,7122,---,20000,0,0,111006222100
2015,BL,2947491,-----,7125,---,20000,0,0,111006222100
2015,BL,2947492,-----,7112,---,20000,0,0,111006222100
2015,BL,2947492,-----,7115,---,20000,0,0,111006222100
2015,BL,2947492,-----,7122,---,20000,0,0,111006222100
2015,BL,2947492,-----,7125,---,20000,0,0,111006222100
2015,BL,2947493,-----,7112,---,20000,0,0,111006222100
2015,BL,2947493,-----,7115,---,20000,0,0,111006222100
2015,BL,2947493,-----,7122,---,20000,0,0,111006222100
2015,BL,2947493,-----,7125,---,20000,0,0,111006222100
