UNIV_FISCAL_YR,FIN_COA_CD,FDOC_TYP_CD,FIN_BALANCE_TYP_CD,OBJ_ID,VER_NBR,FIN_OBJECT_CD
2014,BA,OLE_YELA,AC,3d19203d-c3e4-416c-b501-e887982eb052,1,8000
2014,BA,OLE_YEST,AC,952be9f4-c99f-44f6-91ce-d26ea787d84d,1,8000
2014,BA,OLE_YETF,AC,c1116880-cef1-4f1b-b350-166eb4a55f9c,1,8000
2014,BL,OLE_AA,AC,5285b92a-2d53-46d7-9da4-4ec15bbb8f36,1,8000
2014,BL,OLE_ACHC,AC,232ff412-029e-4648-a8e1-4d639d07487a,1,8000
2014,BL,OLE_ACHD,AC,32b417bd-1f37-43cd-9683-e939f87643f6,1,8000
2014,BL,OLE_ACHR,AC,83d494ff-515f-4dda-8cee-24e57cc3bf9d,1,8000
2014,BL,OLE_ACLO,AC,ac1fc089-7c1c-46d8-95f9-025ecf83193c,1,9899
2014,BL,OLE_AD,AC,95ce4c8d-44d2-47cc-b571-bce86691e972,1,8000
2014,BL,OLE_APP,AC,b8d0d484-4fdc-4ed7-9a48-76f7b9b47d0a,1,8000
2014,BL,OLE_ARBL,AC,ec432372-0abd-4f6d-acde-dcf2628fd695,1,8000
2014,BL,OLE_ARCM,AC,3a3c97c8-df20-41b7-9021-4af14b6f9977,1,9899
2014,BL,OLE_ARG,AC,33dcfd7b-4b01-4229-8570-1709c75c7198,1,9899
2014,BL,OLE_ARIN,AC,6038b2df-a795-467a-8c87-9cb87f9a52ad,1,9899
2014,BL,OLE_ARNI,AC,9e2ba9cd-1181-47e0-8e64-2d4f05470cd7,1,9899
2014,BL,OLE_ARPY,AC,19ab112d-fb21-4715-9b9c-992dd162a47d,1,9899
2014,BL,OLE_AT,AC,d90007ce-62b7-4034-a311-92a2ef1144ff,1,9899
2014,BL,OLE_AV,AC,83418f81-4956-476a-b849-0334c4114d4d,1,9897
2014,BL,OLE_AVAC,AC,bb44a0d6-2235-4ea2-b1b6-0eb95e6d1758,1,9899
2014,BL,OLE_AVAD,AC,f33d6ef4-ba71-48e1-85d8-e4691b68650e,1,9897
2014,BL,OLE_AVAE,AC,4b7fdd79-144c-4b83-861d-1c1401146f56,1,9897
2014,BL,OLE_AVRC,AC,5b0fe28e-4b40-42cb-8c65-ef7e9d1d15b7,1,9897
2014,BL,OLE_BA,AC,a659ab3c-c4c3-44b3-84de-73dde2ef8f14,1,8000
2014,BL,OLE_BACH,AC,f36c1f22-6b98-43bd-b9c7-71396b2ae280,1,8000
2014,BL,OLE_BARS,AC,8d59f16a-a4db-4ee3-af48-530c53f5ee8c,1,8000
2014,BL,OLE_BRET,AC,13597cb3-2fd3-4e89-8509-77f68669d84b,1,8000
2014,BL,OLE_BT,AC,0b4007c6-1e14-44a5-82bb-5d79f084d336,1,8000
2014,BL,OLE_CCAD,AC,06714a91-0e67-4bbc-9631-9b45a0f199ee,1,8000
2014,BL,OLE_CCCH,AC,527d054f-dd5c-4903-97cf-3c736c5e5803,1,8000
2014,BL,OLE_CCR,AC,2f28b091-a084-4710-9b6d-5bf875e5a123,1,8000
2014,BL,OLE_CD,AC,29b20779-beb7-499d-8bc1-da8b98d8bfc6,1,8000
2014,BL,OLE_CHKC,AC,c2b74182-657a-4514-a306-d60fcad69e0d,1,8000
2014,BL,OLE_CHKD,AC,88ad3cbf-17a4-41c9-84e3-d52f27df38a6,1,8000
2014,BL,OLE_CHKR,AC,f3ce4f9e-7b2b-4b64-8520-89b337acec57,1,8000
2014,BL,OLE_CM,AC,c4eb4bc8-bb04-4680-912c-440c1edd9b36,1,8000
2014,BL,OLE_CM,CE,1e732212-9319-4da5-9f99-31ca6e6dacc5,1,9893
2014,BL,OLE_CM,EX,c7a42bb5-17e9-47e3-96bd-188b67dbd466,1,9892
2014,BL,OLE_CMD,AC,705ff359-12ab-46e6-9a9a-7e6b69806d6a,1,8000
2014,BL,OLE_CR,AC,6e316d13-8cda-4a68-8cb4-5a997a9bce55,1,8000
2014,BL,OLE_CRM,AC,a7661fc9-7c7d-4231-843f-b834b8cdfc4e,1,8118
2014,BL,OLE_CRV,AC,3e0da63d-4662-46ef-8a0f-b46c739f0fe1,1,8000
