LOCN_ID,OBJ_ID,VER_NBR,LOCN_CD,LOCN_NAME,LEVEL_ID,PARENT_LOCN_ID
1,1,1,B-EDUC,Blmgtn - Education Library,3,null
10,10,1,FORD,Ford Library,3,null
11,11,1,LILLY,Lilly Library,3,null
12,12,1,PERKN,Perkins/Bostock Library,3,null
13,13,1,PK,Stacks,5,12
14,14,1,PKM1,Microforms Microfiche,5,12
15,15,1,PLI,Stacks,5,11
16,16,1,PLV1,A-V DVD,5,11
17,17,1,FRD,Stacks,5,10
18,18,1,FRDOS,Library Service Center,5,null
19,19,1,UC,University of Chicago,1,null
2,2,1,B-HPER,Blmgtn - Public Health Library,3,null
20,20,1,DLL,D&apos;Angelo Law,3,19
21,21,1,JCL,Crerar,3,19
22,22,1,JRL,Regenstein,3,19
23,23,1,Gen,Regenstein  Bookstacks,5,22
24,24,1,Film,Regenstein  2nd and 3rd Floor Video/DVD Collection,5,22
25,25,1,JRLRES,Regenstein  1st Floor Reserve Desk,5,22
26,26,1,SciLg,Crerar  Bookstacks  Oversize,5,21
27,27,1,SciDDC,Crerar  Dewey Collection,5,21
28,28,1,Sci,Crerar  Bookstacks,5,21
29,29,1,Law,D&apos;Angelo Law  Bookstacks,5,20
3,3,1,B-BUSSPEA,Blmgtn - Business/SPEA Information Commons,3,null
30,30,1,LawPer,D&apos;Angelo Law,5,20
31,31,1,LawRes,D&apos;Angelo Law Reserve Room,5,20
4,4,1,BED-TEACHMAT,Blmgtn - Education Library - Teaching Materials,5,1
5,5,1,BED-STACKS,Blmgtn - Education Library - Stacks,5,1
6,6,1,BHP-JOURNALS,Blmgtn - Public Health Library - Journals,5,2
7,7,1,BHP-DRAK,Blmgtn - Public Health Library - Drake Cookbook Collection,5,2
8,8,1,BSP-REF,Blmgtn - Business/SPEA Information Commons - Reference,5,3
9,9,1,BSP-RES,Blmgtn - Business/SPEA Information Commons - Reserves,5,3
32,32,1,PALCI,PALCI,5,null
33,33,1,API,API,5,null
728,96b3a98a-cf4b-459a-b653-2fecf3caf8df,1,LRES,Reserves,5,706
729,8614c2ff-d663-462b-9e08-d6d26779f7b6,1,LNCAL,NC Alcove,5,706
730,9e846a7d-db91-4872-9260-026b0d868ae8,1,LLRD,Leisure Reading,5,706
731,4cb664ce-f00b-453d-9b95-a1a699fc3eff,1,LRARE,Rare Books,5,706
732,be303ca2-971a-4cc1-a5ca-8f36ab0f5caf,1,LSSTX,Superseded Tax,5,706
733,d904be56-3e96-44ca-947e-7138a08e1ab3,1,LFDAI,Federal Alcove (III),5,706
734,e1a2fb8b-6e18-484b-9bc8-9035330bf6de,1,LFDAL,Federal Alcove,5,706
735,106c4f34-e795-4e49-8853-405e49d32e31,1,LSCOI,State Codes (Level 3),5,706
736,9377b39a-b612-4cb5-9a56-e1f5cd59716d,1,LRA1,Rare Books  Level 1,5,706
737,ab8f9b59-d50d-4e82-bc13-bb5a58f5d1b7,1,LFAC,Faculty Collection,5,706
738,c5d1beb7-6595-40ab-aa34-41fa76e23020,1,LLFI,Looseleaf (III),5,706
739,0e2f317b-d11d-412e-851a-e38c82a87ec8,1,SCL,Rubenstein Library,3,null
740,1cfc11bc-61ec-49ec-bbea-496af01754a4,1,PRSB,Library Service Center  Rare Books (Reading Room only),5,739
741,72f8566a-e752-4860-9233-93e2557e11d7,1,PRSMS,Library Service Center  Manuscripts (Reading Room only),5,739
742,b0f4e554-5f4d-44f1-900d-7f5ccae0436d,1,PR,Rubenstein Library,5,739
743,e46cbef9-cbc9-449c-a46c-3ce255be6ee9,1,PRSH,Library Service Center  Pamphlets,5,739
744,8d9885f0-13eb-48b0-a6cb-26b6151a742c,1,PRB,Rare Books,5,739
745,05f199ae-d9da-43fd-a003-0af8161ba787,1,PRSZL,Library Service Center  History of Medicine Locked Stacks,5,739
746,d94b69e9-2735-40cb-a45f-70f60d170168,1,PRMS,Manuscripts,5,739
747,1bd91647-e70c-4309-a646-da86917dac47,1,PRSZP,Library Service Center  History of Medicine Journals,5,739
748,03922b03-e808-480e-a2da-b209f702ce87,1,PRSN,Library Service Center  Newspapers,5,739
749,ed8b3273-61c3-4cb7-9d9a-4a2248697cb3,1,PRSZ3,Library Service Center  History of Medicine Ephemera,5,739
750,c18adb00-a023-46a0-8281-dceedbc9d6ef,1,PRDPI,Duke Press Books,5,739
751,76633a84-dcb1-43e9-884a-508a44c51e76,1,PRSZQ,Library Service Center  History of Medicine Locked Stacks Group qll,5,739
752,7fe35008-fb6b-43cb-bf5c-bfb362a22b22,1,PRH,Pamphlets,5,739
753,66ed4acf-520f-4b53-b94b-0d3d71e09425,1,PRL,Vault,5,739
754,366163fc-062c-40c1-92f1-6f445c177ed3,1,PRR,Reference,5,739
755,c45619d1-6a02-448d-b565-c8bba366019c,1,DOCS,Perkins Public Documents/Maps,3,null
756,b3b865d0-87b6-4a82-915e-ac24eddf174c,1,PGS,US Documents,5,755
757,82b7155a-badc-4c00-9bc8-bf1d7e646da0,1,PGSM,US Documents Microform,5,755
758,418fbd2d-79f9-4ce6-9f10-b4b6b1037bdf,1,PSGL,Perkins Documents Rare Documents: Lib Service Ctr,5,755
759,f929b53e-3f51-4e67-b7a2-2bee67761d18,1,PGD,Maps,5,755
760,b76390e0-a696-4295-8355-6cbfc6836202,1,PGN,UN Documents,5,755
761,4566bfc1-5af9-4a75-b076-fa262a4792ef,1,PGEM,NC Documents Microfiche,5,755
762,99cc2654-17e4-4102-962e-787b9aa62dd8,1,PGH,Pamphlet Collection,5,755
763,6ff9da46-c3c1-429e-b914-bf7ac27d935d,1,PGM,Microforms,5,755
764,a8e7f967-9d7c-4144-978c-da2d06fd6ac6,1,PGER,Census Reference,5,755
765,565457bc-6aac-47d0-a575-5d91f02340bd,1,PGSC,US Documents CD-ROM,5,755
766,f5ae8696-d79b-4061-92b0-b646db6f474c,1,PGNL,League of Nations,5,755
767,13418def-23c7-4495-a4bb-012afd07bf62,1,DIV,Divinity School Library,3,null
768,011d2cf0-c511-4df6-a8c8-ec5de6f2806a,1,PD,Stacks,5,767
769,644e8db0-a8e8-48b3-96d8-0ba3cb405cd8,1,PDU,Stacks,5,767
770,a2f75718-abd1-4c31-915c-35563230845b,1,PDM,Microforms,5,767
771,c09a1697-9b90-40d9-b8b6-048703ddbebf,1,PDPI,Current Periodicals,5,767
772,950e2f5d-e7e0-44ea-b618-1054b51a306b,1,PDR,Reference,5,767
773,f1e2e9e0-94eb-40f6-acf6-6f4d55a2a0dd,1,PDQ,Stacks,5,767
774,07153eae-e476-46fe-ae00-f9cfb2504d51,1,PDRQ,Reference Quarto,5,767
775,34508cc7-a098-4d44-bff2-fcb860501bcc,1,PLP,Periodicals,5,11
776,59baa7a4-f0ae-41f4-81cc-981c4b852d9b,1,PLR,Reference,5,11
777,cf810f05-76e7-4188-9cbb-9b7ab10392d5,1,PLL2,Locked Stacks,5,11
