PPL_FLW_MBR_ID,PPL_FLW_ID,MBR_TYP_CD,MBR_ID,PRIO,VER_NBR,ACTN_RQST_PLCY_CD,RSP_ID
OLE10000,OLE10000,R,OLE10054,1,1,A,OLE10001
OLE10001,OLE10000,R,OLE10052,2,1,F,OLE10002
OLE10002,OLE10000,R,OLE10051,3,1,A,OLE10003
OLE10003,OLE10000,R,OLE10055,5,1,A,OLE10005
OLE10004,OLE10001,R,OLE10051,1,1,A,OLE10006
OLE10005,OLE10001,R,OLE10052,2,1,F,OLE10007
OLE10006,OLE10002,R,OLE10054,1,1,A,OLE10008
OLE10007,OLE10002,R,OLE10052,2,1,F,OLE10009
OLE10008,OLE10003,R,OLE10055,5,1,A,OLE10010
OLE10009,OLE10004,R,OLE10054,1,1,A,OLE10011
OLE10010,OLE10004,R,OLE10052,2,1,F,OLE10012
OLE10011,OLE10004,R,OLE10051,3,1,A,OLE10013
OLE10012,OLE10004,R,OLE10055,5,1,A,OLE10014
OLE10013,OLE10005,R,OLE10054,1,1,A,OLE10015
OLE10014,OLE10005,R,OLE10051,3,1,A,OLE10016
OLE10015,OLE10005,R,OLE10055,5,1,A,OLE10017
OLE10016,OLE10006,R,OLE10060,1,1,F,OLE10001
OLE10017,OLE10007,R,OLE10066,5,1,F,OLE10018
OLE10018,OLE10008,R,OLE10069,1,1,F,OLE10019
