OLE_VNDR_ACC_INFO_ID,VNDR_REF_NUMBER,ACC_NUM,OBJ_CD,ROW_ACT_IND,OBJ_ID,VER_NBR
1,43,2947430,7112,Y,c160dfc4-7afd-4494-94e2-efebc0f09ad6,1
10,35,2947488,7112,Y,c100dfc4-7afd-4494-94e2-efebc0f09ad6,1
11,95,2947498,7112,Y,c090dfc4-7afd-4494-94e2-efebc0f09ad6,1
12,21,2947487,7112,Y,c080dfc4-7afd-4494-94e2-efebc0f09ad6,1
13,37,2947489,7112,Y,c070dfc4-7afd-4494-94e2-efebc0f09ad6,1
14,27,2947482,7112,Y,c060dfc4-7afd-4494-94e2-efebc0f09ad6,1
15,50,2947490,7112,Y,c050dfc4-7afd-4494-94e2-efebc0f09ad6,1
16,53,2947492,7112,Y,c040dfc4-7afd-4494-94e2-efebc0f09ad6,1
17,51,2947491,7112,Y,c030dfc4-7afd-4494-94e2-efebc0f09ad6,1
18,86,2947495,7112,Y,c020dfc4-7afd-4494-94e2-efebc0f09ad6,1
2,13,2947430,7112,Y,c190dfc4-7afd-4494-94e2-efebc0f09ad6,1
3,74,2947499,7112,Y,c180dfc4-7afd-4494-94e2-efebc0f09ad6,1
4,98,2947499,7112,Y,c170dfc4-7afd-4494-94e2-efebc0f09ad6,1
5,65,2947494,7112,Y,c150dfc4-7afd-4494-94e2-efebc0f09ad6,1
6,19,2947486,7112,Y,c140dfc4-7afd-4494-94e2-efebc0f09ad6,1
7,64,2947493,7112,Y,c130dfc4-7afd-4494-94e2-efebc0f09ad6,1
8,93,2947496,7112,Y,c120dfc4-7afd-4494-94e2-efebc0f09ad6,1
9,94,2947497,7112,Y,c110dfc4-7afd-4494-94e2-efebc0f09ad6,1
