ENTITY_AFLTN_ID,OBJ_ID,ENTITY_ID,AFLTN_TYP_CD,CAMPUS_CD,DFLT_IND,ACTV_IND
OLE1000,OLE1000,OLE1000,STAFF,IN,Y,Y
OLE1001,OLE1001,OLE1001,STAFF,BL,Y,Y
OLE1002,OLE1002,OLE1002,STAFF,IN,Y,Y
OLE1003,OLE1003,OLE1003,STAFF,IN,Y,Y
OLE1004,OLE1004,OLE1004,STAFF,IN,Y,Y
OLE1005,OLE1005,OLE1005,STAFF,BL,Y,Y
OLE1006,OLE1006,OLE1006,STAFF,BL,Y,Y
OLE1007,OLE1007,OLE1007,STAFF,BL,Y,Y
OLE1008,OLE1008,OLE1008,STAFF,BL,Y,Y
OLE1009,OLE1009,OLE1009,STAFF,BL,Y,Y
OLE1010,OLE1010,OLE1010,STAFF,BL,Y,Y
OLE1011,OLE1011,OLE1011,STAFF,BL,Y,Y
OLE1012,OLE1012,OLE1012,STAFF,BL,Y,Y
OLE1013,OLE1013,OLE1013,STAFF,BL,Y,Y
OLE1014,OLE1014,OLE1014,STAFF,BL,Y,Y
OLE1015,OLE1015,OLE1015,STAFF,BL,Y,Y
OLE1016,OLE1016,OLE1016,STAFF,BL,Y,Y
OLE1017,OLE1017,OLE1017,STAFF,BL,Y,Y
OLE1018,OLE1018,OLE1018,STAFF,BL,Y,Y
OLE1019,OLE1019,OLE1019,STAFF,BL,Y,Y
OLE1020,OLE1020,OLE1020,STAFF,BL,Y,Y
OLE1021,OLE1021,OLE1021,STAFF,BL,Y,Y
OLE1022,OLE1022,OLE1022,STAFF,BL,Y,Y
OLE1023,OLE1023,OLE1023,STAFF,BL,Y,Y
OLE1024,OLE1024,OLE1024,STAFF,BL,Y,Y
OLE1025,OLE1025,OLE1025,STAFF,BL,Y,Y
OLE1026,OLE1026,OLE1026,STAFF,BL,Y,Y
OLE1027,OLE1027,OLE1027,STAFF,BL,Y,Y
OLE1028,OLE1028,OLE1028,STAFF,BL,Y,Y
OLE1029,OLE1029,OLE1029,STAFF,BL,Y,Y
OLE1030,OLE1030,OLE1030,STAFF,BL,Y,Y
OLE1031,OLE1031,OLE1031,STAFF,BL,Y,Y
OLE1032,OLE1032,OLE1032,STAFF,BL,Y,Y
OLE1033,OLE1033,OLE1033,STAFF,BL,Y,Y
OLE1035,OLE1035,OLE1035,STAFF,BL,Y,Y
OLE1036,OLE1036,OLE1036,STAFF,BL,Y,Y
OLE1037,OLE1037,OLE1037,STAFF,BL,Y,Y
OLE1038,OLE1038,OLE1038,STAFF,BL,Y,Y
OLE1039,OLE1039,OLE1039,STAFF,BL,Y,Y
OLE1040,OLE1040,OLE1040,STAFF,BL,Y,Y
OLE1041,OLE1041,OLE1041,STAFF,BL,Y,Y
OLE1042,OLE1042,OLE1042,STAFF,BL,Y,Y
OLE1043,OLE1043,OLE1043,STAFF,BL,Y,Y
OLE1044,OLE1044,OLE1044,STAFF,BL,Y,Y
OLE1045,OLE1045,OLE1045,STAFF,BL,Y,Y
OLE1046,OLE1046,OLE1046,STAFF,BL,Y,Y
OLE1047,OLE1047,OLE1047,STAFF,BL,Y,Y
OLE1048,OLE1048,OLE1048,STAFF,BL,Y,Y
OLE1049,OLE1049,OLE1049,STAFF,BL,Y,Y
OLE1050,OLE1050,OLE1050,STAFF,BL,Y,Y
OLE1052,OLE1052,OLE1052,STAFF,BL,Y,Y
OLE1053,OLE1053,OLE1053,STAFF,BL,Y,Y
OLE1054,OLE1054,OLE1054,STAFF,BL,Y,Y
OLE1055,OLE1055,OLE1055,STAFF,BL,Y,Y
OLE1056,OLE1056,OLE1056,STAFF,BL,Y,Y
OLE1057,OLE1057,OLE1057,STAFF,BL,Y,Y
OLE1058,OLE1058,OLE1058,STAFF,BL,Y,Y
OLE1059,OLE1059,OLE1059,STAFF,BL,Y,Y
OLE1060,OLE1060,OLE1060,STAFF,BL,Y,Y
OLE1061,OLE1061,OLE1061,STAFF,BL,Y,Y
OLE1062,OLE1062,OLE1062,STAFF,BL,Y,Y
OLE1063,OLE1063,OLE1063,STAFF,BL,Y,Y
OLE1064,OLE1064,OLE1064,STAFF,BL,Y,Y
OLE1065,OLE1065,OLE1065,STAFF,BL,Y,Y
OLE1066,OLE1066,OLE1066,STAFF,BL,Y,Y
OLE1067,OLE1067,OLE1067,STAFF,BL,Y,Y
OLE1068,OLE1068,OLE1068,STAFF,IN,Y,Y
OLE1069,OLE1069,OLE1069,STAFF,BL,Y,Y
OLE1070,OLE1070,OLE1070,STAFF,BL,Y,Y
OLE1071,OLE1071,OLE1071,STAFF,BL,Y,Y
OLE1072,OLE1072,OLE1072,STAFF,BL,Y,Y
OLE1073,OLE1073,OLE1073,STAFF,BL,Y,Y
OLE1074,OLE1074,OLE1074,STAFF,BL,Y,Y
OLE1075,OLE1075,OLE1075,STAFF,BL,Y,Y
OLE1076,OLE1076,OLE1076,STAFF,BL,Y,Y
OLE1077,OLE1077,OLE1077,STAFF,BL,Y,Y
OLE1078,OLE1078,OLE1078,STAFF,BL,Y,Y
OLE1079,OLE1079,OLE1079,STAFF,BL,Y,Y
OLE1080,OLE1080,OLE1080,STAFF,BL,Y,Y
OLE1081,OLE1081,OLE1081,STAFF,BL,Y,Y
OLE1082,OLE1082,OLE1082,STAFF,BL,Y,Y
OLE1083,OLE1083,OLE1083,STAFF,BL,Y,Y
OLE1084,OLE1084,OLE1084,STAFF,BL,Y,Y
OLE1085,OLE1085,OLE1085,STAFF,BL,Y,Y
OLE1086,OLE1086,OLE1086,STAFF,BL,Y,Y
OLE1087,OLE1087,OLE1087,STAFF,BL,Y,Y
OLE1088,OLE1088,OLE1088,STAFF,BL,Y,Y
OLE1089,OLE1089,OLE1089,STAFF,BL,Y,Y
OLE1090,OLE1090,OLE1090,STAFF,BL,Y,Y
OLE1091,OLE1091,OLE1091,STAFF,BL,Y,Y
OLE1092,OLE1092,OLE1092,STAFF,BL,Y,Y
OLE1093,OLE1093,OLE1093,STAFF,BL,Y,Y
OLE1094,OLE1094,OLE1094,STAFF,BL,Y,Y
OLE1095,OLE1095,OLE1095,STAFF,BL,Y,Y
OLE1096,OLE1096,OLE1096,STAFF,BL,Y,Y
OLE1097,OLE1097,OLE1097,STAFF,BL,Y,Y
OLE1098,OLE1098,OLE1098,STAFF,BL,Y,Y
OLE1099,OLE1099,OLE1099,STAFF,BL,Y,Y
OLE1100,OLE1100,OLE1100,STAFF,BL,Y,Y
OLE1101,OLE1101,OLE1101,STAFF,BL,Y,Y
OLE1102,OLE1102,OLE1102,STAFF,BL,Y,Y
OLE1103,OLE1103,OLE1103,STAFF,BL,Y,Y
OLE1104,OLE1104,OLE1104,STAFF,IN,Y,Y
OLE1105,OLE1105,OLE1105,STAFF,IN,Y,Y
OLE1106,OLE1106,OLE1106,STAFF,BL,Y,Y
OLE1107,OLE1107,OLE1107,STAFF,BL,Y,Y
OLE1108,OLE1108,OLE1108,STAFF,BL,Y,Y
OLE1109,OLE1109,OLE1109,STAFF,BL,Y,Y
OLE1110,OLE1110,OLE1110,STAFF,BL,Y,Y
OLE1111,OLE1111,OLE1111,STAFF,BL,Y,Y
OLE1112,OLE1112,OLE1112,STAFF,BL,Y,Y
OLE1113,OLE1113,OLE1113,STAFF,BL,Y,Y
OLE1114,OLE1114,OLE1114,STAFF,BL,Y,Y
OLE1115,OLE1115,OLE1115,STAFF,BL,Y,Y
OLE1117,OLE1117,OLE1117,STAFF,BL,Y,Y
OLE1122,OLE1122,OLE1122,STAFF,BL,Y,Y
OLE1123,OLE1123,OLE1123,STAFF,BL,Y,Y
OLE1124,OLE1124,OLE1124,STAFF,BL,Y,Y
OLE1125,OLE1125,OLE1125,STAFF,BL,Y,Y
OLE1137,OLE1137,OLE1137,STAFF,BL,Y,Y
OLE1138,OLE1138,OLE1138,STAFF,BL,Y,Y
OLE1143,OLE1143,OLE1143,STAFF,BL,Y,Y
