ENTITY_EMP_ID,OBJ_ID,ENTITY_ID,ENTITY_AFLTN_ID,EMP_STAT_CD,EMP_TYP_CD,BASE_SLRY_AMT,PRMRY_IND,ACTV_IND,PRMRY_DEPT_CD,EMP_ID,EMP_REC_ID
OLE1000,OLE1000,OLE1000,OLE1000,A,N,50000,Y,Y,IN-ENGT,1,1
OLE1001,OLE1001,OLE1001,OLE1001,T,N,50000,Y,Y,BL-BL,2,1
OLE1002,OLE1002,OLE1002,OLE1002,A,N,50000,Y,Y,IN-ANES,3,1
OLE1003,OLE1003,OLE1003,OLE1003,T,P,50000,Y,Y,IN-IN,4,1
OLE1004,OLE1004,OLE1004,OLE1004,T,N,50000,Y,Y,IN-IN,5,1
OLE1005,OLE1005,OLE1005,OLE1005,A,P,50000,Y,Y,BL-BL,6,1
OLE1006,OLE1006,OLE1006,OLE1006,A,P,50000,Y,Y,BL-BL,7,1
OLE1007,OLE1007,OLE1007,OLE1007,A,P,50000,Y,Y,BL-BL,8,1
OLE1008,OLE1008,OLE1008,OLE1008,A,P,50000,Y,Y,BL-BL,9,1
OLE1009,OLE1009,OLE1009,OLE1009,A,P,50000,Y,Y,BL-BL,10,1
OLE1010,OLE1010,OLE1010,OLE1010,A,P,50000,Y,Y,BL-BL,11,1
OLE1011,OLE1011,OLE1011,OLE1011,A,P,50000,Y,Y,BL-ARSD,12,1
OLE1012,OLE1012,OLE1012,OLE1012,A,P,50000,Y,Y,BL-BL,13,1
OLE1013,OLE1013,OLE1013,OLE1013,A,P,50000,Y,Y,BL-ARSD,14,1
OLE1014,OLE1014,OLE1014,OLE1014,A,P,50000,Y,Y,BL-BL,15,1
OLE1015,OLE1015,OLE1015,OLE1015,A,P,50000,Y,Y,BL-ARSD,16,1
OLE1016,OLE1016,OLE1016,OLE1016,A,P,50000,Y,Y,BL-BL,17,1
OLE1017,OLE1017,OLE1017,OLE1017,A,P,50000,Y,Y,BL-ARSD,18,1
OLE1018,OLE1018,OLE1018,OLE1018,A,P,50000,Y,Y,BL-ARSD,19,1
OLE1019,OLE1019,OLE1019,OLE1019,A,P,50000,Y,Y,BL-ARSD,20,1
OLE1020,OLE1020,OLE1020,OLE1020,A,P,50000,Y,Y,BL-BL,21,1
OLE1021,OLE1021,OLE1021,OLE1021,A,P,50000,Y,Y,BL-BL,22,1
OLE1022,OLE1022,OLE1022,OLE1022,A,P,50000,Y,Y,BL-BL,23,1
OLE1023,OLE1023,OLE1023,OLE1023,T,N,50000,Y,Y,BL-BL,24,1
OLE1024,OLE1024,OLE1024,OLE1024,T,N,50000,Y,Y,BL-BRAD,25,1
OLE1025,OLE1025,OLE1025,OLE1025,T,N,50000,Y,Y,BL-BL,26,1
OLE1026,OLE1026,OLE1026,OLE1026,T,N,50000,Y,Y,BL-BL,27,1
OLE1027,OLE1027,OLE1027,OLE1027,T,N,50000,Y,Y,BL-BL,28,1
OLE1028,OLE1028,OLE1028,OLE1028,T,N,50000,Y,Y,BL-BL,29,1
OLE1029,OLE1029,OLE1029,OLE1029,T,N,50000,Y,Y,BL-BL,30,1
OLE1030,OLE1030,OLE1030,OLE1030,T,N,50000,Y,Y,BL-BL,31,1
OLE1031,OLE1031,OLE1031,OLE1031,T,N,50000,Y,Y,BL-BL,32,1
OLE1032,OLE1032,OLE1032,OLE1032,T,N,50000,Y,Y,BL-BL,33,1
OLE1033,OLE1033,OLE1033,OLE1033,T,N,50000,Y,Y,BL-BL,34,1
OLE1035,OLE1035,OLE1035,OLE1035,T,N,50000,Y,Y,BL-BL,36,1
OLE1036,OLE1036,OLE1036,OLE1036,T,N,50000,Y,Y,BL-BL,37,1
OLE1037,OLE1037,OLE1037,OLE1037,T,N,50000,Y,Y,BL-BL,38,1
OLE1038,OLE1038,OLE1038,OLE1038,T,N,50000,Y,Y,BL-BL,39,1
OLE1039,OLE1039,OLE1039,OLE1039,T,N,50000,Y,Y,BL-BL,40,1
OLE1040,OLE1040,OLE1040,OLE1040,T,N,50000,Y,Y,BL-BL,41,1
OLE1041,OLE1041,OLE1041,OLE1041,T,N,50000,Y,Y,BL-BL,42,1
OLE1042,OLE1042,OLE1042,OLE1042,T,N,50000,Y,Y,BL-BL,43,1
OLE1043,OLE1043,OLE1043,OLE1043,T,N,50000,Y,Y,BL-BL,44,1
OLE1044,OLE1044,OLE1044,OLE1044,A,P,50000,Y,Y,BL-BL,45,1
OLE1045,OLE1045,OLE1045,OLE1045,T,N,50000,Y,Y,BL-BL,46,1
OLE1046,OLE1046,OLE1046,OLE1046,T,N,50000,Y,Y,BL-BL,47,1
OLE1047,OLE1047,OLE1047,OLE1047,T,N,50000,Y,Y,BL-BL,48,1
OLE1048,OLE1048,OLE1048,OLE1048,T,N,50000,Y,Y,BL-BL,49,1
OLE1049,OLE1049,OLE1049,OLE1049,T,N,50000,Y,Y,BL-BL,50,1
OLE1050,OLE1050,OLE1050,OLE1050,T,N,50000,Y,Y,BL-BL,51,1
OLE1052,OLE1052,OLE1052,OLE1052,T,P,50000,Y,Y,BL-BL,53,1
OLE1053,OLE1053,OLE1053,OLE1053,T,N,50000,Y,Y,BL-BL,54,1
OLE1054,OLE1054,OLE1054,OLE1054,T,N,50000,Y,Y,BL-BL,55,1
OLE1055,OLE1055,OLE1055,OLE1055,T,N,50000,Y,Y,BL-BL,56,1
OLE1056,OLE1056,OLE1056,OLE1056,T,N,50000,Y,Y,BL-BL,57,1
OLE1057,OLE1057,OLE1057,OLE1057,T,N,50000,Y,Y,BL-BL,58,1
OLE1058,OLE1058,OLE1058,OLE1058,T,N,50000,Y,Y,BL-BL,59,1
OLE1059,OLE1059,OLE1059,OLE1059,T,N,50000,Y,Y,BL-BL,60,1
OLE1060,OLE1060,OLE1060,OLE1060,T,N,50000,Y,Y,BL-BL,61,1
OLE1061,OLE1061,OLE1061,OLE1061,T,N,50000,Y,Y,BL-BL,62,1
OLE1062,OLE1062,OLE1062,OLE1062,T,N,50000,Y,Y,BL-BL,63,1
OLE1063,OLE1063,OLE1063,OLE1063,T,N,50000,Y,Y,BL-BL,64,1
OLE1064,OLE1064,OLE1064,OLE1064,T,N,50000,Y,Y,BL-BL,65,1
OLE1065,OLE1065,OLE1065,OLE1065,T,N,50000,Y,Y,BL-BL,66,1
OLE1066,OLE1066,OLE1066,OLE1066,T,N,50000,Y,Y,BL-BL,67,1
OLE1067,OLE1067,OLE1067,OLE1067,T,N,50000,Y,Y,BL-BL,69,1
OLE1068,OLE1068,OLE1068,OLE1068,A,N,50000,Y,Y,IN-IN,70,1
OLE1069,OLE1069,OLE1069,OLE1069,T,N,50000,Y,Y,BL-BL,71,1
OLE1070,OLE1070,OLE1070,OLE1070,T,N,50000,Y,Y,BL-BL,72,1
OLE1071,OLE1071,OLE1071,OLE1071,T,N,50000,Y,Y,BL-BL,73,1
OLE1072,OLE1072,OLE1072,OLE1072,T,N,50000,Y,Y,BL-BL,74,1
OLE1073,OLE1073,OLE1073,OLE1073,T,N,50000,Y,Y,BL-BL,75,1
OLE1074,OLE1074,OLE1074,OLE1074,T,N,50000,Y,Y,BL-BL,76,1
OLE1075,OLE1075,OLE1075,OLE1075,T,N,50000,Y,Y,BL-BL,77,1
OLE1076,OLE1076,OLE1076,OLE1076,T,P,50000,Y,Y,BL-BL,78,1
OLE1077,OLE1077,OLE1077,OLE1077,T,N,50000,Y,Y,BL-BL,79,1
OLE1078,OLE1078,OLE1078,OLE1078,T,N,50000,Y,Y,BL-BL,80,1
OLE1079,OLE1079,OLE1079,OLE1079,T,N,50000,Y,Y,BL-BL,81,1
OLE1080,OLE1080,OLE1080,OLE1080,T,N,50000,Y,Y,BL-BL,82,1
OLE1081,OLE1081,OLE1081,OLE1081,T,N,50000,Y,Y,BL-BL,83,1
OLE1082,OLE1082,OLE1082,OLE1082,T,N,50000,Y,Y,BL-BL,84,1
OLE1083,OLE1083,OLE1083,OLE1083,T,N,50000,Y,Y,BL-BL,85,1
OLE1084,OLE1084,OLE1084,OLE1084,T,N,50000,Y,Y,BL-BL,86,1
OLE1085,OLE1085,OLE1085,OLE1085,T,N,50000,Y,Y,BL-BL,87,1
OLE1086,OLE1086,OLE1086,OLE1086,T,N,50000,Y,Y,BL-BL,88,1
OLE1087,OLE1087,OLE1087,OLE1087,T,N,50000,Y,Y,BL-BL,89,1
OLE1088,OLE1088,OLE1088,OLE1088,T,N,50000,Y,Y,BL-BL,90,1
OLE1089,OLE1089,OLE1089,OLE1089,T,N,50000,Y,Y,BL-BL,91,1
OLE1090,OLE1090,OLE1090,OLE1090,T,N,50000,Y,Y,BL-BL,92,1
OLE1091,OLE1091,OLE1091,OLE1091,T,N,50000,Y,Y,BL-BL,93,1
OLE1092,OLE1092,OLE1092,OLE1092,T,N,50000,Y,Y,BL-BL,94,1
OLE1093,OLE1093,OLE1093,OLE1093,T,N,50000,Y,Y,BL-BL,95,1
