ENT_TYP_CD,ENTITY_ID,OBJ_ID,ACTV_IND
SYSTEM,OLE2,OLE2-SYSTEM,Y
PERSON,OLE1000,OLE1000-PERSON,Y
PERSON,OLE1001,OLE1001-PERSON,Y
PERSON,OLE1002,OLE1002-PERSON,Y
PERSON,OLE1003,OLE1003-PERSON,Y
PERSON,OLE1004,OLE1004-PERSON,Y
PERSON,OLE1005,OLE1005-PERSON,Y
PERSON,OLE1006,OLE1006-PERSON,Y
PERSON,OLE1007,OLE1007-PERSON,Y
PERSON,OLE1008,OLE1008-PERSON,Y
PERSON,OLE1009,OLE1009-PERSON,Y
PERSON,OLE1010,OLE1010-PERSON,Y
PERSON,OLE1011,OLE1011-PERSON,Y
PERSON,OLE1012,OLE1012-PERSON,Y
PERSON,OLE1013,OLE1013-PERSON,Y
PERSON,OLE1014,OLE1014-PERSON,Y
PERSON,OLE1015,OLE1015-PERSON,Y
PERSON,OLE1016,OLE1016-PERSON,Y
PERSON,OLE1017,OLE1017-PERSON,Y
PERSON,OLE1018,OLE1018-PERSON,Y
PERSON,OLE1019,OLE1019-PERSON,Y
PERSON,OLE1020,OLE1020-PERSON,Y
PERSON,OLE1021,OLE1021-PERSON,Y
PERSON,OLE1022,OLE1022-PERSON,Y
PERSON,OLE1023,OLE1023-PERSON,Y
PERSON,OLE1024,OLE1024-PERSON,Y
PERSON,OLE1025,OLE1025-PERSON,Y
PERSON,OLE1026,OLE1026-PERSON,Y
PERSON,OLE1027,OLE1027-PERSON,Y
PERSON,OLE1028,OLE1028-PERSON,Y
PERSON,OLE1029,OLE1029-PERSON,Y
PERSON,OLE1030,OLE1030-PERSON,Y
PERSON,OLE1031,OLE1031-PERSON,Y
PERSON,OLE1032,OLE1032-PERSON,Y
PERSON,OLE1033,OLE1033-PERSON,Y
PERSON,OLE1035,OLE1035-PERSON,Y
PERSON,OLE1036,OLE1036-PERSON,Y
PERSON,OLE1037,OLE1037-PERSON,Y
PERSON,OLE1038,OLE1038-PERSON,Y
PERSON,OLE1039,OLE1039-PERSON,Y
PERSON,OLE1040,OLE1040-PERSON,Y
PERSON,OLE1041,OLE1041-PERSON,Y
PERSON,OLE1042,OLE1042-PERSON,Y
PERSON,OLE1043,OLE1043-PERSON,Y
PERSON,OLE1044,OLE1044-PERSON,Y
PERSON,OLE1045,OLE1045-PERSON,Y
PERSON,OLE1046,OLE1046-PERSON,Y
PERSON,OLE1047,OLE1047-PERSON,Y
PERSON,OLE1048,OLE1048-PERSON,Y
PERSON,OLE1049,OLE1049-PERSON,Y
PERSON,OLE1050,OLE1050-PERSON,Y
PERSON,OLE1052,OLE1052-PERSON,Y
PERSON,OLE1053,OLE1053-PERSON,Y
PERSON,OLE1054,OLE1054-PERSON,Y
PERSON,OLE1055,OLE1055-PERSON,Y
PERSON,OLE1056,OLE1056-PERSON,Y
PERSON,OLE1057,OLE1057-PERSON,Y
PERSON,OLE1058,OLE1058-PERSON,Y
PERSON,OLE1059,OLE1059-PERSON,Y
PERSON,OLE1060,OLE1060-PERSON,Y
PERSON,OLE1061,OLE1061-PERSON,Y
