ENTITY_ID,OBJ_ID,ACTV_IND
OLE2,OLE2,Y
OLE1000,OLE1000,Y
OLE1001,OLE1001,Y
OLE1002,OLE1002,Y
OLE1003,OLE1003,Y
OLE1004,OLE1004,Y
OLE1005,OLE1005,Y
OLE1006,OLE1006,Y
OLE1007,OLE1007,Y
OLE1008,OLE1008,Y
OLE1009,OLE1009,Y
OLE1010,OLE1010,Y
OLE1011,OLE1011,Y
OLE1012,OLE1012,Y
OLE1013,OLE1013,Y
OLE1014,OLE1014,Y
OLE1015,OLE1015,Y
OLE1016,OLE1016,Y
OLE1017,OLE1017,Y
OLE1018,OLE1018,Y
OLE1019,OLE1019,Y
OLE1020,OLE1020,Y
OLE1021,OLE1021,Y
OLE1022,OLE1022,Y
OLE1023,OLE1023,Y
OLE1024,OLE1024,Y
OLE1025,OLE1025,Y
OLE1026,OLE1026,Y
OLE1027,OLE1027,Y
OLE1028,OLE1028,Y
OLE1029,OLE1029,Y
OLE1030,OLE1030,Y
OLE1031,OLE1031,Y
OLE1032,OLE1032,Y
OLE1033,OLE1033,Y
OLE1035,OLE1035,Y
OLE1036,OLE1036,Y
OLE1037,OLE1037,Y
OLE1038,OLE1038,Y
OLE1039,OLE1039,Y
OLE1040,OLE1040,Y
OLE1041,OLE1041,Y
OLE1042,OLE1042,Y
OLE1043,OLE1043,Y
OLE1044,OLE1044,Y
OLE1045,OLE1045,Y
OLE1046,OLE1046,Y
OLE1047,OLE1047,Y
OLE1048,OLE1048,Y
OLE1049,OLE1049,Y
OLE1050,OLE1050,Y
OLE1052,OLE1052,Y
OLE1053,OLE1053,Y
OLE1054,OLE1054,Y
OLE1055,OLE1055,Y
OLE1056,OLE1056,Y
OLE1057,OLE1057,Y
OLE1058,OLE1058,Y
OLE1059,OLE1059,Y
OLE1060,OLE1060,Y
OLE1061,OLE1061,Y
OLE1062,OLE1062,Y
OLE1063,OLE1063,Y
OLE1064,OLE1064,Y
OLE1065,OLE1065,Y
OLE1066,OLE1066,Y
OLE1067,OLE1067,Y
OLE1068,OLE1068,Y
OLE1069,OLE1069,Y
OLE1070,OLE1070,Y
OLE1071,OLE1071,Y
OLE1072,OLE1072,Y
OLE1073,OLE1073,Y
OLE1074,OLE1074,Y
OLE1075,OLE1075,Y
OLE1076,OLE1076,Y
OLE1077,OLE1077,Y
OLE1078,OLE1078,Y
OLE1079,OLE1079,Y
OLE1080,OLE1080,Y
OLE1081,OLE1081,Y
OLE1082,OLE1082,Y
OLE1083,OLE1083,Y
OLE1084,OLE1084,Y
OLE1085,OLE1085,Y
OLE1086,OLE1086,Y
OLE1087,OLE1087,Y
OLE1088,OLE1088,Y
OLE1089,OLE1089,Y
OLE1090,OLE1090,Y
OLE1091,OLE1091,Y
OLE1092,OLE1092,Y
OLE1093,OLE1093,Y
OLE1094,OLE1094,Y
OLE1095,OLE1095,Y
OLE1096,OLE1096,Y
OLE1097,OLE1097,Y
OLE1098,OLE1098,Y
OLE1099,OLE1099,Y
OLE1100,OLE1100,Y
OLE1101,OLE1101,Y
OLE1102,OLE1102,Y
OLE1103,OLE1103,Y
OLE1104,OLE1104,Y
OLE1105,OLE1105,Y
OLE1106,OLE1106,Y
OLE1107,OLE1107,Y
OLE1108,OLE1108,Y
OLE1109,OLE1109,Y
OLE1110,OLE1110,Y
OLE1111,OLE1111,Y
OLE1112,OLE1112,Y
OLE1113,OLE1113,Y
OLE1114,OLE1114,Y
OLE1115,OLE1115,Y
OLE1117,OLE1117,Y
OLE1122,OLE1122,Y
OLE1123,OLE1123,Y
OLE1124,OLE1124,Y
OLE1125,OLE1125,Y
OLE1137,OLE1137,Y
OLE1138,OLE1138,Y
OLE1143,OLE1143,Y
OLE1146,OLE1146,Y
OLE1165,OLE1165,Y
OLE1168,OLE1168,Y
OLE1172,OLE1172,Y
OLE1231,OLE1231,Y
OLE1232,OLE1232,Y
OLE1264,OLE1264,Y
OLE1309,OLE1309,Y
OLE1315,OLE1315,Y
OLE1334,OLE1334,Y
OLE1337,OLE1337,Y
OLE1361,OLE1361,Y
OLE1399,OLE1399,Y
OLE1423,OLE1423,Y
OLE1433,OLE1433,Y
OLE1438,OLE1438,Y
OLE1441,OLE1441,Y
OLE1444,OLE1444,Y
OLE1453,OLE1453,Y
OLE1455,OLE1455,Y
OLE1470,OLE1470,Y
OLE1482,OLE1482,Y
OLE1515,OLE1515,Y
OLE1520,OLE1520,Y
OLE1525,OLE1525,Y
OLE1526,OLE1526,Y
OLE1531,OLE1531,Y
OLE1545,OLE1545,Y
OLE1556,OLE1556,Y
OLE1574,OLE1574,Y
OLE1586,OLE1586,Y
OLE1599,OLE1599,Y
OLE1601,OLE1601,Y
OLE1603,OLE1603,Y
OLE1625,OLE1625,Y
OLE1637,OLE1637,Y
OLE1638,OLE1638,Y
OLE1656,OLE1656,Y
OLE1676,OLE1676,Y
OLE1686,OLE1686,Y
OLE1689,OLE1689,Y
OLE1705,OLE1705,Y
OLE1717,OLE1717,Y
OLE1731,OLE1731,Y
OLE1744,OLE1744,Y
OLE1747,OLE1747,Y
OLE1783,OLE1783,Y
OLE1861,OLE1861,Y
OLE1864,OLE1864,Y
OLE1870,OLE1870,Y
OLE1884,OLE1884,Y
OLE2018,OLE2018,Y
OLE2019,OLE2019,Y
OLE2049,OLE2049,Y
OLE2053,OLE2053,Y
OLE2062,OLE2062,Y
OLE2073,OLE2073,Y
OLE2075,OLE2075,Y
OLE2138,OLE2138,Y
OLE2163,OLE2163,Y
OLE2204,OLE2204,Y
OLE2224,OLE2224,Y
OLE2227,OLE2227,Y
OLE2230,OLE2230,Y
OLE2235,OLE2235,Y
OLE2236,OLE2236,Y
OLE2247,OLE2247,Y
OLE2284,OLE2284,Y
OLE2344,OLE2344,Y
OLE2369,OLE2369,Y
OLE2376,OLE2376,Y
OLE2377,OLE2377,Y
OLE2382,OLE2382,Y
OLE2383,OLE2383,Y
OLE2388,OLE2388,Y
OLE2389,OLE2389,Y
OLE2409,OLE2409,Y
OLE2412,OLE2412,Y
OLE2492,OLE2492,Y
OLE2533,OLE2533,Y
OLE2534,OLE2534,Y
OLE2535,OLE2535,Y
OLE2549,OLE2549,Y
OLE2550,OLE2550,Y
OLE2552,OLE2552,Y
OLE2554,OLE2554,Y
OLE2559,OLE2559,Y
OLE2566,OLE2566,Y
OLE2567,OLE2567,Y
OLE2568,OLE2568,Y
OLE2578,OLE2578,Y
OLE2582,OLE2582,Y
OLE2584,OLE2584,Y
OLE2587,OLE2587,Y
OLE2588,OLE2588,Y
OLE2593,OLE2593,Y
OLE2594,OLE2594,Y
