ENTITY_AFLTN_ID,OBJ_ID,ENTITY_ID,AFLTN_TYP_CD,CAMPUS_CD,DFLT_IND,ACTV_IND
OLE1000200032-Affil,OLE1000200032-Affil,OLE1000200032,STAFF,BL,Y,Y
OLE10000,OLE10000,OLE10000,STAFF,BL,Y,Y
OLE10001,OLE10001,OLE10001,STAFF,BL,Y,Y
OLE10002,OLE10002,OLE10002,STAFF,BL,Y,Y
OLE10003,OLE10003,OLE10003,STAFF,BL,Y,Y
OLE10004,OLE10004,OLE10004,STAFF,BL,Y,Y
OLE10005,OLE10005,OLE10005,STAFF,BL,Y,Y
OLE10006,OLE10006,OLE10006,STAFF,BL,Y,Y
OLE10007,OLE10007,OLE10007,STAFF,BL,Y,Y
OLE10008,OLE10008,OLE10008,STAFF,BL,Y,Y
OLE10009,OLE10009,OLE10009,STAFF,BL,Y,Y
OLE10010,OLE10010,OLE10010,STAFF,BL,Y,Y
OLE10011,OLE10011,OLE10011,STAFF,BL,Y,Y
OLE10012,OLE10012,OLE10012,STAFF,BL,Y,Y
OLE10013,OLE10013,OLE10013,STAFF,BL,Y,Y
OLE10014,OLE10014,OLE10014,STAFF,BL,Y,Y
OLE10015,OLE10015,OLE10015,STAFF,BL,Y,Y
OLE10016,OLE10016,OLE10016,STAFF,BL,Y,Y
OLE10017,OLE10017,OLE10017,STAFF,BL,Y,Y
OLE10018,OLE10018,OLE10018,STAFF,BL,Y,Y
OLE10019,OLE10019,OLE10019,STAFF,BL,Y,Y
OLE10020,OLE10020,OLE10020,STAFF,BL,Y,Y
OLE10021,OLE10021,OLE10021,STAFF,BL,Y,Y
OLE10022,OLE10022,OLE10022,STAFF,BL,Y,Y
OLE10023,OLE10023,OLE10023,STAFF,BL,Y,Y
OLE10024,OLE10024,OLE10024,STAFF,BL,Y,Y
OLE10025,OLE10025,OLE10025,STAFF,BL,Y,Y
OLE10026,OLE10026,OLE10026,STAFF,BL,Y,Y
OLE10027,OLE10027,1136,STAFF,BL,Y,Y
OLE10028,OLE10028,1132,STAFF,BL,Y,Y
OLE10029,OLE10029,1101,STAFF,BL,Y,Y
OLE10030,OLE10030,1102,STAFF,BL,Y,Y
OLE10031,OLE10031,1103,STAFF,BL,Y,Y
OLE10032,OLE10032,1104,STAFF,BL,Y,Y
OLE10033,OLE10033,1105,STAFF,BL,Y,Y
OLE10034,OLE10034,1106,STAFF,BL,Y,Y
OLE10035,OLE10035,1107,STAFF,BL,Y,Y
OLE10036,OLE10036,1108,STAFF,BL,Y,Y
OLE10037,OLE10037,1125,STAFF,BL,Y,Y
OLE10038,OLE10038,1126,STAFF,BL,Y,Y
OLE10039,OLE10039,1129,STAFF,BL,Y,Y
OLE10040,OLE10040,1130,STAFF,BL,Y,Y
OLE111,OLE111,OLE111,STAFF,BL,Y,Y
OLE222,OLE222,OLE222,STAFF,BL,Y,Y
OLE10041,OLE10041,1135,STAFF,BL,Y,Y
OLE10042,OLE10042,1121,STAFF,BL,Y,Y
OLE10043,OLE10043,1116,STAFF,BL,Y,Y
OLE10044,OLE10044,1114,STAFF,BL,Y,Y
OLE10045,OLE10045,1137,STAFF,BL,Y,Y
OLE10046,OLE10046,1115,STAFF,BL,Y,Y
OLE10047,OLE10047,1117,STAFF,BL,Y,Y
OLE10048,OLE10048,1119,STAFF,BL,Y,Y
OLE10049,OLE10049,1120,STAFF,BL,Y,Y
OLE10050,OLE10050,1118,STAFF,BL,Y,Y
OLE10051,OLE10051,1122,STAFF,BL,Y,Y
OLE10052,OLE10052,1123,STAFF,BL,Y,Y
OLE10053,OLE10053,1124,STAFF,BL,Y,Y
OLE10054,OLE10054,1133,STAFF,BL,Y,Y
OLE10055,OLE10055,1109,STAFF,BL,Y,Y
OLE10056,OLE10056,1134,STAFF,BL,Y,Y
OLE10057,OLE10057,1127,STAFF,BL,Y,Y
OLE10058,OLE10058,1128,STAFF,BL,Y,Y
OLE10059,OLE10059,1110,STAFF,BL,Y,Y
OLE10060,OLE10060,1111,STAFF,BL,Y,Y
OLE10061,OLE10061,1112,STAFF,BL,Y,Y
OLE10062,OLE10062,1113,STAFF,BL,Y,Y
OLE10063,OLE10063,1138,STAFF,BL,Y,Y
OLE10064,OLE10064,1139,STAFF,BL,Y,Y
OLE10065,OLE10065,1140,STAFF,BL,Y,Y
OLE10066,OLE10066,1141,STAFF,BL,Y,Y
OLE100001,OLE100001,OLE100001,STAFF,BL,Y,Y
OLE100002,OLE100002,OLE100002,STAFF,BL,Y,Y
OLE100003,OLE100003,OLE100003,STAFF,BL,Y,Y
OLE100004,OLE100004,OLE100004,STAFF,BL,Y,Y
OLE100005,OLE100005,OLE100005,STAFF,BL,Y,Y
OLE100006,OLE100006,OLE100006,STAFF,BL,Y,Y
OLE100007,OLE100007,OLE100007,STAFF,BL,Y,Y
OLE100008,OLE100008,OLE100008,STAFF,BL,Y,Y
