ENTITY_EMP_ID,OBJ_ID,ENTITY_ID,ENTITY_AFLTN_ID,EMP_STAT_CD,EMP_TYP_CD,BASE_SLRY_AMT,PRMRY_IND,ACTV_IND,PRMRY_DEPT_CD,EMP_ID,EMP_REC_ID
OLE1000200032-Emp,OLE1000200032-Emp,OLE1000200032,OLE1000200032-Affil,A,P,50000,Y,Y,BL-LIBR,1,1
OLE10000,OLE10000,OLE10000,OLE10000,A,P,50000,Y,Y,UA-VPIT,1000000001,1
OLE10001,OLE10001,OLE10001,OLE10001,A,P,25000,Y,Y,UA-VPIT,1000000002,1
OLE10002,OLE10002,OLE10002,OLE10002,A,P,30000,Y,Y,UA-VPIT,1000000003,1
OLE10003,OLE10003,OLE10003,OLE10003,A,P,70000,Y,Y,UA-VPIT,1000000004,1
OLE10004,OLE10004,OLE10004,OLE10004,A,P,60000,Y,Y,UA-VPIT,1000000005,1
OLE10005,OLE10005,OLE10005,OLE10005,A,P,80000,Y,Y,UA-VPIT,1000000006,1
OLE10006,OLE10006,OLE10006,OLE10006,A,P,45000,Y,Y,UA-VPIT,1000000007,1
OLE10007,OLE10007,OLE10007,OLE10007,A,P,62000,Y,Y,UA-VPIT,1000000008,1
OLE10008,OLE10008,OLE10008,OLE10008,A,P,70000,Y,Y,UA-VPIT,1000000010,1
OLE10009,OLE10009,OLE10009,OLE10009,A,P,26000,Y,Y,UA-VPIT,1000000012,1
OLE10010,OLE10010,OLE10010,OLE10010,A,P,42000,Y,Y,UA-VPIT,1000000013,1
OLE10011,OLE10011,OLE10011,OLE10011,A,P,85000,Y,Y,UA-VPIT,1000000014,1
OLE10012,OLE10012,OLE10012,OLE10012,A,P,70000,Y,Y,UA-VPIT,1000000010,
OLE10013,OLE10013,OLE10013,OLE10013,A,P,26000,Y,Y,UA-VPIT,1000000012,
OLE10014,OLE10014,OLE10014,OLE10014,A,P,42000,Y,Y,UA-VPIT,1000000013,
OLE10015,OLE10015,OLE10015,OLE10015,A,P,85000,Y,Y,UA-VPIT,1000000014,
OLE10016,OLE10016,OLE10016,OLE10016,A,P,50000,Y,Y,UA-VPIT,E100000,1
OLE10017,OLE10017,OLE10017,OLE10017,A,P,50000,Y,Y,UA-VPIT,E100001,1
OLE10018,OLE10018,OLE10018,OLE10018,A,P,50000,Y,Y,UA-VPIT,E100002,1
OLE10019,OLE10019,OLE10019,OLE10019,A,P,50000,Y,Y,UA-VPIT,E100003,1
OLE10020,OLE10020,OLE10020,OLE10020,A,P,50000,Y,Y,UA-VPIT,E100004,1
OLE10021,OLE10021,OLE10021,OLE10021,A,P,50000,Y,Y,UA-VPIT,E100005,1
OLE10022,OLE10022,OLE10022,OLE10022,A,P,50000,Y,Y,UA-VPIT,E100006,1
OLE10023,OLE10023,OLE10023,OLE10023,A,P,50000,Y,Y,UA-VPIT,E100007,1
OLE10024,OLE10024,OLE10024,OLE10024,A,P,50000,Y,Y,UA-VPIT,E100008,1
OLE10025,OLE10025,OLE10025,OLE10025,A,P,50000,Y,Y,UA-VPIT,E100009,1
OLE10026,OLE10026,OLE10026,OLE10026,A,P,50000,Y,Y,UA-VPIT,E100010,1
OLE100001,OLE100001,OLE100001,OLE100001,A,P,50000,Y,Y,BL-LIBR,OLE100001,1
OLE100002,OLE100002,OLE100002,OLE100002,A,P,50000,Y,Y,BL-LIBR,OLE100002,1
OLE100003,OLE100003,OLE100003,OLE100003,A,P,50000,Y,Y,BL-LIBR,OLE100003,1
OLE100004,OLE100004,OLE100004,OLE100004,A,P,50000,Y,Y,BL-LIBR,OLE100004,1
OLE100005,OLE100005,OLE100005,OLE100005,A,P,50000,Y,Y,BL-LIBR,OLE100005,1
OLE100006,OLE100006,OLE100006,OLE100006,A,P,50000,Y,Y,BL-LIBR,OLE100006,1
OLE100007,OLE100007,OLE100007,OLE100007,A,P,50000,Y,Y,BL-LIBR,OLE100007,1
OLE100008,OLE100008,OLE100008,OLE100008,A,P,50000,Y,Y,BL-LIBR,OLE100008,1
