ENTITY_ID,OBJ_ID,SUPPRESS_NM_IND,SUPPRESS_EMAIL_IND,SUPPRESS_ADDR_IND,SUPPRESS_PHONE_IND,SUPPRESS_PRSNL_IND
OLE10000,OLE10000,N,N,N,N,N
OLE10001,OLE10001,N,N,N,N,N
OLE10002,OLE10002,N,N,N,N,N
OLE10003,OLE10003,N,N,N,N,N
OLE10004,OLE10004,N,N,N,N,N
OLE10005,OLE10005,N,N,N,N,N
OLE10006,OLE10006,N,N,N,N,N
OLE10007,OLE10007,N,N,N,N,N
OLE10008,OLE10008,N,N,N,N,N
OLE10009,OLE10009,N,N,N,N,N
OLE10010,OLE10010,N,N,N,N,N
OLE10011,OLE10011,N,N,N,N,N
OLE10012,OLE10012,N,N,N,N,N
OLE10013,OLE10013,N,N,N,N,N
OLE10014,OLE10014,N,N,N,N,N
OLE10015,OLE10015,N,N,N,N,N
OLE10016,OLE10016,N,N,N,N,N
OLE10017,OLE10017,N,N,N,N,N
OLE10018,OLE10018,N,N,N,N,N
OLE10019,OLE10019,N,N,N,N,N
OLE10020,OLE10020,N,N,N,N,N
OLE10021,OLE10021,N,N,N,N,N
OLE10022,OLE10022,N,N,N,N,N
OLE10023,OLE10023,N,N,N,N,N
OLE10024,OLE10024,N,N,N,N,N
OLE10025,OLE10025,N,N,N,N,N
OLE10026,OLE10026,N,N,N,N,N
OLE100001,OLE100001,N,N,N,N,N
OLE100002,OLE100002,N,N,N,N,N
OLE100003,OLE100003,N,N,N,N,N
OLE100004,OLE100004,N,N,N,N,N
OLE100005,OLE100005,N,N,N,N,N
OLE100006,OLE100006,N,N,N,N,N
OLE100007,OLE100007,N,N,N,N,N
OLE100008,OLE100008,N,N,N,N,N
