prncpl_id,obj_id,prncpl_nm,entity_id,actv_ind
OLE2320629,OLE2320629,ole-alroberts,OLE2320629,Y
OLE1000170188,OLE1000170188,ole-alsutherland,OLE1000170188,Y
OLE1000287321,OLE1000287321,ole-baanspach,OLE1000287321,Y
OLE1000028112,OLE1000028112,ole-bepasset,OLE1000028112,Y
OLE1000220136,OLE1000220136,ole-brtrotter,OLE1000220136,Y
OLE1000166506,OLE1000166506,ole-brwasserstrom,OLE1000166506,Y
OLE1000044107,OLE1000044107,ole-c.skirvin,OLE1000044107,Y
OLE1000205926,OLE1000205926,ole-cdaniels-howell,OLE1000205926,Y
OLE2264562,OLE2264562,ole-chbertenthal,OLE2264562,Y
OLE1000274616,OLE1000274616,ole-chsosa-buchholz,OLE1000274616,Y
OLE1000078945,OLE1000078945,ole-crmartin,OLE1000078945,Y
OLE1000071198,OLE1000071198,ole-dabiddinger,OLE1000071198,Y
OLE1000246199,OLE1000246199,ole-daferguson,OLE1000246199,Y
OLE1000100861,OLE1000100861,ole-damartin,OLE1000100861,Y
OLE1000182151,OLE1000182151,ole-darosen,OLE1000182151,Y
OLE1000092502,OLE1000092502,ole-daweaver,OLE1000092502,Y
OLE1000071200,OLE1000071200,ole-debeckemeyer,OLE1000071200,Y
OLE1000200848,OLE1000200848,ole-derydel-johnston,OLE1000200848,Y
OLE1000242887,OLE1000242887,ole-deskopelja,OLE1000242887,Y
OLE1000023523,OLE1000023523,ole-edwallace,OLE1000023523,Y
OLE1000158148,OLE1000158148,ole-elfierman,OLE1000158148,Y
OLE1000221947,OLE1000221947,ole-frlouer,OLE1000221947,Y
OLE1000150781,OLE1000150781,ole-frpuckett,OLE1000150781,Y
OLE1000119258,OLE1000119258,ole-gaclark,OLE1000119258,Y
OLE1000294420,OLE1000294420,ole-gerichards,OLE1000294420,Y
OLE1000174542,OLE1000174542,ole-giobeng,OLE1000174542,Y
OLE1000140614,OLE1000140614,ole-hayork,OLE1000140614,Y
OLE1000078780,OLE1000078780,ole-hedanielson,OLE1000078780,Y
OLE1000112992,OLE1000112992,ole-jaomeara,OLE1000112992,Y
OLE1000012832,OLE1000012832,ole-jawise,OLE1000012832,Y
OLE1000258582,OLE1000258582,ole-jekeirstead,OLE1000258582,Y
OLE1000208448,OLE1000208448,ole-jeroberts,OLE1000208448,Y
OLE1000022373,OLE1000022373,ole-jesteele,OLE1000022373,Y
OLE1000221510,OLE1000221510,ole-jiaudretsch,OLE1000221510,Y
OLE1000022405,OLE1000022405,ole-joatnip,OLE1000022405,Y
OLE1000072278,OLE1000072278,ole-jogerstman,OLE1000072278,Y
OLE1000126296,OLE1000126296,ole-joirwin,OLE1000126296,Y
OLE1000200032,OLE1000200032,ole-jolevinson,OLE1000200032,Y
OLE1000031987,OLE1000031987,ole-josutherland,OLE1000031987,Y
OLE1000131703,OLE1000131703,ole-jotheobald,OLE1000131703,Y
OLE2800711,OLE2800711,ole-jubloom,OLE2800711,Y
OLE2503532,OLE2503532,ole-jumcdermott,OLE2503532,Y
OLE1000008670,OLE1000008670,ole-juzaret,OLE1000008670,Y
OLE1000014183,OLE1000014183,ole-kadean,OLE1000014183,Y
OLE1000244079,OLE1000244079,ole-kahollcraft,OLE1000244079,Y
OLE1000079248,OLE1000079248,ole-karice,OLE1000079248,Y
OLE1000233893,OLE1000233893,ole-kavargo,OLE1000233893,Y
OLE1000302341,OLE1000302341,ole-kayebei,OLE1000302341,Y
OLE1000198381,OLE1000198381,ole-labreithaupt,OLE1000198381,Y
OLE1000237035,OLE1000237035,ole-lamcgowan,OLE1000237035,Y
OLE2380894,OLE2380894,ole-lijohnstone,OLE2380894,Y
OLE1000143898,OLE1000143898,ole-lohanson,OLE1000143898,Y
OLE1000129314,OLE1000129314,ole-loliu,OLE1000129314,Y
OLE1000004599,OLE1000004599,ole-maconrad,OLE1000004599,Y
OLE1000043590,OLE1000043590,ole-mahelmkamp,OLE1000043590,Y
OLE2779137,OLE2779137,ole-majohnson,OLE2779137,Y
OLE1000009196,OLE1000009196,ole-malewis,OLE1000009196,Y
OLE1000078175,OLE1000078175,ole-maransel,OLE1000078175,Y
OLE1000196104,OLE1000196104,ole-mathorin,OLE1000196104,Y
OLE1000039409,OLE1000039409,ole-methompson,OLE1000039409,Y
OLE1000137477,OLE1000137477,ole-migreen,OLE1000137477,Y
OLE2665712,OLE2665712,ole-miwafa,OLE2665712,Y
OLE1000135747,OLE1000135747,ole-namccarnes,OLE1000135747,Y
OLE1000231881,OLE1000231881,ole-neguillaume jr,OLE1000231881,Y
OLE2840591,OLE2840591,ole-nlipinski,OLE2840591,Y
OLE1000150695,OLE1000150695,ole-paarmstrong,OLE1000150695,Y
OLE1000018819,OLE1000018819,ole-pagardiner,OLE1000018819,Y
OLE1000132193,OLE1000132193,ole-papiedmont,OLE1000132193,Y
OLE1000138247,OLE1000138247,ole-pesciame-giesecke,OLE1000138247,Y
OLE1000038972,OLE1000038972,ole-pevaught,OLE1000038972,Y
OLE1000175766,OLE1000175766,ole-phmarschand,OLE1000175766,Y
OLE1000109910,OLE1000109910,ole-prfrey,OLE1000109910,Y
OLE1000082147,OLE1000082147,ole-regilliland,OLE1000082147,Y
OLE1000065082,OLE1000065082,ole-rhng,OLE1000065082,Y
OLE1000129186,OLE1000129186,ole-rosoni,OLE1000129186,Y
