CUST_ID,DISB_TYP_CD,OBJ_ID,VER_NBR,BNK_CD,ACTV_IND
10000016,ACH,5B36A8E468340D3FE0404F8189D878EA,1,1010,Y
10000016,CHCK,5B36A8E468350D3FE0404F8189D878EA,1,TEST,Y
10000017,ACH,62AF63F5ED1293D1E0404F8189D83153,1,1010,Y
10000017,CHCK,62AF63F5ED1393D1E0404F8189D83153,1,TEST,Y
10000018,ACH,62AF63F5ED1693D1E0404F8189D83153,1,1010,Y
10000018,CHCK,62AF63F5ED1793D1E0404F8189D83153,1,TEST,Y
10000019,ACH,62AF63F5ED1A93D1E0404F8189D83153,1,1010,Y
10000019,CHCK,62AF63F5ED1B93D1E0404F8189D83153,1,TEST,Y
10000020,ACH,62AF63F5ED1E93D1E0404F8189D83153,1,1010,Y
10000020,CHCK,62AF63F5ED1F93D1E0404F8189D83153,1,TEST,Y
10000021,ACH,62AF63F5ED2293D1E0404F8189D83153,1,1010,Y
10000021,CHCK,62AF63F5ED2393D1E0404F8189D83153,1,TEST,Y
10000022,ACH,62AF63F5ED2693D1E0404F8189D83153,1,1010,Y
10000022,CHCK,62AF63F5ED2793D1E0404F8189D83153,1,TEST,Y
10000023,ACH,62AF63F5ED2A93D1E0404F8189D83153,1,1010,Y
10000023,CHCK,62AF63F5ED2B93D1E0404F8189D83153,1,TEST,Y
10000024,ACH,62AF63F5ED2E93D1E0404F8189D83153,1,1010,Y
10000024,CHCK,62AF63F5ED2F93D1E0404F8189D83153,1,TEST,Y
10000025,ACH,62AF63F5ED1493D1E0404F8189D83153,1,1010,Y
10000025,CHCK,62AF63F5ED1593D1E0404F8189D83153,1,TEST,Y
10000026,ACH,62AF63F5ED1893D1E0404F8189D83153,1,1010,Y
10000026,CHCK,62AF63F5ED1993D1E0404F8189D83153,1,TEST,Y
10000027,ACH,62AF63F5ED1C93D1E0404F8189D83153,1,1010,Y
10000027,CHCK,62AF63F5ED1D93D1E0404F8189D83153,1,TEST,Y
10000028,ACH,62AF63F5ED2093D1E0404F8189D83153,1,1010,Y
10000028,CHCK,62AF63F5ED2193D1E0404F8189D83153,1,TEST,Y
10000029,ACH,62AF63F5ED2493D1E0404F8189D83153,1,1010,Y
10000029,CHCK,62AF63F5ED2593D1E0404F8189D83153,1,TEST,Y
10000030,ACH,62AF63F5ED2893D1E0404F8189D83153,1,1010,Y
10000030,CHCK,62AF63F5ED2993D1E0404F8189D83153,1,TEST,Y
10000031,ACH,62AF63F5ED2C93D1E0404F8189D83153,1,1010,Y
10000031,CHCK,62AF63F5ED2D93D1E0404F8189D83153,1,TEST,Y
10000032,ACH,62AF63F5ED3093D1E0404F8189D83153,1,1010,Y
10000032,CHCK,62AF63F5ED3193D1E0404F8189D83153,1,TEST,Y
