PUR_COMM_CD,OBJ_ID,VER_NBR,PUR_COMM_DESC,PUR_SALES_TAX_IND,ITM_RSTRC_IND,SNSTV_DTA_CD,DOBJ_MAINT_CD_ACTV_IND
11,486D34788783C267E0404F8189D8349E,1,Agriculture  Forestry  Fishing and Hunting,Y,N,null,Y
111,486D3478879BC267E0404F8189D8349E,1,Crop Production,Y,N,null,Y
1111,486D347887FEC267E0404F8189D8349E,1,Oilseed and Grain Farming,Y,N,null,Y
11111,486D34788937C267E0404F8189D8349E,1,Soybean Farming,Y,N,null,Y
111110,486D34788C06C267E0404F8189D8349E,1,Soybean Farming,N,Y,null,Y
11112,486D34788938C267E0404F8189D8349E,1,Oilseed (except Soybean) Farming,Y,N,null,Y
111120,486D34788C07C267E0404F8189D8349E,1,Oilseed (except Soybean) Farming,N,Y,null,Y
11113,486D34788939C267E0404F8189D8349E,1,Dry Pea and Bean Farming,Y,N,null,Y
111130,486D34788C08C267E0404F8189D8349E,1,Dry Pea and Bean Farming,N,Y,null,Y
11114,486D3478893AC267E0404F8189D8349E,1,Wheat Farming,Y,N,null,Y
111140,486D34788C09C267E0404F8189D8349E,1,Wheat Farming,N,Y,null,Y
11115,486D3478893BC267E0404F8189D8349E,1,Corn Farming,Y,N,null,Y
111150,486D34788C0AC267E0404F8189D8349E,1,Corn Farming,N,Y,null,Y
11116,486D3478893CC267E0404F8189D8349E,1,Rice Farming,Y,N,null,Y
111160,486D34788C0BC267E0404F8189D8349E,1,Rice Farming,N,Y,null,Y
11119,486D3478893DC267E0404F8189D8349E,1,Other Grain Farming,Y,N,null,Y
111191,486D34788C0CC267E0404F8189D8349E,1,Oilseed and Grain Combination Farming,N,Y,null,Y
111199,486D34788C0DC267E0404F8189D8349E,1,All Other Grain Farming,N,Y,null,Y
1112,486D347887FFC267E0404F8189D8349E,1,Vegetable and Melon Farming,Y,N,null,Y
11121,486D3478893EC267E0404F8189D8349E,1,Vegetable and Melon Farming,Y,N,null,Y
111211,486D34788C0EC267E0404F8189D8349E,1,Potato Farming,N,Y,null,Y
111219,486D34788C0FC267E0404F8189D8349E,1,Other Vegetable (except Potato) and Melon Farming,N,Y,null,Y
1113,486D34788800C267E0404F8189D8349E,1,Fruit and Tree Nut Farming,Y,N,null,Y
11131,486D3478893FC267E0404F8189D8349E,1,Orange Groves,Y,N,null,Y
111310,486D34788C10C267E0404F8189D8349E,1,Orange Groves,N,Y,null,Y
11132,486D34788940C267E0404F8189D8349E,1,Citrus (except Orange) Groves,Y,N,null,Y
111320,486D34788C11C267E0404F8189D8349E,1,Citrus (except Orange) Groves,N,Y,null,Y
11133,486D34788941C267E0404F8189D8349E,1,Noncitrus Fruit and Tree Nut Farming,Y,N,null,Y
111331,486D34788C12C267E0404F8189D8349E,1,Apple Orchards,N,Y,null,Y
111332,486D34788C13C267E0404F8189D8349E,1,Grape Vineyards,N,Y,null,Y
111333,486D34788C14C267E0404F8189D8349E,1,Strawberry Farming,N,Y,null,Y
111334,486D34788C15C267E0404F8189D8349E,1,Berry (except Strawberry) Farming,N,Y,null,Y
111335,486D34788C16C267E0404F8189D8349E,1,Tree Nut Farming,N,Y,null,Y
111336,486D34788C17C267E0404F8189D8349E,1,Fruit and Tree Nut Combination Farming,N,Y,null,Y
