VNDR_ADDR_GNRTD_ID,OBJ_ID,VER_NBR,VNDR_HDR_GNRTD_ID,VNDR_DTL_ASND_ID,VNDR_ADDR_TYP_CD,VNDR_LN1_ADDR,VNDR_LN2_ADDR,VNDR_CTY_NM,VNDR_ST_CD,VNDR_ZIP_CD,VNDR_CNTRY_CD,VNDR_ATTN_NM,VNDR_ADDR_INTL_PROV_NM,VNDR_ADDR_EMAIL_ADDR,VNDR_B2B_URL_ADDR,VNDR_FAX_NBR,VNDR_DFLT_ADDR_IND,DOBJ_MAINT_CD_ACTV_IND,VNDR_ACCOUNT_NBR,VNDR_FIN_COA_CD,OLE_VNDR_ADDR_NT
1000,"6D8A4A59-628F-2905-FB86-9E2F81EE6C33",5,1000,0,"PO","123456 BROAD ST",null,"TRUMANSBURG","NY","14886","US","JACQUI SMITH",null,null,null,null,"Y","Y",null,null,null
1001,"F04FA746-DC68-762A-AD63-1AA987A25410",2,1001,0,"PO","341 PINE TREE RD",null,"ITHACA","NY","14850","US",null,null,null,null,null,"Y","Y",null,null,null
1002,"ECC2391A-5176-CB9E-69DC-0313623D49FC",3,1002,0,"PO","3894 SOUTH STREET","P.O. BOX 3455","SPRINGFIELD","IL","33555","US",null,null,null,null,null,"Y","Y",null,null,null
1003,"0908FCB4-75CD-D32A-516B-ACAAA0D1B745",1,1003,0,"RM","ONE HAPPY PL",null,"BLOOMINGTON","IN","47404","US",null,null,null,null,null,"Y","Y",null,null,null
1004,"BEE0531F-0783-065F-FA87-E4E85B3A9646",2,1004,0,"PO","4455 SUMMER STREET",null,"CAPITAL CITY","AK","99443","US",null,null,null,null,null,"Y","Y",null,null,null
1005,"4FDC78B2-8637-7418-D168-1EF04DC1E677",2,1005,0,"PO","8877 FIFTH STREET","APARTMENT D","LAKEVIEW","HI","99778","US",null,null,null,null,null,"Y","Y",null,null,null
1006,"1092D725-C189-4C81-97D0-AAA3A6D53303",1,1006,0,"RM","1212 4TH ST",null,"BLOOMINGTON","IN","47404","US",null,null,null,null,null,"N","Y",null,null,null
1007,"8AE678EB-9FC2-3F09-13A9-F5A0365FC003",1,1006,0,"RM","1214 8TH ST",null,"BLOOMINGTON","IN","47404","US",null,null,null,null,null,"Y","Y",null,null,null
1008,"10EDBBA1-44E1-4D57-5FBD-CB9E48D42F83",1,1002,1,"PO","8822 MAPLE DRIVE",null,"SPECIAL CITY","VT","33444","US",null,null,null,null,null,"Y","Y",null,null,null
1009,"E3BF7DF9-F13F-F44F-0543-02052A3D55FF",1,1006,1,"RM","7000 CATFISH PL",null,"BLOOMINGTON","IN","47408","US",null,null,null,null,null,"Y","Y",null,null,null
