VNDR_CONTR_GNRTD_ID,OBJ_ID,VER_NBR,VNDR_HDR_GNRTD_ID,VNDR_DTL_ASND_ID,VNDR_CONTR_NM,VNDR_CONTR_DESC,VNDR_CMP_CD,VNDR_CONTR_BEG_DT,VNDR_CONTR_END_DT,CONTR_MGR_CD,PO_CST_SRC_CD,VNDR_PMT_TERM_CD,VNDR_SHP_PMT_TERM_CD,VNDR_SHP_TTL_CD,VNDR_CONTR_EXTNS_DT,VNDR_B2B_IND,ORG_AUTO_PO_LMT,DOBJ_MAINT_CD_ACTV_IND
1000,"BD7D8FD7-C6B4-1E2D-87BD-D95FC16491EF",2,1001,0,"ANIMALRES","Animal Research","BL",070601000000,070630000000,14,"CON","00N10",null,null,null,"N",500,"Y"
1009,"4E9F7F03-2EBA-06DB-A6B4-BDE8338FCC31",2,1011,0,"3344","Fall Negotiations","IN",070501000000,090430000000,14,"QUOT","10D10",null,null,null,"N",6000,"Y"
1013,"000D7A2B-5CD9-9F3B-8019-1AB92A75D907",2,1014,0,"8898","Good Treats","UA",060101000000,101231000000,16,"EST","10D10",null,null,null,"N",900,"Y"
1014,"799AA12C-4245-1920-127E-C9C40194D448",2,1015,0,"IU WIDE","IU contract for all campuses regarding this PO vendor","IN",070501000000,080430000000,16,"VEN","10D30",null,null,null,"N",1000,"Y"
1015,"82897694-3DE3-4DC8-0295-CE3F4A6C7E06",1,1014,3,"3399","Good Things","BL",030101000000,331231000000,10,"QUOT","05D10",null,null,null,"N",3300,"Y"
1016,"84366F91-B2EF-1B33-64C3-9D678AF501C9",2,1017,0,"STOKERCOAL","Stoke Coal Shipment Winter","CO",061101000000,070508000000,99,"VEN","10D15","CL","DE",null,"N",1000,"Y"
1017,"2A0DA5F4-13EF-D6FF-C09C-4CB2E4E2E632",2,1017,0,"COALSPRING","Coal Shipment Spring","OC",070321000000,070621000000,99,"VEN","10D05",null,null,null,"N",1000,"Y"
1018,"20E20F5D-6C01-C7F9-1E98-297BB4DE163B",2,1018,0,"TRUCKMAINTENANCE","Small Truck Maintenance","EA",070508000000,070630000000,10,"QUOT","00N30",null,null,null,"N",100,"Y"
1019,"73E2B7CD-99EB-4C34-3FF4-BDD117DEDEBE",2,1018,0,"CONSTUCTIONVEH","Construction Vehicles","EA",070508000000,070630000000,10,"QUOT","00N30",null,null,null,"N",100,"Y"
1020,"1D6AD5CC-65D3-DFB1-327A-E552B7037077",2,1020,0,"SPRING PROJECT","FILM FOR PHOTOS","BL",070501000000,080501000000,12,"COOP","00N30","AL","DE",null,"N",1000,"Y"
1021,"AF740A6F-95B2-21F2-CE16-1E9FAB3BF900",4,1000,0,"PARTS","abc parts","BL",070508000000,090508000000,10,"VEN","00N07",null,null,null,"N",100000,"N"
2001,"3D64E7F1-41F5-BA53-60E5-84054F72CE67",1,1010,3,"ABCD","A contract","BL",060701000000,100630000000,10,"QUOT","10D11",null,null,null,"N",30000,"Y"
2003,"913A95CD-9125-1FF6-EB0A-924B57DD5FEE",5,2003,0,"CONSTRUCTION","Physical Plant","BL",070708000000,100819000000,12,"VEN","20D10","PA","DE",null,"N",2000,"Y"
2004,"9449D667-A370-936E-6CC7-ACB4380229D5",6,2013,0,"WATER","Besco Water","BL",070701000000,080630000000,10,"VEN","00N07","PA",null,null,"N",2000,"Y"
2009,"8D7F7C81-6DB4-DDA2-FEB6-B4F6B5D2C7BD",2,2021,0,"COFFEE CUP CAFE","Coffee Supplies","BL",070701000000,080630000000,10,"VEN","10D10","AL","SP",null,"N",1000,"Y"
2010,"C2FDF181-7282-831F-88F1-DF67BD618A06",3,2023,0,"TOOLS","Grainger - Tools","BL",070701000000,080630000000,16,"QUOT","00N30","PA","SP",null,"N",1000,"Y"
4005,"77983318-A2B8-1433-7192-FA762D7D91B8",1,4005,0,"bn.com books","B2B books","BL",081001000000,281001000000,10,"CON","00N30","PA",null,null,"Y",15000,"Y"
4006,"EE4B9496-5E13-1A04-85E8-F1AFCE3200BE",1,4006,0,"dell","dell","BL",081001000000,281001000000,10,"EST","00N20",null,null,null,"Y",10000,"Y"
4007,"2CBFBFD6-4048-815B-06E9-3D665439E6C9",1,4007,0,"usa-b2b","usa scientific","BL",081001000000,281001000000,10,"EST","00N20",null,null,null,"Y",10000,"Y"
4008,"62B57143-4B61-377B-7919-879CBF27D065",1,4008,0,"qiagen","qiagen-b2b","BL",081001000000,281001000000,10,"EST","00N20",null,null,null,"Y",10000,"Y"
4009,"22495D37-AB32-BE7A-8CEA-D0B070F35ED4",2,4009,0,"pierce","pierce-b2b","BL",081001000000,281001000000,10,"QUOT","00N45",null,null,null,"Y",10000,"Y"
4010,"092F8DD2-1A8F-F88E-85F7-3CA309C490D5",1,4010,0,"perkin","perkin-b2b","BL",081001000000,281001000000,10,"QUOT","00N45",null,null,null,"Y",10000,"Y"
4011,"B435F28D-0477-2AB8-1269-489F6E61AE18",1,4010,0,"perkin-in","perkin-b2b (IN)","IN",081001000000,281001000000,12,"QUOT","00N20",null,null,null,"Y",20000,"Y"
4012,"6BA03109-B850-02C6-09F0-45FC8474FB34",1,4010,0,"perkin-ea","perkin-b2b (EA)","EA",081001000000,281001000000,12,"QUOT","00N14",null,null,null,"Y",3000,"Y"
4013,"FA067A8D-9F53-91C3-122D-541B79BB9C93",1,4011,0,"fisher","Fisher","BL",081001000000,281001000000,10,"EST","00N20",null,null,null,"Y",10000,"Y"
4014,"B062600C-2317-4E28-D18B-0B23EB621847",1,4012,0,"Grainger","Grainger","BL",081001000000,281001000000,10,"EST","00N14",null,null,null,"Y",10000,"Y"
