VNDR_CUST_NBR_GNRTD_ID,OBJ_ID,VER_NBR,VNDR_HDR_GNRTD_ID,VNDR_DTL_ASND_ID,VNDR_CUST_NBR,FIN_COA_CD,VNDR_ORG_CD,DOBJ_MAINT_CD_ACTV_IND,OLE_STD_DEL_CARR_INT,CARI_CD,OLE_DISCNT,OLE_VNDR_DISCNT_TYP
1000,E1016884-B551-A8E4-122D-0E378D1F5124,3,1002,0,3377,BL,null,Y,null,null,null,null
2003,7E9AEE03-407B-9DD8-C422-6438DD4DD847,7,2003,0,9860089,BL,null,Y,null,null,null,null
2005,881A34DB-0C14-7EE4-A8A5-6592DFD72B57,6,2013,0,9671082,BL,null,Y,null,null,null,null
2006,8D26791D-9445-2FCE-E9FC-5D3896E73467,2,2005,0,A100,UA,ACCT,Y,null,null,null,null
2007,880E5457-3899-BFDA-ED79-C7604033018E,2,2005,0,B200,BL,null,Y,null,null,null,null
2008,6D469E42-55B6-5681-18A2-2D95DCB8DF56,2,2005,0,A200,UA,null,Y,null,null,null,null
2010,C3170F4F-0592-328B-63BF-B69B09218251,2,2021,0,9671083,BL,null,Y,null,null,null,null
2012,D00A7BAB-4B27-A782-26DF-E0276B79DE31,3,2023,0,1000241,BL,null,Y,null,null,null,null
12005,B712B734-D7EF-9AD9-3927-26A6ED896412,1,12106,0,5240,BL,LIBR,Y,null,null,null,null
12008,A56FC0D4-C964-8EBB-AA76-3AFA4E35B1C2,2,1009,0,78785,BL,LIBR,Y,null,null,null,null
12009,C26B4569-E94C-C2AA-B328-D4C97809771C,2,1009,0,62623,BL,REL,Y,null,null,10,%
12010,29C4F462-8550-D0AC-25CC-AEADF1090F09,1,12111,0,12121,BL,LACQ,Y,null,null,null,null
12011,1F116DA6-1EB7-59D6-BFAE-93E7747D67FF,1,12111,0,21212,BL,CHEM,Y,null,null,25,%
12012,F86D3402-93C5-32CC-4ED9-B1DEDE0DF987,1,12106,0,5223,BL,FOLK,Y,null,null,5,%
