VNDR_PHN_GNRTD_ID,OBJ_ID,VER_NBR,VNDR_HDR_GNRTD_ID,VNDR_DTL_ASND_ID,VNDR_PHN_TYP_CD,VNDR_PHN_NBR,VNDR_PHN_EXTNS_NBR,DOBJ_MAINT_CD_ACTV_IND
1000,581ABAC6-95EA-0644-05AA-286D14FA38CD,2,1001,0,PH,607-255-5555,null,Y
1001,6F53EE54-78C2-92BC-8A1D-4B171A7A7A21,3,1016,0,PH,508-555-3456,null,Y
1002,4774BD67-2BBD-43CE-C1B8-089AA9EE04BB,2,1020,0,PO,888-888-8888,null,Y
2003,58DBEB54-93FC-C90B-F990-3523A9896427,7,2003,0,PG,654-885-2356,26,Y
2005,B93F35DC-66E1-3F4F-7518-46D5BF26F497,2,2021,0,PG,514-968-2674,null,Y
2006,28FF76AA-E927-6748-0C56-C545EE7C7D78,3,2013,0,MB,515-515-3232,101,Y
2007,BC0AB56A-36B1-D654-BE09-A64909DE590B,6,2025,0,TF,333-21-6541,null,Y
2009,AA86B0E4-B40A-9AB3-13A4-9D74A575F3A6,2,2023,0,TF,800-255-0256,null,Y
3004,7C691E1D-E6E0-5661-F68C-E6A48F63ED6F,2,3005,0,PH,888-898-9090,B7J8,Y
12005,9E139A07A8E25632E040DC0A70FD77CB,1,12106,0,FX,111-111-1111,null,Y
12006,361D9FD7-73E8-307F-0A22-CFCB98414BAD,2,1009,0,PH,011-2535-7104,null,Y
