role_mbr_id,obj_id,role_id,mbr_id,mbr_typ_cd
OLE10091,OLE10091,OLE10025,OLE10004,R
OLE10092,OLE10092,OLE10025,OLE10005,R
OLE10093,OLE10093,OLE10025,OLE10006,R
OLE10094,OLE10094,OLE10025,OLE10012,R
OLE931,OLE931,OLE11,OLE3264700400,P
OLE932,OLE932,OLE11,OLE1110101123,P
OLE933,OLE933,OLE11,OLE1610003826,P
OLE934,OLE934,OLE11,OLE4021000393,P
OLE935,OLE935,OLE11,OLE2037407017,P
OLE936,OLE936,OLE11,OLE3613806482,P
OLE937,OLE937,OLE11,OLE1729700072,P
OLE938,OLE938,OLE11,OLE2744604637,P
OLE939,OLE939,OLE11,OLE2051003056,P
OLE940,OLE940,OLE11,OLE3312302137,P
OLE941,OLE941,OLE11,OLE3907601072,P
OLE942,OLE942,OLE11,OLE2253102501,P
OLE943,OLE943,OLE11,OLE5811904314,P
OLE944,OLE944,OLE12,OLE5238503444,P
OLE945,OLE945,OLE12,OLE4445203670,P
OLE946,OLE946,OLE12,OLE5331903365,P
OLE947,OLE947,OLE12,OLE4704600556,P
OLE948,OLE948,OLE12,OLE5412209968,P
OLE949,OLE949,OLE12,OLE4333007056,P
OLE950,OLE950,OLE12,OLE4465100463,P
OLE951,OLE951,OLE12,OLE5729300245,P
OLE952,OLE952,OLE12,OLE3428508900,P
OLE1186,OLE1186,OLE13,OLE5025501749,P
OLE1187,OLE1187,OLE13,OLE3372102879,P
OLE1188,OLE1188,OLE13,OLE5729300245,P
OLE1189,OLE1189,OLE13,OLE5729300245,P
OLE961,OLE961,OLE15,OLE6139306823,P
OLE962,OLE962,OLE16,OLE2155107462,P
OLE963,OLE963,OLE16,OLE4191101345,P
OLE964,OLE964,OLE16,OLE5004802845,P
OLE965,OLE965,OLE16,OLE4685602389,P
OLE967,OLE967,OLE16,OLE5778107441,P
OLE968,OLE968,OLE16,OLE4936104131,P
OLE970,OLE970,OLE17,OLE2514300297,P
OLE971,OLE971,OLE17,OLE5263304328,P
OLE1190,OLE1190,OLE18,OLE1545104915,P
OLE1191,OLE1191,OLE18,OLE1290503526,P
OLE1192,OLE1192,OLE18,OLE1975509930,P
OLE1193,OLE1193,OLE18,OLE1183109030,P
OLE1194,OLE1194,OLE18,OLE5967802348,P
OLE1195,OLE1195,OLE18,OLE2254202107,P
OLE1196,OLE1196,OLE18,OLE2726706560,P
OLE1197,OLE1197,OLE18,OLE1998203566,P
OLE1198,OLE1198,OLE18,OLE5561408311,P
OLE972,OLE972,OLE19,OLE3103108378,P
OLE973,OLE973,OLE19,OLE1917101392,P
OLE953,OLE953,OLE20,OLE3889504703,P
OLE954,OLE954,OLE20,OLE4988707000,P
OLE955,OLE955,OLE20,OLE1985208153,P
OLE956,OLE956,OLE20,OLE1743101782,P
OLE976,OLE976,OLE22,OLE4161901639,P
OLE977,OLE977,OLE22,OLE4052406505,P
OLE978,OLE978,OLE22,OLE2065607872,P
OLE979,OLE979,OLE22,OLE2930203477,P
OLE980,OLE980,OLE22,OLE2133704704,P
OLE981,OLE981,OLE22,OLE2905401709,P
OLE982,OLE982,OLE22,OLE3420506415,P
OLE983,OLE983,OLE22,OLE3420502200,P
OLE984,OLE984,OLE22,OLE3247002806,P
OLE985,OLE985,OLE22,OLE5755900139,P
OLE986,OLE986,OLE22,OLE2999000040,P
OLE987,OLE987,OLE22,OLE3344600883,P
OLE988,OLE988,OLE22,OLE1610003826,P
OLE989,OLE989,OLE22,OLE1959008511,P
OLE990,OLE990,OLE22,OLE4179703037,P
OLE991,OLE991,OLE22,OLE1509103107,P
OLE992,OLE992,OLE22,OLE6054309812,P
