.kr-collection-cntr,.uif-collectionGroup
.kr-collectionStacked,.uif-stackedCollectionGroup
.kr-collectionTable,.uif-tableCollectionGroup
.kr-collectionGroup-header,.uif-collectionGroup .uif-sectionHeaderField
.group-actions,.uif-actionsGroup
.kr-collection-list-cntr,.uif-listCollectionGroup
.group_expandclose,.uif-rightAligned-headerFieldGroup
.kr-collection-item,.uif-collectionItem
.kr-addLine,.uif-collectionAddItem
.kr-headerField,.uif-headerField
.kr-data-fld,.uif-field
.kr-field-attribute,.uif-inputField
.labelTop,.uif-labelTop
.kr-label,.uif-label
.summary,.uif-instructionalMessage
.constraint,.uif-constraintMessage
.kr-errorsField,.uif-validationMessages
.kr-errorsFieldForContainer,.uif-groupValidationMessages
.kr-errorsFieldForPage,.uif-pageValidationMessages
.kr-button-primary,.uif-primaryActionButton
.kr-button-secondary1,.uif-secondaryActionButton
.ui-priority-secondary-sm,.uif-smallActionButton
.action,.uif-actionLink
.amount,.uif-currencyControl
.checkbox,.uif-checkboxesControl
.kr-spinner,.uif-spinnerControl
.info-message-error,.uif-attributeQueryErrorMessage
.kr-footer,.uif-footer
.animated-navigation,.basic-navigation
.kr-page-section-title,.uif-header
.uif-headerGroup,.uif-lowerHeaderGroup
.uif-messageField,.uif-message
